,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X003816.SZ,X000625.SZ,X000725.SZ,X002129.SZ,X600031.SH,X000596.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600703.SH,X002180.SZ,X000661.SZ,X300142.SZ,X601877.SH,X002241.SZ,X000733.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600522.SH,X600702.SH,X600460.SH,X000157.SZ,X600584.SH,X600884.SH,X300003.SZ,X000800.SZ,X000799.SZ,X600487.SH,X000066.SZ,X002414.SZ,X002294.SZ,X601799.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.237911267991617,0,0,0.350325243726459,0,0.0790915623847284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081792793124951,0,0.282787756620791,0,0,0,0,0,0,0,-0.0936411989956633,0,0.064273597247275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405819875076672,0,0,0,-0.0072393997619604,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.45360209247434,0.00186108655766647,0,0,0.255333305757667,0,0.125024461846808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465659895745624,0,0,0,0,0,0,0,0,0,0.00493316232563516,0,0,0,0,0,0,0,0,-0.0219161576442201,0,0,0,0,0,-0.0238794428518392,0.000230206495747768,0,0,0,0,0,0
X600809.SH,0.318931172994872,0,0,0,0.497360124734281,0,0,0,0,0,0,0,0,0,0,0,0,0.0640584665691078,0,0,0,-0.103967218308137,0,0,0,0,0,0,0,0,0,-0.0660341756519122,0,0,0,0,0.0644471026250529,-0.0168705450603801,0,0,0,0,-0.0399541586285688,0.0551685829083315,0,0,0,0,0,0,0,0.00706911356925749,0,-0.0580403862129801,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0091187111103975,0,0,0,0,0,0,0,0,0,0.0225199501468379,0,0,0,0,0,0.0529571161874737,0,0,0,0,0,0,0,0.0524055019224065,0,0.0491410746099927,0,0,0,0,0,0,0,0,0,0,0,0,0.202727980723051,0,0.130204841843465,0.0898453437514086,0.128460663965424,0,0,0,0,-0.0305006173971048,0,0,0,0,0,0
X000568.SZ,0.390664859274276,0.0459596041895591,0.780279134966504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967121079308602,0,0,0,0,0,0,0,0.0539022170748038,0,0,0,-0.0523327912644117,0,0,0,0,0.0344717367323599,0,0,-0.0424316775825717,0,0,0,-0.0236475907349536,0.0360776546138921,0,0,0,0,0,0
X600276.SH,0,0.0179461212798301,0,0,0,0,-0.0159974887307181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198116732773135,0,0,0,0,0,0,0,-0.0151528577114053,0,0,0,0,0,0.191075987638746,0,0,-0.192176772444906,0,0,0.0514788092116206,0,0.0031850189316402,0,-0.0179601989308482,0.0139612342006319,0,0,0,0,0,0
X600690.SH,0.119302942467977,0,0,0,0.10032327005267,0,0,0,0,0,0.241721382305975,0,-0.100379709980548,0,0,0,0.205046816111102,0.0402034848823538,0,0,0,0,0,0,0,0.00887571742258613,-0.0631420794727745,0,0,0,-4.33680868994202e-19,0,0,0,0,0.079655104592763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175047067363433,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.070988398780645,0.120290064808622,0,0,0.191687538393871,0,0,0,0,0,0,0.0748346509362934,0,0,0,0,0,0,0,0.0680672916667212,0,0,0.231618580707701,0,0,0,0,0,0,0,0,0,0,0.0845037892866127,0,0,-0.0860586120588285,0,0.0400723722637839,0,-0.0519794374441997,-0.0284126522200741,0,-0.0185540754920428,-0.00909439776622224,0,0,0,0,0,0
X002304.SZ,0,0.419813505904625,0,0.0472675340955188,0.0208219122849303,0,0,0.0414027891671123,0,0,0,0,-0.0711949867552479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100656970770027,0,0,0,0,0,0,0,0,0.0528574450352486,0,0,0,0,0,0,0,0,0,-0.162542351131468,0,0.103714421441457,0,0,-0.0214857754915441,-0.0301677089637202,0,0,0,0,0,0
X300124.SZ,0,0,-0.0577501282501141,0,0,0,0,0.505299873215801,0,0,0,0,0,0,0,0,-0.0239378592836302,0,0,-0.0682002682131888,0,0,0,0,0,-0.0787529640262358,0,0,0,0,0,0,0,0,0.151845414009672,0,0,0,0,0,0,0,0,0,-0.0765132807482835,-0.00966348713558628,0,0,0.0609977793544842,-0.0360141805926621,0,0.0113959247587313,0,0,0,0,0,0,0
