,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X002415.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000725.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X601877.SH,X000596.SZ,X600703.SH,X600271.SH,X000661.SZ,X002236.SZ,X600809.SH,X000100.SZ,X000625.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X300142.SZ,X600487.SH,X000157.SZ,X002007.SZ,X002456.SZ,X600498.SH,X002506.SZ,X600776.SH,X000977.SZ,X600522.SH,X600066.SH,X000050.SZ,X600867.SH,X002241.SZ,X600177.SH,X002179.SZ,X600566.SH,X600089.SH,X002129.SZ,X002508.SZ,X300146.SZ,X002180.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.221104562982759,0,0,0,0.101212639826439,0,0,0,0,0,0,0,0,0,0,0.0310015540253933,-0.0461588444408473,0,0.00661528814728073,0,0.0827113243915797,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0501796358036996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00860951663192967,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0928159156982699,0,0,0,0,0,0.101883929350189,0,0,0,0,0,0,0,0.0802685109540044,0.281474200165335,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0.182198140614528,0.00129548728727611,0,0,0,0,0.0172547083319619,0,0,0,-0.0943902528762997,0,0
X000651.SZ,0,0.241690832684877,0,0,0,0,0.0238606101646394,0,0,0,0.0161914925315082,0,0,0.0482631288790045,0,0,0,0,0,0,0.11485115618586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107489284189036,0,0,0,-0.0270962468677422,0,0,0,0,0,0,0,0.0397890156004587,0,0,0,0,0,0.0144538271227419,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0557262283273392,0,0,0,0.0574053606089591,0.145190536841356,0,0.246001602611875,0,0,0,0,0.0164318354654315,0.111279319445494,0,0,0.100881945775613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295711290608866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624741283133516,0,0,0,0.00334782894599883,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0264573452818019,0,0.0275611030053149,0,0,0,0.108849678413133,0,0,0,0,0,0.248547510395728,0,0,0,0,0.0345894613490662,0.0396443806321135,0,0,0,0,0,0.015735308247365,0,0,0,0,0,0,0,0.0507152919433401,0,0,0,0,0.0474428553753271,0.0572534079984604,0,0,0,0,-0.0233723448451495,0,0,0,0,0.0164428479070266,0,0
X600276.SH,0,0,0,0,0,0,0.0398390138839406,0,0,0,0,-0.152715027393501,0,0,0,0,0.170208090758739,0.195449815980355,0,0.00473144358239285,0,0,0,0,0,0.367840606622893,0,0,0,0,0,0,0,-0.066108999941836,0.00396525696635627,0,0,0,0,0,0,0,0,0,0,0,0.00303402144649969,0,0,-0.0362304846392044,0,0.0303206854921801,0,0,0,0,0,0,0
X002304.SZ,0,0.0404479302499757,0.0139072790107848,0,0,0,0,0,0,0,0.0702311701368678,0.0650283558865702,0,0.289005756377005,0,0,0.211599079728128,0,0,0,0,0.138753323104967,0,0,0,0,0,0.0311309808965827,0,0,0,0,0,0,0,0,0,0,0,0.0136834105850826,0,0,0,0,0,0,0,0,0.0155566949603783,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671517307262631,0,0.0972202031354673,0.0610618782890575,0,0,0.0277384405777193,0.0475188601605245,0,0,0,0,0,0,0,0.028498384113471,0,0,0,0,-0.0790082712786055,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.226509977973645,0,0,0,0,0,0,0.0878771403961156,0,0,0,0.171856029526207,0.0119094338184918,0,0,0,0,0,0,0,0.089147464426958,0,0,0.0169491418104969,0,0,0.0566329117052585,0.0560288428943523,0,0,0,0,0,0,0.193134987553512,0,0,0,0,0,-0.037550197203529,0.0215420417581845,0,0,0,0.0538051385316485,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.113083546126831,0,0.0649315359805969,0,0,0,0,0,0.0245337332595443,0,0,0.0378972636378755,0,0,0,0,0,0,0,0.061088763670778,0,0,0,0.0629879726226678,0,0,0,0.0895489533677598,0,0,0,0,0,0,0.317766315091126,0,0,0,0,-0.00427148180635873,-0.039161677036435,0,0,0,0,0,0
