,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X002304.SZ,X300124.SZ,X003816.SZ,X600104.SH,X000725.SZ,X002371.SZ,X000063.SZ,X000596.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002241.SZ,X600372.SH,X002129.SZ,X002236.SZ,X000661.SZ,X000157.SZ,X002049.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600183.SH,X002463.SZ,X002007.SZ,X600522.SH,X000800.SZ,X002028.SZ,X601799.SH,X600460.SH,X002074.SZ,X600418.SH,X300142.SZ,X002294.SZ,X000066.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.19392018194272,0.325339564160877,0,0,0,0.00619915570890256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162719157438797,0.0407794547953139,0,0.0429200377249554,0,0,0,0,0,0,-0.0137084000285478,0.0156291908145505,0,0,0,0.000918787733294303,0,0
X000858.SZ,0.157847116188851,0,0,0,0.114684678883778,0.285766045273684,0,0.0914959337093054,0,-0.051083080548133,0,0,0,0,0,0,0,0,0,0.0250409395779541,0.0122170867387954,0,0.0213631393699953,0,0,0,0,0.101286620212174,0,0,0,0,0,0,0.00343979553580799,0,0,0,0,0.0189298268051237,0,0,0,0,0,0,0.0422074187397768,0,0,0,0,-6.35126110018662e-05,-0.00717230744947935,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.02200000178854,0,0,0,0,0,0,0,0,0,0,0,0,0.171000539021708,0.0561500587429581,-0.0204330806447523,0,0,0.231778285612376,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0972603872225434,0,0,0,0,0,0,0.074887203699362,-0.0412450448479482,0,0,0,0,0,0,0,0.0285269856354678,-0.00335549128870307,0.0428259405121347,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0578425826292573,0,0.0241023331557328,0,0,0,0,0,0,0,0,0.115085637002763,0,0,0,0,0,0,0,0,0,0,0.0516780984366978,0,0,0,0,-0.0219756065920937,0,0,0,0,0,0,0,0,0,0,0,0,0.235345892705331,0,0,0,0.0149099846546312,-0.0100955846016197,0,0,0,0,0,0
X600809.SH,0.146654350308825,0,0,0,0,0.390079421849327,0,0,0,0,0,0,0,0,0,0,0,0.267868973766645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041292010501327,0,0,0.0912573499797682,0,-0.097798280952434,-0.0722495746345893,0,0,0,0,0,0,0,0,0,0,-0.00829397197993959,0,0,0,0,0,0,0
X000568.SZ,0,0.43703622040945,0,0,0.522995648627411,0,0,0,0,0,0,0.0157311119089079,0,0,0,-0.0154883183846353,0,0,0.0207716969657302,0,0,-0.0518306378008899,0,0,0,0,0,0,0,0,0,0,0,0,-0.0482227770748839,0,-0.108925291450444,0,0,0,0,0,0,0,0,-0.0388929552869866,0.0315094296860553,0,0,0,0,0.00900017665450187,-0.00174056145398986,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856095225984706,0,0,0,0.118014390351098,0,-0.00729679559388498,0.0472875108671033,0,0,0.240722182621124,0,0,0.00411077345704726,0,0,0,0,0,-0.0455447088463931,0,0,0,0,0,0.00289751797702214,0,0,0,0,0.0532736463506088,0,0,0,0,0,-0.0127962144387814,0.0513943483003211,0,0,0,0,0,0
X600690.SH,0.015462969090405,0.0625765532249504,0,0.0166245453945726,0,0.143175021058548,0,0,0,0,0,0,0,0,0,0,0,0.174336926266151,0.0794363710998929,0,0,0,0,0,0,0,0,0,0,0.0145548929926363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300275509204321,0,0,0,-5.42101086242752e-20,0,0
X000651.SZ,0,0,0,0,0,0,0,0.435584709500134,0,0,0,0,0,0,0,-0.0322838342172584,0,0,0,0,0,0,-0.0871628885984742,0,0,0,0,0,0.0821776412512877,0,0,0,0,0.24872380015866,0.00444315390918681,0,0,0.0614676974115301,0,0.0191709197623241,0.0126143785296284,0,0.150205816680967,0,0,0,0.0266947117957749,0,0,0,0,0.109374107296743,-0.199053174319213,0,0,0,6.93889390390723e-18,0,0
X000625.SZ,1.73472347597681e-18,0,-0.095564920105407,0.155077908483813,0,0,0,0,0,0,0.126695892358526,0,0.101258068205912,0,0,0,0,0,0.358906695241462,0,0.042394743306645,0,0,0,0,-0.0792554742921722,0,0,0,0,0,0,0,0,0,0,-0.0413344169875212,0.0478297545117413,0,0,0.0269556407737991,0,0,-0.0448295841578857,0,0.349805277761035,0,0,0,0.0904909736790849,0,0.0147239038340423,-0.0130896697947172,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.338051538471747,0,0,0,0.0106564542696631,0,0,0,0,0,0,0.0228056766652841,0,0,0,0.203182855665947,0.085720130553575,0,0,0,0,0,0,0,0,0,0,0,0,0.0975006385410582,0,0,0,0,0,0,0,0,0,0,0.00186840869452562,0,0,0,0,0,0,-0.0126127445141667,0,0,0,0,0,0
