,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600031.SH,X600703.SH,X000100.SZ,X600372.SH,X000157.SZ,X600271.SH,X600066.SH,X002236.SZ,X000559.SZ,X002292.SZ,X000338.SZ,X600089.SH,X002475.SZ,X600741.SH,X000016.SZ,X002241.SZ,X600839.SH,X000568.SZ,X002465.SZ,X300124.SZ,X600177.SH,X002129.SZ,X000066.SZ,X000800.SZ,X300003.SZ,X600006.SH,X002294.SZ,X000869.SZ,X000547.SZ,X600312.SH,X600435.SH,X600582.SH,X000581.SZ,X600867.SH,X002074.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0142885753653067,0,0,0,0,0.112721967616197,0.162162712241994,0.0759707080005073,0,0,0,0,0.0645339115305628,0,0,0,0,0.0426611449824914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647779992378478,0,0,0,0,0.0331413212875448,0.0170273393193869,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.256004230898538,0,0.0466373560948645,0,0,0,0,0,0,0,0,0.0243265490723122,0,0,0,0,0,0.0573548088805353,0.0391578936635427,0,0.175921091925525,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571122157397031,0,0,0,0.109510860862585,0,0,0,-0.0454015533103695,0.0419908627602001,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305510684780364,0,0,0,0,0,0,0,0,0,0,0,0.168753194010533,0,0,0,0,0,0,0,0.0449810912927499,0,0.0192547280940857,0,0,0,-0.0611960458417519,0,0,0.0405823990838557,0,0,-0.0763888007618281,-0.0252471622335264,0.0649261239675355,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.137803363456889,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0549181614528626,0,0,0,0,0,0,0,0.0162015639275784,0,0,0,0.144171940118605,0.246854692958902,0,0,0,0,0,0,0,0.101533252043529,0,0,0,0,0,0,0,0,0.00109041022286717,0.0547022355281332,0,0,0.00317371341732754,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.066730354702807,0,0.132735812604244,0,0,0,0,0,0,0,0,0.235522110401738,0,0,0,0,0,0.0224670222031903,0,0,0,0,0,0,0.052844855457597,0,0,0,0,0.0759092359076994,0,0,0,0,0,0,0.0947520191297,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0323104624999389,0,0,0.0779468046705391,0.211799089474122,0,0,0,0,0,0,0,0,0.0199102313494245,0,0,0,0,0,0,0,0,0,0,0,0.0113739843204536,0.282056489780019,0,0,0,0,0,0,-0.0846789804074602,0.175793451862495,0,0,0,0,0,-0.0323562421419322,0,0,0,0,0,0.0087579058435803,-0.0187770499153984,0,0,0,0,0,0
X600276.SH,0,0,0,0.0424561407727903,0,0.051638342406066,0,0,0,0.0297885728281219,0,0.0288301301720031,0.271577231354894,0,0.0890817662691523,0,0,3.46944695195361e-18,0.154766982168345,0,0,0,0,0,0,0.0323044847006598,0,0,0,0,0,0,0,0,0,0,0,0,0.0159222846637526,0,0,0,0.0432114822159578,0,0,0,0,0,0,-0.0114617050871752,0,0,0,0,0,0,0
X002304.SZ,0,0.271512418406029,0,0,0,0.210299990872258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185760999914481,0,0,0,0,0,0,0,0,0.0155298436321465,0,0.126168625309436,0,0.0179960514647051,0,0,0,0.0380059537446986,0,0,0,0,0,0,0,0.141221956886661,0,0,0,0.0153087383636167,0.0327736178175707,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.16997567631693,0,0,0,0,0,0.0886580144200653,0,0,0,0,0,0.276322964208104,0,0.0817696239317613,0,0.000782715398981461,0,0,0,0.00150735646924631,0,0,0,0,0.0544207941168457,0.00981783879199496,0,0,0,0,0,0,0,0,0,0,0,-0.0129887370364439,-0.000555952342497966,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0074971751037037,0,0,0,0.136939575611152,0,0.193000523332177,0.0532447443547845,0,0,0.0154322135408899,0,1.73472347597681e-18,0.0263912337610354,0,0.118280869337772,0,0,0,0.14256636123023,0,0,0,0,0,0.0518052413751709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556430558652765,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.416649533684422,0,0,0,0,0,0,0,0,0,0,0.00421091632035157,0,0.011255760341516,0,0,0,0,0,0,0.177613197827958,0,0.100260740762102,0,0,0,0.10958117605956,0,0,0,0,0,0,0,0,0,0,0.0247933406567092,0,0,0.011008565189724,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19510145043076,0,0,0,0,0,0,0,0,0,0.0600738407265802,0,0,0.12291707608313,0,0.0143041816700399,0,0,0,0,0,0,0.0874433186098216,0,0,0,0,0.490559373665894,0,0,0,0,0,0,-8.67361737988404e-19,0.0268290302384123,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0.233616330978317,0,0,0.00270834359315695,0.019545796140885,0.118665842617086,0,0,0,0.20762770740837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348610634803738,0.0153035252820694,0,0,0,0,0,0,0,0,0,0,0,-0.00442636250923875,-0.00374244242099745,0,0,0,0,0,0
