,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X000338.SZ,X600031.SH,X000625.SZ,X002456.SZ,X002008.SZ,X600066.SH,X601877.SH,X600809.SH,X600487.SH,X300124.SZ,X002508.SZ,X300003.SZ,X000100.SZ,X002241.SZ,X002294.SZ,X600867.SH,X600522.SH,X600271.SH,X600566.SH,X300136.SZ,X000157.SZ,X000981.SZ,X000050.SZ,X600089.SH,X000596.SZ,X600177.SH,X002085.SZ,X600498.SH,X600707.SH,X300142.SZ,X002180.SZ,X000661.SZ,X002179.SZ,X600699.SH,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.103159386653092,0,0,0.621056645100523,0,0.0603177611111696,0,0.011748306463586,0,1.0842021724855e-19,0,0,0,-0.0270367037728511,0,0.000467815118708816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104227692119495,0,0,0,0,0,0.0532492929564187,0,0,0,0,0,0,0,0,0,0,0,0.000931717228721731,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,-0.130461724130876,0,-0.166980885782951,0.233967068840696,0,0,0.0835767756545343,0.248591255048688,0.0555188666278919,0,0,0,-0.0815318651412078,0,0,0.135054338193103,0,0,0,0,0,0,0,0,0,0,0,0,-0.037372003363072,0,0,0,0,0,0,0,0,0,0.0106612806272467,0,0,0,0,0,0,-0.030175485722441,0.0243305107876749,0,0,0,0,0,0
X002415.SZ,0,0,0,0.00517673897088133,0,0,0,-0.0442986524087146,0,0.269534491560942,0.178007542399977,0.0485592829659426,0,0,0.0444516548792249,0.0733737709578355,0.00661718838589965,0,0,0.111710578321348,0,0.0449885900465244,0,0.192457447826124,0,0,0,0,0,0,0,0,0,0,0.117293597928176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029054372295171,0.0187613436219333,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.317858500462046,0,0,0,0.0945971687286784,0.211598174030362,0,0,0,0,0.0657952463204651,0.00623956859789953,0.081305113571757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.086255156536436,0,0,0,0,0,0,0,0,0,0.0890698192061275,0,0,0,0,0,0,0,-0.00520170371236684,0.0555086859307469,0,0,0,0,0
X000858.SZ,0.224259113559663,0,0,0.425733402573682,0,0,0,0,-0.00656915429580022,0,0,0.388956676030669,0,0,0.0456990623353033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179452970443175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176963605313404,0.0141436982375353,0,0,0,0,0,0
X600276.SH,0,0,0.0645267348964422,0,0,0,0,0,0,0,0.00332045018866638,0,0,0,0.0252023725217371,0,0,0,0,0,0,0,0.0331079798143538,0.227592424658171,0,0.228018411300183,0,0,0,0,0.047932166485117,0.0568451936496561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00974597203365726,-0.0102709291678984,0.0209429424399378,0,0,0,0,0
X002304.SZ,0.221537263149705,0,0,0,0.137838196194562,0,0,0,0,0,0,0.187343622317047,0.0279798533932399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0054813178792058,0,0,0,0,0,0,0,0,0,0,0.212380459588685,0,0,0,0,0,0,0,0,0,0,0,-0.0132784206536785,0.012690865380894,-0.126337836760687,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.570181179767548,0,0,0,0,0,0,0.172909899361596,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0.142045569640661,0,0,0,0,0,0,0,0,0,0,0.107462113104947,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0669082501067535,0.0702260917114647,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.369047201484338,0,0,0,0,0,0,0,0,0,0,0,0.0251261355648999,0,0,0,0.245389780061248,0,0,0,0,0,0,0,0,0.491801866346855,0.110918092085661,0,0,0,0,0,0,0,0.0547978094049245,0.232646491898818,0,0,0,0,0,0,0,0,0,0.00730825768025653,0,0,0,0,0,0
X600690.SH,0,0,0.0208544413115941,0,0.44379663637726,0.108703681188738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57803956422091e-05,0,0,0,0.0577190605588497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13576096214264,0,3.46944695195361e-18,0.0117903644392588,0,0,0,-8.67361737988404e-19,0.0107505469572979,0,0,0,0,0,0
