,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X600271.SH,X000568.SZ,X002292.SZ,X600118.SH,X000100.SZ,X002241.SZ,X002236.SZ,X600031.SH,X600372.SH,X600177.SH,X000559.SZ,X002074.SZ,X002506.SZ,X002475.SZ,X300003.SZ,X000157.SZ,X002456.SZ,X000338.SZ,X002007.SZ,X300124.SZ,X000050.SZ,X002085.SZ,X002426.SZ,X002508.SZ,X002294.SZ,X000869.SZ,X002180.SZ,X600867.SH,X600089.SH,X002249.SZ,X000981.SZ,X600498.SH,X601877.SH,X002465.SZ,X600522.SH,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.045886537885762,0,0,0,0,0,0.405426186174171,0,0,0,0,0,0,0,0,0,0,0.0242609564459955,0,0,0,0,0,0,0,0,0,-0.145424321883081,0,0,0.251410219888323,0,0.0896831265410561,0,0,0,0,0.0173708618682606,0,0,0,0,0,0,0,-0.0569868735297259,0,0,0.043997887388914,0,0,0,0,0,0,0
X600104.SH,1.73472347597681e-18,0,0,0.0850493247892219,0,0,0,0.0642557027576518,0.175579847437772,0,0,0,0,0.040375646267959,-1.73472347597681e-18,-0.0909458852006569,0,0,0,0,0,0.0234272925316041,0,0,0,0,0,0,0,0,0,0,0,0.0605485989637769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150241509024501,0,0,0.0690964106822751,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334387491744125,0,0,0,0.0190415979748609,0,0,0,0,0.0509728546079584,0,0.0512459285155659,0,0,0.016256334810542,0,0.152725495047328,0.0787944984842766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119277601426439,0.0405235157451553,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.282553743212008,0,0,0,0.122271953891056,0,0,0,0,0.0315689048714526,0,0.00141625079306559,0.0534019625900019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539478041435659,0,0,0,-0.0117954524653551,0,0,0,0,0.0290633503551675,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.706518093407215,0,0,0,0,0,0,0,0,0,-0.0235814557472769,0.126111047989094,0,0,0,0,-0.0170272079659833,0,0,0,0,0,0,0,0.187390620960673,0,0,0,-6.93889390390723e-18,0,-0.065276668069364,0,0,0,0,-0.00226241612787966,-0.0781890565851133,0,0,0,0,0,0,0,0,0,0,0.045296594621522,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.111828577881012,0.00738275113262211,0,0,0,0,0,0,0,0.0892105974456823,0,0,0.0487921428983853,0,0,0,0,0.0583989043526676,0,0,0,-0.00461871751329722,-0.0559642019993857,0,0,0,0,-0.0557525897080264,0,0,0,0,0.0395354290390432,0,0,0,0,0,-0.0190649723914712,0,0.117019796394864,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01390628159786,0,0.042878056224621,0,0.224855203206977,0,0,0.076468326468269,0,0,0.143594110992084,0,0,0,0,0,0.0289616146428653,0,0,0,0,0,0,0.0211431167044846,0,0,0.013268025585543,0,0,0,0,0,0,0.0714327779457073,0,0,0,-0.0432719389496675,0.0231932359304731,0,0,0,0,0,0
X000625.SZ,0,0.113082979606005,0,0.0693270124762293,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.276573825676322,0,0,-0.0877715325595842,0,-0.0346732575003556,0,0.00834220698397338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196866395107792,0,0,0,0,-0.0344877696307019,0.175006170417349,0,0,0,0,0,0
X600690.SH,0,0,0.0739559873053209,0.131842817253102,0,0,0,0,0,0,0,0,0,0,-0.0406165489599237,0,0,0,0,0,0,0,0,0.0691899181640917,0,0,0,0,0,0,0,0.0691572333628933,0,0.112385560078472,0,0,0.0722223612930911,0,0.0108825782402665,0,0,0,0,0,0,0,0,0.0153619922274262,0,0,0,0.0205681763213658,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0520659921068694,0,0,0,0.0991969839628881,0.0870343279959244,0,0,0,0,0,0,0.0837982328934438,0,0,0.0645288060836863,0.0217811039228293,0,0,0,0.0771098051670722,0,0.00918849070791974,0,0,0,0.0615724053099454,0,0.0754137830456145,0,0,0,0,0.051949740783654,0,0,0,0,0,0,0.0840046383893297,0,0,0,0,0,0,0,0.00303389366689684,0,0,0,0,0,0
