,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600031.SH,X600276.SH,X000100.SZ,X600118.SH,X600703.SH,X600372.SH,X000157.SZ,X600271.SH,X000338.SZ,X000559.SZ,X600741.SH,X002241.SZ,X002129.SZ,X600839.SH,X600089.SH,X002292.SZ,X600066.SH,X000568.SZ,X002475.SZ,X600177.SH,X000800.SZ,X300124.SZ,X002236.SZ,X600582.SH,X601877.SH,X000727.SZ,X002276.SZ,X002223.SZ,X002456.SZ,X000550.SZ,X600435.SH,X300003.SZ,X002465.SZ,X600060.SH,X000016.SZ,X000581.SZ,X600198.SH,X600166.SH,X002049.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0901801379630828,0,0,0.00361374981567782,0,0,0.0393326758792452,0,0,0.0662533751428646,0,0,0,0,0,0,0,0.0711881460890631,0,0,0,0.196916338100733,0,0.0343037974633169,0,-0.0186055141938474,0,0,0,0,0,0,0.0599026046906225,0,0,0,0,0,0,0,0,0,0,0,0,0.00267220336148134,0.0109982660340766,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0491539098808606,0,0,0,0.0609262654180709,0,0,0,0,0,0.0232815057360298,0.0202772832240044,0,0.00583941172085998,0,0,0,0,0,0.0643278212222534,0.128794573405109,0,0,0.141784883670126,0,0.0165981921598359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555722954991472,0,0,-0.00677117289044581,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720394070020091,0.140615982047446,0,0,0,0,0,0,0,0,0.0472569920982008,0.120526844296323,0,0,0,0,0,0.0283203972469087,0,0,0.23250136570863,0.0775593563502763,0.120783694177432,0.00982324070244233,0,0,0,0,0.016880651967667,0,0,0,0,0.0450298617237049,0,0,0.0096996905807641,0,0.00305921069169185,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334051981082097,0,0,0.0487088831416945,0,0,0,0,0,0,0,0.114153737522953,0,0,0,0,0,0,0,0,0,0.0101631726578721,0,0,0,0.042603874025094,0,0.112993170094762,0,0,0,0,0,0,0,-0.0119713884698721,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.100039850322323,0,0,0,0,0,0,0.144331755079915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176704003866782,0,0,0.139706322650719,0.0503016019970202,0,0,0,0.01404610930231,0.0801754846294043,0,0,0,0,0,0,0.11779876693338,0,0,-0.0149985672534469,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.000522917386882697,0,0.17667910805599,0,0,0,0,0,0,0,0.124563090550695,0,0,0.088537293788511,0.0266587021042976,0,0,0,0,0,0.138549945948934,0,0,0.124859647447969,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.00319440635504341,0.000624619374224762,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598378891606209,0,0,0,0,0,0,0.107494122711564,0,0,0,0,0,0,0,0.0470721255645087,0,0.0265266392934084,0.0968883118073819,0,0,0,0,0,0,0,0,0,0.0769312645615194,0,0,0,0.161346071187118,0,0.03650166622975,0,0,-0.00409981568365184,-0.00510557556280267,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0704438378186275,0,0,0,0,0,0,0,0,0,0,0,0.106502830408043,0,0,0,0.0720338121551955,0,0,0,0.104483384217777,0,0,0.114413545909654,0,0,0,0,0,0.0708421870248954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00619802348683002,0.0393364019935846,0,0,0,0,0,0
X000063.SZ,0.18129181944969,0,0,0,0.0442821658804986,0,0,0,0,0,0,0,0,0,0,0,0.12081990715288,0.0380397764689611,0,0,0,0,0,8.67361737988404e-19,0.179534452868171,0,0,0,0,0.0841353048279908,0,0,0,0,0,0,0,0.15718175011752,0,0,0,0,0,0.0854040253358256,0,0,0,0,0,0,0,-0.0127035032979363,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0348695625272496,0,0,0,0,0,0,0,0,0,0,0.0087110187091954,0.0379789520368165,0.0448042803699576,0,0,0,0.0286559646081702,0,0,0,0,0,0.0405111097289451,0,0,0,0,0,0,0,0,0,0,0,0,0.115436831869156,0.0727135608160211,0,0,0.0515185242772301,0,0,0,0,-0.000803361613910508,0,0,0,0,0,0,0
