,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X600271.SH,X000100.SZ,X600031.SH,X600118.SH,X002241.SZ,X600177.SH,X002292.SZ,X000338.SZ,X600372.SH,X002007.SZ,X000559.SZ,X002475.SZ,X002456.SZ,X600522.SH,X000157.SZ,X002074.SZ,X600867.SH,X002180.SZ,X300003.SZ,X002506.SZ,X300124.SZ,X002294.SZ,X002085.SZ,X002426.SZ,X600089.SH,X002508.SZ,X000869.SZ,X601877.SH,X000981.SZ,X600498.SH,X000050.SZ,X002465.SZ,X002179.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.361330093426855,0,0,0,0,0,0,0.180234259526974,0,0,0,0,0,0,0,0,0,0,-0.129896943772977,0,0,0,0.0930506872126508,0,0,0,-0.0906537375212561,0,0,0.089377031319572,0,0.0552970563558399,0,0,0.038896772591794,0,0.247620880529641,0,0,-0.185936380548699,0,0,0,0,0,0,0,0,0,0.0226023761544473,0,0,0,0,0,0,0
X600104.SH,0.182693962175533,0,0,0,0,0,0,0.359512866651575,0.0206301518689382,0,0.142850162791823,0,0,0,0,0,0,0,0,0,0,-0.0351360522663345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00155765085745966,-0.0190635482258473,0,0,0,0.00527780485881753,0,0,0,0,0,0,0,0.0374380967004929,0,0,0,0,0,0,0
X002415.SZ,0.0284497567020183,0,0,0.0488887323116687,0,0,0,0,0,0,0,0,0,0,0.0213168841566325,0,0,0,0,0,0,0,0,0,0.132047488346488,0,0.119737726582482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314185191189106,0.140090581243682,0,0,0.135509608369981,1.73472347597681e-18,0,0,0,0,0.0329051271815578,0,0,0,0,0,0,0
X000858.SZ,0.0705383011206529,0,0,0,0.302170505942023,0,0,0,0.267301676130283,0,0,0,0,0,0.237930586399307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438699887292718,0.0196366369960458,0,0,0.122937312179214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.764734483962698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504866399109628,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0163377023753856,0,0,0,0,0,0,0,0.0360402820576111,0,0,0,0,0,0,0,0.0101571341774411,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0459581598125691,0,0,0,0,0.151547164563421,0,0,0,0.105754964678067,0.0849968158845548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00265160764023288,0,0.0201085864580136,0,-0.0321868665196822,0,0,0,0,0,0,0,0,0,0,-0.0163399683761961,0,-0.0242715322984594,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0608318172252667,0,0,0.0897265997955047,0,0,0.012187215954149,0,0.176797245428751,0,0,0,0,0,0.0566471810085721,0,0,0,-0.00484449263299793,0,0,0,0,0,-4.33680868994202e-19,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.153806532852639,0,0.0430247645584564,0,0,-0.0174336361740839,0.00708404750024618,0,0,0,0,0,0
X000625.SZ,0.0208986884705444,0.209583055488019,0,0,0,0,0,0,0,0.0476902064246693,0.0354709678868383,0,0.0558522348153371,0.103009228453628,0,0.0480914992598978,0,0,0,0.00949946791597268,0,0,0,0,0,0,0,0,0,0,0,0,0.0115246202015671,0,0,0,0,0,0,0,0,0,0.0154177662487201,0,0,0,0,0,-0.151079068958633,0,-0.00953173487295967,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0403033015035827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178838099050345,0,0,0,0.103414201595962,0,0,0,0.0446187465941253,0,0,0,0,0,0,0,0.0546276650263784,0.152662583768878,0.0437581579534525,0,0,0,0,0.00433235056495439,0,0,0,0.0699911461644081,0,0,0,0,0,0
X000063.SZ,0,0,0.0457620303655637,0.0878613094148543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072570029746415,0,0,0,0,0,0,0,0.0965112193165072,0.0284605734316817,0,0,0,0.0637167394044128,0,0,0,0,0,0,0,0,0,0.0331600770897492,0.0637844838232626,0.138528203990373,0.0382054181238065,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
