,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X600089.SH,X002236.SZ,X000100.SZ,X002475.SZ,X000581.SZ,X600118.SH,X000050.SZ,X000559.SZ,X601877.SH,X600066.SH,X000550.SZ,X002129.SZ,X000568.SZ,X600271.SH,X002294.SZ,X002456.SZ,X600435.SH,X002292.SZ,X300003.SZ,X300124.SZ,X000400.SZ,X002038.SZ,X000800.SZ,X600839.SH,X000869.SZ,X000977.SZ,X002049.SZ,X600566.SH,X002008.SZ,X000623.SZ,X002007.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.104329965677248,0,0,0,0,0.00220490388149931,0.0757331166983346,0,0,0,0,0,0.283399797542187,0.0369952068548884,0,0,0,0,0,0,0,0,0,0,0.0293620944298332,0,0,0,0,0.019748118603161,0,0,0,0.156135559138595,0,0,0,0,0,0,0,0.0980601226865448,0,0,0,0,0.00906281668893236,0,0,0,0,0,0,0
X600519.SH,0.147001913671843,0,0,0,0.0319195427899088,0,0.216666372286551,0.153150205952651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410616241764856,0,0,0,0,-0.0118801943188874,0,0,-0.0883505626743134,0,0,0,-0.0195991449405841,0,0,0,0,-0.0153187368316322,0,0,0,0,0,0,0,0,0,-0.0130548789845513,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11947612886828,0,0,0,-0.0171273350651469,0,0,0,0.111591136398033,0.0321722050488761,0,0,0,0,0.0379712171002423,0,0,0.0272133234428226,0,0,0.0626829416430462,0,0,0,0.00204988214348465,0,0,0,0,0,0,0.0362226928511312,-0.0129034202046773,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.165730842057798,0,0,0,0,0.199284654056886,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176186766062769,-0.0410380685949037,0,0,0,0,0.257801873310845,0,0,0,0,0.0246231118052627,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0345646936060075,0,-0.0189905707875412,0,0.0544629569130576,0,0,-0.00353743707583351,0.0105510107386636,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0367174348470324,0,0,0,0,0,0,0,0,0.429672019680925,0,0,0,0,0.0389118011708436,0,0,0,-0.0173755764645097,0,0,0,0,0,0,0,0,0,0.147650516715537,0,0,0,0,0,0.0597602028668005,0,0.0912983772673235,0,0.0367274682350181,0,0,-0.0551898649741257,0.0879577117362532,0,0,0,0,0,0
X000625.SZ,0.478798723232686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242684270754098,0,0,0,-0.015421130658509,0,0,0.0724182849834966,0,0.0209449198444757,0.0287228480509511,0.146549812795801,0,0,0,0,0,0,0,0,0,0,0.0204352444360469,0,0.021929185928257,0,0,0,0,-0.0705197746355832,0,0,0,0,0,-0.00776773009903615,-0.00746116759149138,0,0,0,0,0,0
X002304.SZ,0,0.0163094418754091,0,0,0,0,0,0.214019942435705,0,0,0,0,0.0224816019258938,0,0,0,0,0.212363180895136,0,0.0388669764487401,0,0,0,0,-0.101049147250977,-0.0488552380247658,0,0,0,0,0.201996529716123,0,0,0,0,0.0856200129638663,-0.0126354863297896,0,0,0,0,0,0.126632418614422,0,0,-0.0453019328744712,0,0,0,0,0,0,-0.00756498490870418,0,0,0,0,0,0
X000858.SZ,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0402289454235302,0,0,0,0,0,0,0.184984977694224,0,0,8.67361737988404e-19,-0.0801107652569625,0,0,-0.0649576226403349,0,0,0,0,0,0.0924642750603681,0,0,0,0,0,0.114170823456635,0.0687657298591174,0,0,0,0,0.322157614759268,0,0,0,0,0,0,0,0,0.00339219799912873,-0.00356468111005758,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341929081583348,0,0,0.00743176755446708,0,0.0259262471866286,0,0,0,0.125233589273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0853441296536585,0,-0.0488265989659709,0,0,0,0,0.0843938678187773,0,0,0.0167562191613315,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.106269153215785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136008566546375,0,0,0,0.0351881995747113,0,0,0,0,0.0242937789224663,0.00213411856910575,0,0,0,0.0515258376743178,0,0,0.149330993257038,0,0,0,0,0,0.0894249258944058,0.0130929492641543,0.0314586319970524,0.0456851837485393,0,0,0.0612865226929123,0,0,0.00234410468966904,0,0,0,0,0,0,0
