,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X002236.SZ,X000568.SZ,X002241.SZ,X002475.SZ,X000625.SZ,X600741.SH,X000338.SZ,X600031.SH,X002456.SZ,X600066.SH,X300124.SZ,X000100.SZ,X300136.SZ,X601877.SH,X002008.SZ,X600809.SH,X300003.SZ,X002085.SZ,X600487.SH,X600271.SH,X600089.SH,X002508.SZ,X600177.SH,X600522.SH,X000157.SZ,X300115.SZ,X000050.SZ,X600118.SH,X002294.SZ,X600867.SH,X600699.SH,X600372.SH,X600498.SH,X000559.SZ,X000981.SZ,X600566.SH,X002180.SZ,X000623.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,-8.67361737988404e-19,0,0.164564824644437,0,0,0.104888423059136,0,0,0.0139731207327958,-0.00987210080030279,0.124942113517909,0,0,0,0,0,0,0,0,0.00270430532232872,-0.0144786672328172,0,0,0,0.0656783452281063,0,0,0,0,0,0.0808393819165716,0,0,0,0,0,0,0.0789301097467995,0,0,0,0,0,0,0,0.035409153208022,0,0,0,0.00714801649752577,-0.0210568498297126,0,0,0,0,0,0
X600104.SH,0,0,0,0.387209253762185,0,0,0,0,0,0,0,0.0877187872045462,0,0,0.0664938078714492,0,0.251728927605419,0,0,0,0.180878943441613,0,0,-0.0343997315885458,0,-0.0129733372454314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194865187831475,0,0,0,0,0,0.0330539019349982,0,0.0208607338235116,-0.00666073629455151,0,0,0,0,0,0
X002415.SZ,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.271923246611108,0.0647755874072773,0,0,0,0.0591626018334507,0,0,0,0,0,0,0,0,0,0.0643785629506909,0.064907845608636,0,0,0,0,0.0339789640591599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278797379808337,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.213181747840519,0,0,0,0,0.165000637763493,0,0.0911174069176912,0,0,0,0,0,0,0.0814569736249626,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.00200560328627394,-0.049722272416185,0.0681249947158482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394428969795937,0,0,0.0540990743605406,-0.00943036077932106,0.0246476144359732,0,0,0,0,0,0
X000858.SZ,0,0,0.00857656472129955,0.0814934847075827,0,0,0,0,0,0,0,0.0404183011046807,0.50527730760723,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0755469660688665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000340263622771693,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0925402801856903,0,0,0,-0.141663365743016,0,0.10416981791422,0,0.232080036092946,0,0,0,0,0,0,0,-0.0260647367288382,-0.0918740938057981,0,-0.0153234696801384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0526212222181379,8.67361737988404e-19,0.214540024955265,0,-0.250224303319851,0,0,0,0,0,0.0150327164357717,-0.00512441198554057,0,0,0,0,0,0
X000725.SZ,0,0.0337670388225234,0.101021396748658,0,0,0,0,0,0,0.0254981218469939,0,0.0123379791468419,0,0,0,0,0,0.14776593616802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147892212483513,0,0,0,0,0,0.17873918813205,0.262118886055052,0,0,0,0,0,0,0,-0.00611243212271371,-0.159254699550133,0,0,0,0,0
X002304.SZ,0,0,0,0,0.534083044408819,0,0,0,0,0,0,0,0.0789407479446327,0,0,0,0.0741365769572281,0,0.0455506636996109,-0.196077695478835,0,0,0,-0.034252295921941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328777258504526,0,0,-0.0468734562132476,0,0,-0.0146793897693597,0,0,0,-0.0555698348495908,0,0.0107738914725307,0,-0.00428813558887394,0,0,0,0,0,0,0
X000063.SZ,0,0,0.138896105823736,0,0,0,0,0,0,0.0272501599577008,0.317933021422535,0.134701001414797,0.02952127921991,0,0,0,0,0,0,0,0,0.0694198962093691,0,0,0,0,0.0290986975564411,0,0.0142366245045151,0.0778799630183213,0,0,0,0,0,0,0,0,0,0.0552597737024848,0,0,0.12609710390216,0,0,0,0,0,0,0,0,-0.0377471657441284,0.0576830110139308,0,0,0,0,0,0
X600690.SH,0,0,0.0192654303553022,0.374181276831822,0,0,0,0,0.0617957612318478,0,0,0.0723241553660181,0,-1.73472347597681e-18,0,0,0.288388083235024,0,0,0,0,0,0,0.028203831570096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609628184242946,0,0,0,0,0,0,0,0,0.0800336500777998,0,0,0,0,0.01528134972204,-2.16840434497101e-19,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.0939286837092079,0.236524449688634,0,0,0,0,0.0547643630575216,0,0,0.301135849213912,0,0,0,0,0.355369552725412,0,0,0,0,0,-0.203130276034811,0.0632130847043501,0,0,0,0,0,0,0,0,0,0,0.0827536309723866,0,0,0,0,0,0,0,0,-0.2178427186255,0,-0.284615817457037,0.00817168269076983,-3.46944695195361e-18,0,0,0,0,0,0
X002236.SZ,0,0,0.334606763058112,0,0,0,0,0,0.157873299667222,0,0,0,0,0,0.118750284522926,0,0,0,0,0,-0.115338947767113,0,0,6.93889390390723e-18,0,0.0753133553172275,0,0,0,0,0,0,0,0,0,0,0.203712123723364,0.101548746350455,0,0.0130692108198093,-0.0857819013409578,0,0.00206372027838633,0,0,0,0,0,0,0,0,0,-0.0119171931269701,0,0,0,0,0,0
X000568.SZ,0.231066013354794,0,0,0,0.280256614198782,0,0.0444637219824026,0,0.00286309022822985,0.0744873367829021,0.00225397835634414,0,0,0,0,0,0,0,0,0,0,0,0,0.112596605632526,0,0,0,0,0.000159564229751339,0,0,0.0200474739527072,0,0,0,0,0,0.0442570237037933,0,0,0,0,0.0468030136594213,0,0,0,0,0,0,0,0,0,-0.0267191787154139,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0.193447674591591,0,0,0,0,0,0.0746280939983416,0,0,0.0888454624011777,0,0.282153389765512,0,0,0,0,0,0,0.146865099032071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0979821777780515,0,0,0,0,0,0,0.00752648335679078,-0.0228587322678669,0,0,0,0,0,0
