,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X000338.SZ,X600066.SH,X002456.SZ,X000100.SZ,X601877.SH,X300124.SZ,X002508.SZ,X300136.SZ,X600089.SH,X300003.SZ,X600177.SH,X002294.SZ,X600271.SH,X600522.SH,X002085.SZ,X002008.SZ,X000157.SZ,X002007.SZ,X600118.SH,X600487.SH,X600867.SH,X000981.SZ,X600699.SH,X600566.SH,X600809.SH,X600372.SH,X002074.SZ,X000559.SZ,X300115.SZ,X000623.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0111231502999867,0,0,0,0.012277691511171,0,0,0,0,0.0534533865351443,0,0,0,0,-0.134352065458188,0,0,0,0,0,0,0,0,0.140471806845564,0,0,0,0,-0.250121748451965,0.0126889737117531,0,0,0,0,0.153494883055656,0,0,0,0,0.415558863510176,0,-0.0791895671937715,0,0.057785804695235,0,0,0,0,-0.00351618350878664,0,0,0,0,0,0
X600104.SH,0,0,0,0.273449473911101,0,0,0,0,-0.0291473168438569,0,0,0.454739386594104,0,0.0781652935539098,0.0721430975230277,0,0,0,0,0,0,0,0,0,0.00464196116215708,-0.0987966138671484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392017499797872,0,0,0,0,0,0,-0.251241567098465,0,0.0334278281538743,-0.0243888921345747,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0582256412327381,0,0,0,0,0,0,0.20411470809982,0,0.41831484865209,0.0651823714193429,0,0,0,0,0,0,0,0,0.240094910658045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181808278815468,0,-0.0387778273618158,0,0,-0.0826171767846602,0,-0.0811597414015392,-0.0263583487232361,0,0,0.00123443446282321,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0583340744855706,0,0,0,0,0,0,0.205267999552903,0.0319939517145962,0.167948164485496,0,0,0,0,0.123988774644808,0,0,0,0,0.0712029085167038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109438223712738,0,0,0,0,0,-0.0543962244096282,0,-0.00561319527194413,0.0105002968833787,0,0,0,0,0,0
X000858.SZ,0.0653929103912216,0,0,0,0,0.0157172274693188,0,0,0,0,0,0,0.625902673344462,0,0.0247760720165376,0,0,0,0,0,0,0,0.0853230754999722,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0347126144570631,0,0,0,0,0.0129769748487297,0,0.0475523793428308,0,0,0,0,0,0.0115688575440791,4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0.0994707968509087,0,0,0,0,0,0,0,0,0,0.161653800377735,0,-0.0462745164114391,-0.0393747972633568,0,0,0.253170853109573,0,0,0,0,0,0,0,0.272032902402901,0,0,0,0.400986234907742,0,0.312163871032727,0,0,0,0,0,0,0,0,0,0,0.151770107581276,0,0,0,0,0,0,0,0.0284871958578557,0,0,0,0,0,0
X600276.SH,0,0,0.0116766383451155,0,0.143473632398415,0,0,0,0,0,0,0.23887665880268,0,0,0,0,0,-0.184286114956212,-0.0150284694976344,0,0,0,0,0,0,0,0,0,0,0,-0.102365439545243,0.00986883828105335,0,0,0,0,0,0,0,0,0,-0.0328510947314482,0,0,0,-0.110994093661006,0,0,-0.0169760685529043,0,0.015209916473624,0.0144728919287864,0,0,0,0,0,0
X002304.SZ,0.116299448155016,0,0,0,0.441636049397836,0,0,0,0,0.193728108451345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234904808645446,0,0,0,0.00359561591545163,0,0,0,0,0.18496169735382,0,0,0,-0.121013669007779,0,0,0,-0.0113829836161104,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.0192529036830624,0,0,0,0,0,0,0,0.0232970795214051,0,0,0.311522515445974,0,0,0.170099608711108,0,0,0,0,0,-0.0838365941564876,0,0,0,0,0,0,0,0.0537251736989317,0,0,0,0,0,0.0012618900941196,-0.0160616615883239,0,0.257577140052534,0,0,0,-0.0169345350932353,-0.00959475597559567,0,0,0,0,0,0
X600690.SH,0,0.32007373558271,0,0.0681865103248162,0,0,0,0.0514101078073058,0,0,0,0.270248209582146,0,0,0.176151289275953,0,0,0,0,0,0,0,0,-0.0500795013592523,0,0,0,-0.139513229048163,0,0.0592119141369399,0,0.0158754122136999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234611332155272,0.000716484642402109,0,0,0,0,0,0
X600703.SH,0,0,0.125773604120872,0,0,0.0685092850040795,0,0,0.0464742389903128,0,0,0,0,0,0,0,0,0,0,0,0.0543604773607521,0,0,0,0,0,0,0,0,0,0,0,0,0.00792728929702606,0,0,0,0.195970629659049,0,0,0,0,0,0,0,0,0,0,0,0,0.0242389317286915,0.000547491118415972,0,0,0,0,0,0
X600741.SH,0,0.576641489238655,0,0,-1.73472347597681e-18,0,0,0.0433665524039564,0.0827303193325281,0.0612993609436775,0,0,0,0,0.105569996789196,0,0,0,0,0,0,0,0,0,0,-0.0572982809560608,0,0,0,0,0,0,0,0,0,0,0,0.0395484147378195,0,0,0,0,0,0,0,0,0,0,-0.0678453403427496,0,-8.67361737988404e-19,0.0163202955105173,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0144173166007074,0.779477494126836,0,0,0,0,-0.0290633079476681,0,0,0,0,0,0.0486640023072653,0,0,0,0,0,0,0,0,0.0430985300020535,0,-0.0176048967204136,0,0,0,0,0.0268586037709765,0,0,0,0,0,0,0,0,0,0,0.0547213050706297,0,0,0,0,0,0.0264756129396287,0,0.0135960776915659,-0.00520929326502456,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0627581755445864,0,0,0,0,0,0.0687157590406849,0,0.249486838119698,0,0,0,0,0,0,0,0.312930263514836,-0.255672776533213,0,0,0,0,0,0.00581387257368084,0,0,0,0,0,-0.0306736215710983,0,0,0,0,0,0,0,0,0,-0.0266409958920342,0,0.193370044525007,0,0,0,0,0,-0.0116712181550424,0.0297478930070036,0,0,0,0,0,0
