,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000625.SZ,X002129.SZ,X000596.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002180.SZ,X000661.SZ,X300142.SZ,X002241.SZ,X601877.SH,X600741.SH,X000733.SZ,X000100.SZ,X002074.SZ,X600522.SH,X600702.SH,X000157.SZ,X600460.SH,X600584.SH,X600884.SH,X300003.SZ,X000800.SZ,X600487.SH,X000799.SZ,X000066.SZ,X002414.SZ,X002007.SZ,X002236.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.355014674683516,0.0139954735555367,0.0344558265687034,0.295713047713376,0,0,0,0,0,0,0,0.0314304475638001,0,0,0,0,0,0,0,0,-0.0641445117642299,0.281121947786312,0,0,0,0,0,0,0,0,0,-0.0853504618293206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00628855749353907,0.0128199201848156,0,0,0,0,0,0
X000858.SZ,0.216153581905168,0,0,0,0.36636823101712,0.0630713258060227,0,0,0,0,0.107111923768746,0,-0.0337273533356147,0,0,0,0,0,0,0,0,0.00285650835366694,0,0,0,0,0,0,0,0,0,0,0,0.0454090520622314,0,0,0.0951442565986961,0,0,0,0,0,0,0,0,-0.00200007820924541,0,0,0,0,0,-0.0192820705298548,0,0,0,0,0,0,0
X600809.SH,0.359621591360463,0,0,0,0.45239683270229,0,0,0,0,0,0,0,0.0294145025973481,0,0,0.0663703233531132,0,0,0,0,0,-0.0856101896653747,0,0,0,0,0,0,0,0,0,0,-0.0795623272643272,0,0,0,0.0596104278083128,0,-0.010736155732973,0,0,0,-0.0499863820290203,0,0.0439913781852727,0,0,0,0,0,0,0.00181672101470083,0,-0.0890915246814123,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0768117126408083,0,0,0,0,0,0,0,0,0,0,0.126510377321609,0,0,0,0,0,0,0,0,0,0,0,0.0395775691248073,0.00655409654831378,0,0,0,0,0,0,0,0,0,0,0,-0.0678165978837346,0,0,0.243419021970088,0.0978729847310972,0,0.178493813414363,0,0,0.0480098111941709,-0.00233201493341438,-0.0193077527805546,0,0,0,0,0,0
X000568.SZ,0.554296550439544,0.0582436609056926,0.632240658169439,0,0,0,0.118452645568366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00508984619165512,0.162785615822805,0.0368235612253866,0,-0.0133950368981796,0,0,0,0,0,0.0535058145711321,0,0,0,-0.0889395082631486,0,-0.00804126423021152,0.0482161347326099,0,0,0,0,0,0,0,0,-0.0171368991478755,0.00884844402710704,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0315451375399111,0,0,0,0,-0.0497930950985577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998918998580578,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.179713160443447,0,-0.176415259433126,0.070240455727343,0,0,0,0.0093766597240308,0,0,-0.0104606446624775,0,0,0,0,0,0,0
X600690.SH,0.0574246176100323,0,0,0,0.261871617867975,0,0,0,0,0,0.228781114313278,0,-0.056195155888967,0,0,8.67361737988404e-19,0,0.125221787097467,0,0,0,0,0,0,0,0,-0.0382213797874016,0,0,0.0355217252570714,0,0,0,0,0,0.0197303385292603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000436364809225898,-0.0387877436855341,0,0,0,0,0,0
X002304.SZ,-6.93889390390723e-18,3.46944695195361e-18,0,0.0264325773916333,0.376088451510608,0,0,0,0,0.0265078422639918,0,0,0,0,0,0.0422133050144175,0.0513094161362769,0.0454536633498561,0.026404102662655,0,0,0,0,0,0.0223018427523995,0,0,0,0,0,0.0246672799104381,0,0,0,0,0,0.114395199015009,0,0,0,0,0,0,-0.0662494224808149,0,0,-0.049005055656334,0,0,0,0,-0.012793777146018,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.141457613807369,0,0.0235728229564225,0,0,0.208077338826459,0,0,0,0,0,0,0,0.00355327322227971,0,0,0,0,0,0.133693020349041,0.165860624025555,0.178393029721505,0.230965440304277,0,0,0,0,0,0,0.0279632079098201,0,0,0,0,0,0,-0.108709542389489,0,0,0.0236728406566044,-0.0971857943317378,0.0114317977579804,0,0,-0.00271125742397607,0,0,0,0,0,0,0
X300124.SZ,0,0,-0.0571347299956428,0,0,0,0,0,0.508522981356552,0,0,0,0,0,0,0,0,-0.0237147682195038,0,0,-0.0802328932085937,0,0,0,0,-0.0862946065676506,0,0,0,0,0,0,0,0,0.159305776876932,0,0,0,0,0,0,0,0,-0.0764726887422339,0,0,0,-0.0324070662230913,0,0.05095745632543,0,0.0114326853307849,0.00618033631312123,0,0,0,0,0,0
X000651.SZ,0,0.0358459305936413,0,0,0,0,0.368787572676618,0,0,0,0,0,-0.0690390929858731,0,0,0.17427229739019,0,0,0,0,0,0,0,0,0,0,0,0.059488921548568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136670319769749,0,0.102811268401124,0,0,0,-0.00643845186737241,0,0,0,0,0,0,0
X600104.SH,0.0408257394145192,0,0,0,0,0,0.0798730223631211,0,0.00797187900168125,0,0,0,0,0,0,0.135348519764531,0,0,0,0,-0.00519664514889992,0,0,0,0,0,0,0,0,0,0,0,0,0.10947227498114,0,0,0,0,0,0,0,0,0,0,0,0,0.0110111557878599,0,0,0,0,-0.00306563814784544,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,-0.100810289472082,0,0,0,0.32349189773831,0,0,0,0,0,0,0,0,-0.0676503640546176,0,0,-0.0953462083237488,0,0,0,0,0,0,0,0,0,0,-0.084017528257739,0,0.522972062583407,0.238465013976162,0.0252872468049846,0,-0.0548125531168016,0,0,0,0,0,0,0,0.153076401168226,0,0,0.100704392900156,0,0,0.0142140569328113,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057985105206658,0,0,0,-0.0289995847573795,0,-0.119579975553774,0,0,0,0.0609003185603755,0.02897419975866,-0.0305168395223101,0,0,-0.024861848507482,0,0,0,0.165353569586537,0,0,0.0554704251451835,0,0,0,0.0281836240733219,0,0.0565354285878795,0,0,0,0,0,0,-0.122995443697401,0,-0.00134283543477265,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,-0.045789417713251,0,0,0,0,0,0,0,0,0,0.164055844515556,0,0,0,0,0,0,0,0,0,0,-0.119611551992269,0.048381614268853,-0.0351874136747379,0.0378935764202168,0.0177121871454259,0,0,0.428525694321897,0,0,0.0323139669640962,0,0,0,0,0,0,-0.0284417198210036,0,0,0,0,0,-0.0156226524948705,0.000176632515039905,-0.00268308648531528,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.13729220874535,0,0,0,0.388050117510946,0,0,0,0,0.128866745482301,0,0.0414234287312153,0,0,0,0.0326211356571109,0,0,0,-0.0812066433509677,0,0,0,0.240980266605013,-0.0533302204866107,0,0,0,0,0,0,0,0,0,0,0,0,0.130168741902055,0,0,0,0.011866680239825,-3.46944695195361e-18,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.017273454621748,0,0.0112486262240026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190214831393564,0,0,0,0.0886304514180376,0,0,0,0,0,0.312433013744276,0,0,0.0522861699566025,0.0247903993547305,-0.00402172411320351,0.148666678053483,0,0,0,0,-0.0147191504524434,0.0122447868806086,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.222426059387684,0,0,0,0.132429983857723,0,0,0,0,0,0,0,0,0,0,0.175360743418016,0,0,0,0,0,0,0.0884352580600278,0.0722446623203529,0,0,0,0,0,0.119679274902452,0,0.114792978610557,0,-0.0609754497327025,0.0890563617429193,0.0417627044493036,0,0.0182578803542005,0,0,-0.165625273296782,0,0,0,0,0,0
X000596.SZ,0,0,0.600669675688865,0,0,0,0,0,0,-0.366307532677704,0,0,0,0,0,0,0.0876505745117324,0,0,0,-0.159596891420389,0,0,0,0,0,-0.0214785574541343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163176878811828,0,0,0,-0.037387302203041,0,0,0,0.0709802198562061,0,-0.0226404842696222,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0727615575230642,0,0,0,0,0,0,0,0,-0.174886526192856,0,0,0.218226535089799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344688279557725,-0.00138989821203866,0,0,0,0,0,0,0,0,0,0.140153951006321,0.178727632073236,0,0.228043267519737,0,0,-0.0236975820128209,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,-0.156814302569674,0,0,0,0.1911475422205,0,0.255520697155635,0,0,0,0,0,0,0,0,0,0,0,0,-0.461781134821004,0,0.0163703972249194,0,0.119671859505124,0,0,0,0,0.278243845739597,0,0,0,0,0,0.0226095357200796,0,0,0,0,0,0,0,-0.0153175118678774,-0.376859156959719,0.535433667931594,0,0,-0.0716606282642322,-0.0413264675020965,0,0,0,0,0,0
X002049.SZ,0,0,-0.228105563323862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26553203564056,0.110762540813455,0,0,0,0,0,0,0,-0.0327872034523626,-0.0470047412876668,0,0,0.031249946993106,0,0,0,0,0,0,0.01732881140595,0,0,0,0.212791942382732,0,0,0,0,0.266892736035458,0,0,0.0270860102431488,0.0750569240321852,0,0,0,0,0,0
