,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X002475.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600741.SH,X600703.SH,X300003.SZ,X000338.SZ,X600271.SH,X601877.SH,X002008.SZ,X300124.SZ,X002456.SZ,X600487.SH,X002236.SZ,X600809.SH,X000661.SZ,X600867.SH,X000100.SZ,X000596.SZ,X000977.SZ,X000625.SZ,X300136.SZ,X600066.SH,X300142.SZ,X600566.SH,X600498.SH,X002179.SZ,X002294.SZ,X000157.SZ,X002007.SZ,X300146.SZ,X002180.SZ,X002241.SZ,X600522.SH,X002049.SZ,X000869.SZ,X600177.SH,X600089.SH,X002371.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.244671574917069,0,0,0,0,0,0,0,0,0,0,0.0625395184644628,0,0,0,0.135293246828149,0,0,0,0.00621833172204673,0.00158198275918414,0,0,0,0,0,0,0,0,0.135198506116677,0,0,0,0,0,0,0,0,0.0100776424766938,0,0,0,0,0,0,0,0,0.000957524670660588,0.00326768988216386,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0309821379424052,0,0,0,0,0,0,0,0.224866392332622,0.540983625451162,0,0,0,0,0,0,0,0,-0.103867531393203,0,0,0,0.0160885313775956,0,0,0,0,0,0,-0.115620241214667,0,-0.00402360988734967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366258395398427,0.0179623827124222,0.0356700769381585,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0925529838018884,0,0,0.167815156088972,0.0412397298156591,0,0,-0.00287124648870934,0,0,0,0,0.00641333490579806,0,0.129769141363652,0,0.062323382053084,0,0,0,0.337784760948896,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323435678232518,0.0202426237105899,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,-0.0428437966774964,0,0,0,0,0.0974632545289938,0,0.0849183344221646,0,0,0,0,0,0,0,0.0943821687673243,0,0,0,0,0,0,0,0,0.238511470932001,0,0,0.382265236963663,0,0.0120084508078974,0.146897410736145,0,0,0,0,0,0,0,0,0,0.0429351467063569,0.0291686945141708,0.039670941754419,0,0,0,0,0,0
X000858.SZ,0.071172871265361,0,0,0,0,0,0.313608691893111,0,0.144040981618768,0,-0.00350321663752716,0,0.19857287233303,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0556182021259961,0,0,0,0,0.0290874309738324,0,0,0,0,0.0735717526334135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016016727576014,0,0,0.00666871982258038,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.122365768020282,0,0.0144269283245574,0,0.0253028368086587,0,0,0,0.186340959050409,0,0,0.216849081432663,0,0,0,0,0,0,0,0,0.0415920480801142,0,0,0.0297117600869913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162992827158813,0.0199917843928931,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0473492322273318,0.644884497385394,0,0,0,0,0,-0.108699185765182,0,0.178773216012055,0,0,0.109052280551034,0,0.0513189885690556,0,0,0,0,0,0,0.079367054338934,-0.000378936075672443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0971838689158966,0,0,0,0,0,0,0,0,0,0,-0.00543629711449472,-0.0129646813630475,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152511693414585,0,0,0,0.07029537121557,0,0,0,0,0,0,0,0,0,0,0,0.450249934573516,0.121667095411481,0.0770049392690213,0,0,0,0,0,0.00122674475523466,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.292883863186927,0.282773772040689,0,0,0,0.166679858071853,-0.126659615962256,0,0,0,0,0,0,0,0,0,0,0.0659584074138534,0,0.100186168447988,0,0,0.13371338849162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319852003324231,0,0,0.0146228024725437,0.00651914221922588,0,0,0,0,0,0
X002475.SZ,0,0.0815578981849023,0,0,0,0,-0.0545180691991898,0,0,0,0.0332041519290551,0,0,0,0,0.136277540465449,0,0,0,0,0,0.302514528095613,0,0,0,0.235299699026403,0,0,-0.117505969957982,0,0,0,0.0786064032339477,0,0,0,0,0,0,0,0,0,0,0,0.150861128068445,0.191787053447469,0,0,0,0,0,0.0130223659224291,0.0371070633974782,0,0,0,0,0,0
X000063.SZ,0,0.205356861876251,0,0,0,0,0,0,0,0,0,0,0,0,0.219076262618793,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.142212899965424,0,0.0123349588897816,0,0,0.0536204447399783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168935889497881,0,0,0.0497618279737215,-0.0800316383677008,0,0,0,0,0,0
X600031.SH,0,0,0.198042115107468,0,0,0,-0.0943786039834994,0,0,0,0,0,0,0,0.0583602460869998,0,0.0567896330740723,0,0,0,0,0,0.197406617385972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181907211889691,0,0,0,0,0,0,0,0,0,0,0,0.0119581902703387,0.0140415792439546,0,0,0,0,0,0
X000568.SZ,0,0.0657184883167827,0,0,0.60081351070703,0,0.20032213016885,0,0,0,0,0,0,0,0.0749645650566225,0,0,0,-0.0681673100706,0,0,0,0,0,0,0,0,0,0.0914108334451179,-0.045620959551741,0,-0.00857691103250995,0,0,0,0,0,0,0,0,0,0.0692437312502106,0,0,0,0,0,0,0,0,0,0.00828539484173497,-2.16840434497101e-19,0,0,0,0,0,0
