,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300014.SZ,X300124.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X000338.SZ,X002129.SZ,X002371.SZ,X600703.SH,X002049.SZ,X000596.SZ,X000625.SZ,X002179.SZ,X601877.SH,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X600460.SH,X002180.SZ,X002074.SZ,X000661.SZ,X000157.SZ,X600702.SH,X002236.SZ,X600522.SH,X000733.SZ,X600884.SH,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X002007.SZ,X000977.SZ,X600183.SH,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.495231645933448,0,0,0.00585218350004824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159183116782163,0,0,0,0,0,0,0,0,0,0,0,0,0.0146824404817819,0,-0.0135956364155036,0,0,0,0,0,0,0.0777458026461749,0,0,0,0,0,0,0,0,0,0,0.0259079550570336,0,0
X000858.SZ,0.131307752059814,0,0,0,0.190820723550396,0.0548884402029492,0,0,0.0418924136806644,0,0,0,0,0,0,0,0,0,0,0,0,0.0585437996070012,0,0,0,0,0,0,0,0,0,0,0.0476129053586412,0,0,0,0.118845791323211,0,0,0,0,0.0629071610787161,0,0,0,0,0,0,0,0,0,0.00758638810619568,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.106241384996521,0,0,0,0,0,0,-0.0134939049066394,0,0,0,0,0,0,0,0.102862629607852,0,0.0594774682553546,0,0,0,0,0,0,0,-0.194101051134621,0,0,0,0,0,-0.0507175285761564,0,0,0,0.0757171208575981,0,0,0,0,0,0,0.00590946586687517,0,0,0,0,0.000542473894936613,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.16340411290478,0,0,0,0.0359087567336223,0,0,0,0,0,0,0,0,0,-0.306898293391291,0,0,0,0.0771097589423869,0,0,-0.00426556236498743,0,0,0,-0.054855891024588,0,0,0,0,0,0,0.215490608829177,0,0,0,0,0,0.170851408189984,0,0,0.0649700295792217,0,0,0,0,0,0,0,0,0,0,0.0177183184852692,0,0
X000568.SZ,0.186250979738329,0.131178522810626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327460548523156,0,0,0,0,0,0,0,0,0,0,0.0966849227916635,0,0,0,-0.0995241422078274,0,0,0.0190870928898858,0,0,0,0,0,0.105914117245352,0,0,0,0,0.0298315712229487,0,0,0,0,0,0
X002475.SZ,8.67361737988404e-19,0.00915180032851623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370810484950704,0,-0.155909488988313,0,0.203418266550354,0,0,0.00242504532084625,0,0,0,0,0,0,-0.0226201591115655,0,0,0,0,0,0,0,0,0,-0.077950891978254,0,0,0,0,0,0,0,0,0,0,-0.0962687077539795,0,0,0,0,-0.0803587222524395,0,0
X600276.SH,0,0.033584655854517,0.113971767577896,0,0,0.130084324434544,0,0.191153779082449,0,0,0,0,0,-0.137659172766444,0,0,0,0,0,0,0,0,0,-0.0266904563077148,0,-0.198490045128512,0,0,0,0.10069478754266,0,-0.0667567912306831,0.0109888659173044,0,0.0230020937485015,0,0,0,0.069077851497829,0,0,0,0,0,0,0,0.0414869125186774,0,0,0,0,-0.0155448520783274,-0.00244949341636164,0,0,0,0,0,0
X600690.SH,0,0.0733587236739795,0,0,0,0,0.17780388606365,0,0.156297289098029,0,0,0,0.286902584386564,0,0,0,0,0,0.0995450087169003,0,0,0,0,0.0633680376526104,0,0,0,0,0,0,0,0,0,0,0,0,0.00585440862685066,0,0.071217165115453,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.00542136506362647,0,0,0,0,0,0
X002304.SZ,0,0.128230792762675,0.0347827556583452,0,0,0,0,0.0686150633220257,0,0,0,0,0,-0.0747842855010711,-0.0086415936511801,0,0,0,0,0,0.152616980068311,0,0.068954806778017,0.122076377644538,0,0,0,0.00767804609054487,0,0,0,0,0,0,-0.0697253932282675,0,0,0,-0.0524635087007084,0,0,0,0,-0.0131488623680178,0,0,0,0,0,0,0,0.0112721110870988,8.67361737988404e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0628949905832099,0,0,0,0.0168965508589429,0,0,0,0.184319206129017,-0.0215658829120346,0.18230639127956,0,0,0,0.00722246676724271,0,0,0,0,0.023658215424553,0,-0.0361808618129713,0,0,0,-0.0340188430031156,0,0,0,0,0.0316029157569318,0,0,0,-0.0230352568823154,0,0,0,0,0,0,0,0,0.0751875656086967,0,0,0,0,0,0,0,0,0.00520912857008967,0,0
