,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X000568.SZ,X002236.SZ,X600271.SH,X600031.SH,X000100.SZ,X600118.SH,X600177.SH,X002292.SZ,X002475.SZ,X000559.SZ,X000338.SZ,X002456.SZ,X600372.SH,X000157.SZ,X002007.SZ,X300003.SZ,X002074.SZ,X600867.SH,X002506.SZ,X002180.SZ,X600522.SH,X300124.SZ,X600498.SH,X002085.SZ,X002294.SZ,X600089.SH,X600487.SH,X002426.SZ,X002508.SZ,X601877.SH,X002249.SZ,X000050.SZ,X000869.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.225867415024177,0,0,0,0,0.176176489636274,0,0.0124395112486231,0.052648301862253,0,0,0.0248334192208278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136398389459965,0,0.0803615509882117,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0215184833909138,0,0,0,0,0.0893593392933967,0,0,0,0,0,0,0
X600104.SH,0.13757136322444,0,0.00868033522522755,0,0,0,0,0,0.495534396337626,0,0,0,0,0,0.0640027523668763,0,0,0,0,0,0,0,0,0,0,0,-0.0631729388378477,0,0,0,0,0,0,0,0.0249584974991818,0.0720223486156687,0.0131380807204612,0.0844783521218331,-0.0479641543758706,0,0,-0.0659692241651174,0,0,0,0,0,0,0.0542549740546208,0,0,-0.0526118496440488,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.065067100285164,0,0,0,0,0.192195157290803,0,0,0,0,0.0202318336385232,0,0.0521000093376166,0.0182357237217837,0,0,0,0,0,0,0.0267527870177627,0,0,0.0574714171600288,0,0,0,0,0.618892512852167,0,0,0,0,0.0820601487417452,0,0,0,0.141127441261258,0,0.0518398502731068,-0.039003159098499,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162416556099639,0,0,0,0,0,0,0,0,0,0.0517368089792014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502856498923405,0,0,0,0,0,0,-0.005177965725645,0,-0.0244897399862509,0.0171384316379218,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0968404583319011,0,0,0.23623169627354,0,0,0,0,-0.0461868246298347,0.562818369341309,0,0,0,0,0,0,0.045354211047715,0,0,0,0,0,0,0.029922111976389,0.00538980033058589,0.00100555397691473,0,0,0.0254235630092628,0,0,0.0447225995630442,0,0,0,0,0,0,0,0,0,0,0,0,-0.0506323224288577,0,0.012450908904442,0,0,0,0,0
X600276.SH,0.158982734147273,0,0.176011818822496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540400720272996,0.00209043012497296,0,-0.0336141762344525,0,0,0,0,0,0,0.0608474387012602,0,0,0,0,0,0,-0.0950420717654253,0,0,0,0,0,0,0,0,-0.0238460163487123,-0.0599700054329601,0,0,0,0,0,0
X002304.SZ,0.0312195220506049,0,0,0,0.584924969612206,0,0,0,0,0,0,0,0,0,0,0.150972797809553,0,0,0,0,0,0,0,0,0,0,-0.0273044475846605,0.0670996745215776,0.032018307877665,0,0,0,0,0.0859954633260211,0.0731597777217427,0,0,0,0.0351413557255341,0,0,0.0446419016766889,-0.0088645675056094,0,0,-0.00908134986034435,0,0,0,0,-0.00700139410250687,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0208489054311687,0.142260880778244,0,0,0,0.0517057290274844,0,0,0.171256647994347,0,0,0,0,0,0,0.0368433165263528,0,0.0882390210812025,0,-0.0306482377772377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138566766690748,0,-0.0746821476368865,0,-0.0121637037038152,0,0,0,0,0
X000625.SZ,0,0.140285990938656,0,0,0,0,0,0,0,0.031561550438303,0,0,0.142250810738042,0.0684953153693869,0,0,0,0,0,0,0,0,-0.0252206948854111,0,0,0,-0.017492676900962,0.0184631039268119,0,0,0,0,0,0,0,0.046864602123371,0,0,0,0,0,0.102747805831861,0,0.00800409918765427,0,0,0,0,0.00928382770508171,0,0.00319502343322662,0,0,0,0,0,0,0
X600690.SH,0,0,0.0279030661205759,0,0.107632208793086,0,0,0,0,0,0,0,0.0707245450458673,0.0484547944263522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139701321137754,0,0,0,0,0,0.0461368583032194,0,-1.73472347597681e-18,0,0.0492472802697804,0.026259243251455,0.0106653344949185,0,0.0306431369268403,0,0,0,0,0,0,0,0.0735327685031399,0,0,0,0,0,0
