,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600031.SH,X000651.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600809.SH,X600104.SH,X000725.SZ,X000338.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X600703.SH,X003816.SZ,X000157.SZ,X000100.SZ,X000596.SZ,X002241.SZ,X000625.SZ,X002371.SZ,X002129.SZ,X600741.SH,X002179.SZ,X002007.SZ,X601877.SH,X002049.SZ,X300142.SZ,X002236.SZ,X600584.SH,X002414.SZ,X600183.SH,X300003.SZ,X000800.SZ,X601799.SH,X000066.SZ,X002074.SZ,X000977.SZ,X002008.SZ,X600089.SH,X000799.SZ,X002294.SZ,X600460.SH,X600118.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.283552971237644,0.0199905853850547,0,0,0,0.177650628268347,0,0.00971069964643055,0,0,0,0,0,0,0,0,0,0,0,0.0648651334080631,0,0,0,0,-0.0443105533402613,0,0,0,0,0,0,0,0,0,0,0,0.0146358359766976,0,0.0149130033461008,0,0,0,0,0,0,0,-0.0446335004015124,0,0,0.0268502201919271,-0.0192257635752935,-0.0065346393323185,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.358716994687465,0,0.0894192865109285,0,0.149030835469053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383390608427737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942162498881411,0,0.00481417441534657,0,0,0,-0.000168394194451992,-0.0278553181491044,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0351027803650404,0,0.0274243429859929,0,0,0,0,0,0,0.112583928465782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183058507745787,0,0,0,0.511581445012207,0,0,0,0,-0.0367942542883581,0,0,0,-0.046496326938418,0,0,0.114359808978359,0,0,0.0355417433387862,0,0,-0.00580446158886833,0,0,0,0,0,0,0
X600276.SH,0,0,0.063196273931539,0,0,0,0,0,0,0,0,0,0,0,0.016285365029795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100009597489997,0,0.0449670126661484,0,0,0,0,0,0,0,0,0.0416139205490802,0,0,0,0,0,0,0.201107132518247,0,0,0,0,0,0,0,0,0,-0.0588893409548394,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.00225337067346793,0.0869939105378472,0.0256155937184991,0,0,0,1.73472347597681e-18,0,0,0,0.0789474572221028,0,0.0538107325865461,0.0241253700609733,0,0,0,0,0,0,0,0,0,0.180689097476459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351423934916835,0.0153528214455793,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0788402822111361,0.0106277244396782,0,0,0,0,-0.0845549135354238,0,0,0.074952130138722,0,0.0953402699660938,0,0,-0.0647280254650286,0,0,0.0747964128171944,0,0,0,0,0,0.0172011069576603,0,0,0,0,0,0,0,0,0,0,0,0,0.0293805581374929,0,0.136197041599976,0,0,0,0,-0.00318635252954784,0,0,0,0,0,0
X000568.SZ,0,0.653364163946802,0.0511974592211493,0,0,0,0,0,0,0,0.00926956655032978,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978643857705591,-0.046991034987433,0,0,0,0,0,0,0,0,-0.0178410544378372,0,0,0,0,0,-0.0591845815049394,0,0,0,0,0.325191917662091,0,-0.0198403898962884,0,0,0,0.00849035977696991,-0.0297860588773154,0,0,0,0.00103896285499433,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0747344655408898,0,0,0,0,0,0,0,0.00147196672060413,0,0.0752969840731969,0,0,0.121517869518686,0,0,0,0,0,0.198778795306745,0,0,0,0,0,0,0.0153857853240781,0,0,0,0,0,0,0,0,0,0,-0.00590460835907888,0,0,0,0,0.0268341908941967,0,0,0,-0.088234993187145,0,0
X002304.SZ,0,0.190715265550971,0,0,0,0,0.0489644284307651,0,0,0,0.0583961876999561,0,0,-0.15301805295544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031876217252537,0.0886435245440561,0.0050393567920386,-0.108823924775572,0.141327876545386,0,0.0362728199541154,0,0,0,0.129345849598506,0,0,0.0261487446570332,0,0,-0.0572844606323576,0,0,0,0,0.111190527259899,0,0
X600690.SH,0,0.0578405247476867,0.127770999584976,0,-8.67361737988404e-19,0,0.0188774653419165,0,0,0,0.321706765408735,0,0,0,0.122033382773008,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0288535511989809,0,0,0.113492369978376,0,0,0,0,-0.00974332915664025,0,0,0,0,0,0,0,0,0,0,0,0,0.0818946312178827,0,-0.0107031191199548,0,0,0,0,0,0,0,0,0,0,0
