,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X000063.SZ,X002129.SZ,X003816.SZ,X002241.SZ,X000625.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002049.SZ,X601877.SH,X000661.SZ,X600089.SH,X002179.SZ,X300142.SZ,X000100.SZ,X600460.SH,X600741.SH,X000799.SZ,X002074.SZ,X000157.SZ,X600884.SH,X002236.SZ,X600702.SH,X601799.SH,X600779.SH,X600584.SH,X002414.SZ,X000733.SZ,X600183.SH,X002007.SZ,X000800.SZ,X300003.SZ,X002008.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.453334500195687,0,0.0958651974341643,0.0285498728726909,0,0,0,0,0,0,0,0,0,0,0.0184110575089033,0.0568553291238969,0,0,0,0,0,0,0,0,0.0675471362997521,0,0,0,0.012898498209305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00494840167244461,0,0,0,0.014926609804301,0,0
X000858.SZ,0.114528716789579,0,0,0,0.166503109453129,0,0,0,0,0,0,0,0,0,-0.00844929125498822,0,0,0,0,0,-0.00581681411321904,0,0,0,0,0,0.0728399259054052,0,0,0,0,0,0,0.171710960484297,-0.00132949142397276,0,0,0,0,0,0.245226009616643,0,0,0,0,0,0,0,0,0,0,-0.00113786936163873,-0.0311325313789465,0,0,0,0,0,0
X002415.SZ,0,0.0848258418372886,0,0,0,0,0,0,0.180260782859118,0,0,0.00128798258359666,0,0,0,0,0,0.0101784168743815,0,0,0,0,0.0818589753533955,0,0,-0.035403608915432,0,0,0,0.0151942401687199,0,0,0,0,0,0,0.112156208048796,-1.73472347597681e-18,0,0,0.0669958437058848,0,0,0,-0.0877657148025623,0,0,0,-0.0851003890168798,0,0,0.00257570688734671,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.18848636105576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141073696896034,0,-0.0230054110542636,0,0,0,0,0,0.478540442950501,0,0,0,0,0.103805784035174,0,0.085505113941152,0,0,0.0399889549283379,0,0,0,0,0,0,0,0,-0.0234851776796745,0,0,0,0.0412677040823239,0,0
X000568.SZ,0,0.415450225005033,0,0.220907259024576,0,0,0,0,0,0,0,0,0,0,-0.0675405386741531,0,0,0,0,0,0,0,0,0,0,-0.0141672560287364,0,0,0,0.0244586367405278,0,0,0,0.0232076570266747,0,0,-0.0460045281326536,0,0.0321284284033245,0,0.0827083828821192,0,0,0,0,0,0,0,0,0,0,0.00857141330087135,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.209592630611256,0,0,0.140249393835035,0,0,0,0,0,0,0,0,0,0,0,0,-0.153115657725956,0,0,0,0,0,0,0,0,0.239514449693067,0,0,0,0,0,0,0,0,0,0,-0.0430142644415892,0,0,0.439771468808264,-0.172508529554604,0,0,-0.0255890745120411,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0312447066222296,0,0,0.120739958579278,0,0,0,0.0668117606629996,0,0,-6.93889390390723e-18,0,0.0604679094094995,0,0,-0.238058450698213,0,0,0,0.0766105452195405,0,0.0250476597342789,0,0,0,0,0,0.0674139458377676,0,0.0148841958292211,0,0,0,0,0,0,-0.218117165258908,0,0,-0.00400822804948842,0,0,0,0,0.0241542436920627,0,0
X002304.SZ,0,0,0,0.307292305083578,0,0,0,0,0.0820944431407125,0,0,0,0,0,0,0,0,0,-0.195253861266124,0,0.0985467074347525,0,0,0.0356702483921445,-0.00829288098852336,0,0,0,0,0.02788546017319,0,-0.0372928203286468,0,0.115945422321338,0,0,0,0,0,0,0.0592288522822204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.126570041101602,0,0,0.0070982923011022,0,0,0,0,0,0.0356300373923074,0,0,0,0,0,0,-0.0151210362388212,0,0,0,0,0,0,0,0,0.0604987567868391,0,-0.0606339077752921,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.165908898878956,0,0,0,0,0,0,0,0,0,0.0645427935332527,-0.000433749958336684,0,0,0,0,-0.0312884769448961,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153788723369896,0,0,0,0,0,0,0,0,0,0,0,0.0811619696663856,0.0349746425887893,0.052402079631354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0352114588040436,0,0,0,0,0,0
