,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X000651.SZ,X002475.SZ,X600690.SH,X300124.SZ,X000725.SZ,X000063.SZ,X600104.SH,X002371.SZ,X002129.SZ,X000596.SZ,X600031.SH,X003816.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X002241.SZ,X000100.SZ,X002236.SZ,X000661.SZ,X600584.SH,X600702.SH,X002180.SZ,X000977.SZ,X600522.SH,X601877.SH,X300142.SZ,X600460.SH,X000157.SZ,X600741.SH,X002074.SZ,X000733.SZ,X600183.SH,X300003.SZ,X002463.SZ,X002007.SZ,X002294.SZ,X000066.SZ,X002414.SZ,X000799.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0925356956243777,0.0881490644286027,0.0159272419079159,0,0,0,0,0.121923887924646,0,0,0,0.0145664800592706,0,0.0320296439331003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135461443107408,-0.0244072087570387,0,0.0972988229002324,0,-0.0120429350584623,0.0215418818792297,0,0,0,0,0,0
X000858.SZ,0,0,0,0.00248731862940973,0.0193513924975685,0,0.575140736270557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011191550602751,0,0,0,0,0,-0.0233096094989975,0,0.0494187276338303,0,0,0,0,0,-0.0132842436419582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264898203341205,-0.0079597581549408,0,0,0,0,0,0
X002415.SZ,0,0.0766254836527564,0,0,0,0,0,0,0.0408023409634223,0,0,0,4.33680868994202e-19,0,0.0681377510365738,0,0,0,0,0.166364664978872,0,0,-0.0884571358590902,0,0,0,0,0,0.216332524240582,0,0,0,0.0799586195522562,0.0493584921073335,-0.12878925961467,0,0,0,0,0,0.0885321188665597,0,0,0,0,0,0,0,0,0,0,-0.0017488425575015,-0.0251324142757986,0,0,0,0,0,0
X000568.SZ,0,0.34666137750197,0.188491137854797,0,0,0,0.353931336710281,0,0,0,0,0,0,0,0.0211439062641835,0,0,0,0,0,0,0,0,-0.0256903119555059,0,0,-0.00201495519331964,0,0.145998125256491,0.0616543427725826,-0.0150796513301294,0,0,0,-0.0145200430741392,0,0,0,0,0,0,-0.00751799349931341,0,0,0,0.0123675345893944,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.177285498028952,0,0,0,0,0.200901264076569,0,0,0,0,0,0,0,-0.0213257339135303,0,0.0401338496211333,0,0,0,0,0,0.0502357967327033,0,-0.141474812615514,0,0,0,0.0506940670176551,0.0358122457392898,0,0,0.15459345093781,-0.032286997868861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799919624621122,0,0,-0.0317272273462273,0,0,0,0,0,0
X600276.SH,0,0.0463505169335844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02971939426247,0.164279979829829,0,0,0,0,0,0,0.0311397208725948,0,0.0211312767451497,0.131438058531359,0,0,0.00731460793557808,0,0.0467369722599932,0,0,0,0,0,0,0.23389697292986,0.0448433136635093,0,0.105159177104183,0,0,0,0,-0.0133667957433337,-0.0124777703410572,0,0,0,0,0,0
X002304.SZ,0,0.405148584228853,0,0.340986893277432,0,0.0128515791705294,0,0,0,0.0437634137956363,0,0,-0.0638218420738617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040063275743484,0.0744998970921653,0.128048763595077,0,-0.0542612604817712,0.0433335256497927,-0.0215842391072869,0,0,0,0,0,0,0,0.00347461174792087,0,0,0,-0.092133383010635,3.46944695195361e-18,0,0,0,-0.0196310022815436,0.0204724535729783,0,0,0,0,0,0
X000651.SZ,0,0.165342468378547,0,0,0,0,0,0,0,0.314271407752979,0,0,0,0,0,0,0,0,0,0,0.125409298982161,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.00657449328519833,0,0,0,0.00181394389307265,0,0,0.0673352211113032,0,0,0,0,0,0,0,-0.0145632694215217,-0.0048034236884286,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958932736092516,0,0,0.119755610181306,0,0,0,0,0,0,0,0,0,0,0,0.0227974747638933,0,0,0,0,0,0,0,0,0.229569971298688,0,0,0,0.134500663134449,0,0,-0.00575165232711759,0.0675867509614329,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.229482445818318,0.141153478077337,0,0,0.0129215386149498,0,0,0,0,0,-0.151637219563626,0,0,0,0,0,0,0,0,0,0,0,-0.289598900016559,0,0.166658353882569,0,0,-0.0135623154429112,0.011870478232214,0,0,0,0,0,0,0,0.0247583198495921,0,0,0,0,0,0,0,0,0.0269627572707242,0.0107797016827778,0,0,0,0,0,0
