,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600690.SH,X000063.SZ,X000100.SZ,X600031.SH,X600276.SH,X000338.SZ,X600372.SH,X600741.SH,X000157.SZ,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X002236.SZ,X601877.SH,X600177.SH,X000550.SZ,X000581.SZ,X002475.SZ,X600582.SH,X000568.SZ,X002129.SZ,X000800.SZ,X300124.SZ,X000623.SZ,X600060.SH,X002294.SZ,X000559.SZ,X002292.SZ,X600839.SH,X000050.SZ,X300003.SZ,X300146.SZ,X002456.SZ,X002465.SZ,X000977.SZ,X000400.SZ,X000869.SZ,X600166.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0.195296046178772,0,0.0653226576977368,0.0337731976388254,0,0,0,0.232221708400465,0,0,0,0.228565313363313,0,0,0,0,0,0.0315629059502653,0.106909593902482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149814825341699,0,0,0,0,0,0
X600519.SH,0,0,0,0.0748907979238424,0,-0.0287219370003277,0.117025017329866,0.118681006791971,0.0179947782397222,0,0,0.0672076047298426,0,0,0,0,0,0,0,0,0,0,0,0,0.176233632526595,0.0493585921274728,0,0,-0.0613723515824674,0,0,0,-0.0131057947886087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202628262469047,0,0,0,0,-0.00427458464594526,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.333999739457917,0,0,0.19161263294137,0,0,0.13810663473852,0,0,0,0,0,0.0626418304637278,0,0,0,0,0,0,0,0.0449204798850368,0,0,0.12821267668915,0,0,0,0,0,0.057309829382041,0,0,0,0,0,0,0,0,0,0,0,0.0262528300821569,0,0,0,0,0,0,0
X000651.SZ,0.159364994348611,0,0.194695767442313,0,0,0,0,0,0,0,0.0299356933059236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116466220713096,0,0,0,0,-1.73472347597681e-18,0.157944662878558,0,0,0,0,0.0346986302392615,0,0,0,0,0,0,0,0.0525024324015099,0,0,0,0,0.0361910925191954,-0.00992794692854353,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.266864388510927,0,0,0,0,0.0979267805415862,0,0,0,0,0,0,0,0,0,0.0157418569618259,0,0,0.169722083912215,0,-0.118404549722328,0.0252042934427675,0,0,0,0,0,0.202032059343175,0.154948381177335,0,0,0,0,0.0196345675423877,0,0,0,0,0,0,0,0.114792056088447,0,0,0,0,0,0.00339921530461263,0,0,0,0,0,0
X000625.SZ,0.113314618987708,0,0.0954604107686803,0.131905021288997,0,0,0,0.168615008588919,0,0.0450908426261849,0,0,0,0,0,0.0393768179929647,0,0,-0.0858105594073903,0,0,0,0,0,0,0,0.289663521847005,0,0,-0.113689984854102,0,0,0,0,0,0,0,0,0,0,0.00283326371442016,0,0,0,0,0,0,0,0,0,0,0,0.0261942461857536,0,0,0,0,0,0
X000858.SZ,0,0,0.0108121419881486,0,0,0,0,0.117459840927846,0.160742222899248,0,0.0830792520406854,0.233592129081521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211865673344786,0,0,0,0,0.138598224448073,0,0.0263174867749388,0,0,0,0,0,0,0.038411572130606,0.0496996096675507,0,0,0,0,-0.022305189340036,0,0,0,0,0,0.0233427945018863,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.267276360546756,0,0,0.0576580196775721,0,0,0.323318947291108,0,0,0,0,0,-0.183632173320227,0,0.0676139142950042,0,0,0,0,0.027687867205634,0.232191911677617,0,0,0,0,0,0,-0.0360968478038923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104902636073377,0,0,0,0,0.000625744338630677,0,0,0,0,0,0
X600690.SH,0.0116592895799791,0,0,0.0635222328271958,0,0,0,0,0,0,0.235802214108755,0,0,0.120190263053506,0,0,0,0,0,0,0.0209310373057973,0,0,0,0,0.140948833159959,0.122154032007744,0,0,0,0,0,0,0,0,0.00153997153241812,0,0,0,0,0,0,0,0,0,-0.0452244095425,0,0,0.0315378963384339,0,0,0,0.00167131841777656,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0171682498947737,0.140375192412018,0,0.239035411492507,0,0,0,0,0,0,0,0,0,0,0,0.0922758290475863,0,0,0,0,0,0,0,0,0.0890824912110766,0,0,0,0,0,0,0,0,0,0,-0.0177295025658617,0,0,0.116544383162118,0,0,0,-0.0054180819999163,0,0,0,0,0,0
