,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X000338.SZ,X600031.SH,X300003.SZ,X300124.SZ,X002008.SZ,X601877.SH,X002456.SZ,X000625.SZ,X600487.SH,X600066.SH,X600809.SH,X600271.SH,X000100.SZ,X600867.SH,X002294.SZ,X002241.SZ,X600522.SH,X600566.SH,X300136.SZ,X000981.SZ,X002508.SZ,X002179.SZ,X000050.SZ,X300142.SZ,X000157.SZ,X600089.SH,X600498.SH,X000977.SZ,X002049.SZ,X000661.SZ,X600707.SH,X600177.SH,X600584.SH,X000596.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.376180772828217,0.147056209617349,0,0.113150301338706,0,0,0.0337157697965199,0,0,0,0,0,0,0,0,0,0.0618670935258352,-0.0899901630525817,0,0,0,0,0,0,0,0,0,0.016254242331186,0,-0.0019455483452189,0,0,0,0,0.0176697600223892,0,0,0,0,0,0,0,0,0,0,0,0,0.012982487109198,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.251880142533339,0,0,0.145231846838202,0.145943222786343,0,0,0,0,0,0,0.0903798780253639,-0.0854137832820792,0,0,0,-0.00556514632400368,0,0,0,-0.207019652065808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206697228166638,0,0,0,-0.0214542366689144,0,0.0756303675197822,0,0,0,0
X002415.SZ,0,0,0,0,0,0.119335312443188,0,0.0363775088814195,0,0.185983602135829,0,0,0,0,0.173625788460281,0,0.0451618000028919,0.000791800756235016,0,0,0,0,0,0.256354685129205,0,0.00804983189887391,0,0,0,0,0,0,0,0.131568832736245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113158833125772,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.305034656981086,0,0,0,0,0.196308183937321,0,0,0,0,0,0,0.100699616213115,0,0.0303556666821755,0,-0.00561014394160233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132624041883145,0,0,0.12501941326523,0,0,0,0,-0.0110853036108513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.106935621260908,0,0,0.138811454542041,0,0,0,0,0,0,0,0.651821957891403,0,0,0.0281194768298937,0,0.0280491468478268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022779875760097,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103385577576535,0,0,0,0,0,0,0
X600276.SH,0,0,0.0351816649782213,0.191972871745502,0.0167672627698938,0,0.267591814432738,0,0,0,0.0623930035301221,0,0,0.0793465686932322,0,0,0,0.0714967524853953,0,0,0,0,0,0.109937330514548,0,0.0307849538302687,0,0,0.0445062294855311,0,0,0,0,0,0,0.0333023838276374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041663003975952,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.196170752671853,0,0,0,0,0,0,0.040031254386335,0,0,0,0,0,0,0,0,0,0,0,0.305760116706616,3.46944695195361e-18,0,0.0790550996231154,0,0,0,0,0.00896595806038496,0,0,0,0,0.489801655539265,0,0,0,0.105201245600395,0,0,0,0.0884605584367571,0,0,-0.0160189338127642,0.0260149536455071,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.212733876931573,0,0,0,0,0,0,0.379869148719751,0,0.0965748140182047,0,0,0.154809194224006,0,0,0,0,0,0,-0.0358334228142832,0,3.46944695195361e-18,0,0,0,-0.0908248821835603,0,0,0,0,0,0.281613945955624,0,0,0,0,0,0,-0.0626364827817708,0.139808300319431,0,0,0,0,0,0,0,0.0224249462785471,-0.0280753629758322,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.347644620013155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206602887145091,0,-0.108290213511359,0.105761232674267,0.276964051141475,0,0,0,0,0.161622607818065,-0.019730238563411,0,0,0.0440013768423516,0,0,0,0,0.162443674294626,0.0777917056002283,0,0,0,0,0,0.25805516066276,0,0,8.67361737988404e-19,0.0153642826182682,0,0,0,0,0,0
X600690.SH,0,0,0,0.142117547401699,0.18426081907332,0,0,0.219157359251232,0,0,0,0.104285315214195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725672936900441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00330980265647987,0,0,0,0,0,0,0
X600703.SH,0,0,0.128869890989795,0,0,0,0,0,0,0,0,0,0.234571847162296,0,0.399277226278009,0,0,0.317227098415343,0,0,0.0928228181636241,0,0,0.129690483803368,0,-0.0200965973148968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131849686595904,0,0,0,0,0,0,0,-0.0109299584932728,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.548082379153717,0,0,0,0,0,0,0,0,0,-0.00274780629670234,0,0,0,0,0,0,0,0,0,0,0.0507274499301316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164412798991379,0,0,-0.0117086360323318,-5.42101086242752e-20,0,0,0,0,0,0
