,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600104.SH,X600809.SH,X600031.SH,X600690.SH,X000725.SZ,X000661.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X000338.SZ,X000625.SZ,X600703.SH,X000100.SZ,X600741.SH,X002371.SZ,X002129.SZ,X002049.SZ,X601877.SH,X002179.SZ,X002007.SZ,X000157.SZ,X002414.SZ,X600584.SH,X300142.SZ,X600183.SH,X000800.SZ,X002236.SZ,X601799.SH,X000066.SZ,X300003.SZ,X002074.SZ,X002008.SZ,X000799.SZ,X000547.SZ,X300146.SZ,X600118.SH,X002456.SZ,X002185.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.541087052937264,0,-0.237380892537694,0,0,0,0,0,0,0,0.0143860844604022,0,0,0,0,0,0.0588460516197115,0,0,0,0,-0.0177488931540714,0,0,0,0,0.00328378957070084,0,0,0,0,-0.0268755163979694,0,-0.0450079993334731,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.00954207934684572,0.0220742322220172,0,0,0,0,0,0
X000858.SZ,0.126570048157931,0,0,0,0,0,0.109627204672651,0.276313862955848,0,0.0282582790872847,0,0,0,0,0.0278061157270514,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0.00278352889770193,0,0,0,0,0,0,0,0.00949491089263011,0,0,0,0,0,0,0,0.00886849101676486,0,0,0,0,0,0,0,0,0,0,0,0,0.00238140439017494,0,0
X600276.SH,0,0,0,0,0,0,0.0161775962930211,0,0,0,0,0,0,0.0802648918421355,0.021945947658355,0,0,0.06848298339091,0,8.67361737988404e-19,0,0,0,0,0,0,0.0091744085653372,0.0121432340944645,0.0346284897134987,0,0,0,0,0,0.0230845144170352,0,0,0,0,0,0,0.109730794798872,0.0159133247356997,0,0,0,0,0,0,0,0,0.00792560514596844,0,0,0,0,0.00280273405937187,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0430337124249399,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0864100461700686,0,0.106747620547891,0,0,0,0,-0.132284159206432,0,-0.00700634689712712,0,0,0,0.171973709013523,0,0,0,0,0,0.0375410426696766,0,0,0,0,0,0,0,0.00921116783816634,-0.0243782020627053,0,0,0,-0.0104458696142039,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675538674093442,0,0.430316645877517,0,-0.0664511403838993,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104984111931939,0,0,0,0,0,0,0,0,0,0,0,0,0.350197871098728,0,0,0,0.00509381656575249,0,0,0,0,-0.00356876956302749,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0272370796714601,0,0,0.0566236803760359,0,0,0,0,0,0,0,-0.099870064984142,0,0,0,0,0,0,0,0,0,0,0,0.245533034051644,0,0,0.0550131693692958,0,0,0,0,0,0,0.141850918617695,0.0253559003583308,0,0,0,0.0273704585417979,0,0,0,0,0,-0.00868455231429022,0,0,0,-0.0215336091115965,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.277264616652628,0,0,0,0,0,0,0,0,0,0,0,-0.0414917069163916,0,0,0,0,0,0,0,0.0964147410252769,0,0,0.105496486726775,0,0,0,0,0,0,0,0.230827256104387,0,0,0.204785682217599,0,0,0,0.0100285951761137,0,0,0,0.0104493084624529,0,0,0,0,-0.00377352756512856,0,0
X000568.SZ,0,0.254378571857456,0,0,0.0232045961735216,0,0.0373476133061455,0,0,0.381255239277095,0.0661720892225792,0.00736508474523757,0,0,0,0,0,0,0,0.0180171062416549,0,0,0,0,0,0,0.100510661738703,0,0,0,0,0,0,0,0,0,0,0,0,-0.107538628067074,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0157393373750695,0,0,0,0,0.00371257212336673,0,0
X600104.SH,0,0,0,0,0.0819394255728793,0,0,0,0,-0.0188677634164614,0,0,0,0,0,0,0,0,0,0,0,0.181855309836059,0,0,0.150393014742469,0.0733771336252972,0,0.04422105506156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101133587233237,0,0,0,0,0,0.0464772889126501,0,0,0.00234779537249843,0,0,0,0,-0.0335295152577234,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0.0723499150571443,0,0,0,0,0,0.0292838205400715,0.1467894625549,0,0.0180361597449701,-0.155360280167343,0,0,0,0,0,0,0,0,0,0,-0.186480886903938,0,0,0,0,0,0,0,0,0,0,0.168018289248237,0,0,0,0,0,0.040769848489812,0,0,0.0895688130055144,0,0,0,0.0045544424699248,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.156317044727559,0,0,0,0.0661879397526203,-0.00805101406048996,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495201977253933,0,0.101559039720492,0.27685060975001,0,0.154675837660892,0,0,0,0,0.336606023407701,-0.18213336770476,0,0.0228030242269725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
