,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X000651.SZ,X002475.SZ,X600690.SH,X600104.SH,X300014.SZ,X000725.SZ,X600031.SH,X300124.SZ,X000063.SZ,X000661.SZ,X002371.SZ,X000338.SZ,X002241.SZ,X000625.SZ,X600703.SH,X002129.SZ,X003816.SZ,X300142.SZ,X000100.SZ,X000596.SZ,X002049.SZ,X002179.SZ,X600702.SH,X000799.SZ,X600779.SH,X600460.SH,X600741.SH,X000157.SZ,X002007.SZ,X601877.SH,X002074.SZ,X600584.SH,X002236.SZ,X002414.SZ,X601799.SH,X600089.SH,X300003.SZ,X600183.SH,X300146.SZ,X000800.SZ,X600884.SH,X000977.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0507115084616988,0,-4.33680868994202e-19,0,0,0.0629241268032493,0,0.205687948757242,0,0,0,0,0,-0.0136244074887146,0,0,0.0287931741554115,0.0145891625324317,0,0.0128875104875878,0,0.104167839367007,0,0,0,0.0321160196399504,0,0,0.116946685208175,0,0,-0.0253835269392185,0,0,0,0,0,-0.0876410929257045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100501417713768,0,0
X000858.SZ,0,0,0,0,0,0.218909611601324,0,0,0,0,0,0,0,0.0823166889540531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118523298442298,0.0525146108573194,0,0,0,0,0,0,0,-0.0042752630962384,0,0,0.0490444290302777,0,0.0237222004048414,0,0,0,-0.0712368439853374,0,0,0,-0.0702674475426399,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.170964968514402,0,0,0,0,0.157317348419691,0,0.0664544055095489,0,0,0,0,0,0,0,0,0.0654161114392388,0,0,0,0,0,0.00966343761262215,0,0,0.0116014375792991,0.0988412584429656,0,0,0,0,0,0,0,0,0.0375626474923424,0,0.0205045654713091,0,0,0,0,0,0,0,0.108418700181243,0,-0.0178270184639224,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.184688537152758,0.139010087434562,-0.0726932921555484,0,0,0,0,0,0,0.00302038773268166,0,0,0,0,0,0,0,-0.124785027757575,0,0.0524104279905051,0,0,0,0,0,0.486949021413629,0.0453651733535936,-0.0316856467963733,-0.19862315375817,0,0,0,0,0,0,0.100026010098806,0,0,0,0,0,0,0,0,-0.0323904016250252,0,0,0.0510389581870752,0,0,0,0,0,0
X600276.SH,0,0,0,-0.14999040393826,0,0,0.137175535084824,0,-8.67361737988404e-19,0,0,0,0,0,0.272811705606245,0,0,0,0,0,0,0,0,0,0.189068048090119,0,0,-0.121685562817856,0,0.120007596744763,0,-0.0964940124770703,-0.00713463919765149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.707858856315745,0,0.0755153205911529,0,0,0.0845087863833457,0,0,0,-0.23841705747867,0,0,0,0,0,0,0,0,0,-0.0138703235872804,0,0,0,0,0,0.149685410717706,0,0,0,0,0,0,0,0,0,0,0,0.0272626008184531,0,0.0467709638990883,0,0,0,0,0,0,0,0,0,0,0,0.0209738478000055,0,0,0,-0.0375531936435591,0,0
X002304.SZ,0,0,0,0.20356905686266,0,0.121318212634143,0,0,0,0,0,-0.0132227089293773,0,0,0,0,0,0,0,0,0,0.269256453751775,0,0,0.0429049695702296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906213312380559,0.135617601705089,0,-0.117760523264369,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,-0.0214877070696418,0.182585470350318,0,0.0255834322058364,0,0,0,0.174527700727661,0,0,0,0,0,0,0,0,-0.0166632726862269,0,-0.0872826267115706,0,0,0.0892824846470352,0,0,0,0,0,-0.0357110588131034,0,0,0,0,0,0,0,0,0,-0.0499749860500938,0,0,0,-0.0308411565630183,0,0,0.0894315955963815,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.151381004315049,0,0,0.0229865488545246,0,0,0.158796237930591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176536277978494,-0.109070097829414,0,0,0,0,0,0,0,0,0.00460170660330991,0,0,0,0,0,0,0
X600690.SH,0,0,0.295732964396112,0,0.237060374610151,0,0,0,0,0,0,0,0.235883853438531,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3881317890172e-21,0,0.00353320136712147,0.0207470585525565,0,0,0.00959135076902662,0,0.0429891777043617,0,0,-0.00129151504981678,0,0,0,0,0,0,0,0,0,-0.0495158866774141,-0.0481353639827806,0.00238522924027239,0,0,0,0,0,0
