,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X600703.SH,X600066.SH,X000100.SZ,X600271.SH,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X000581.SZ,X600582.SH,X000800.SZ,X600177.SH,X002475.SZ,X000623.SZ,X300124.SZ,X000568.SZ,X000400.SZ,X002294.SZ,X002129.SZ,X000559.SZ,X600839.SH,X000050.SZ,X000869.SZ,X002456.SZ,X600312.SH,X000977.SZ,X002465.SZ,X002292.SZ,X002007.SZ,X300003.SZ,X600435.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.229928715715563,0,0,0,0.146582372366367,0,0,0,0,0,0.607113317450457,0,0,0,0.0106096826488426,0,-0.0255639637150188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282561003007208,0,0,0,0,0,0.151215965303221,0,0,0,0,0,0,0,0,0,0.00187158874466075,-0.127704314041912,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.083015252044399,0.0423923170054721,0,0,0,0.21644751723701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264927767525333,0,0,0,0.0794863610587407,0,0,0,0,-0.0203675670170904,0,0.0829887215813772,0,-0.064520606857199,0,0,0,0,0,0,0,0,0,-0.00183191426841972,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.226828856306459,0.080088642731491,0,0,0,0,0,0.054276375518593,0,0,0,0.00188299773689792,0,0,0,0,0,0.0414996399715692,0,0,0,0,0,0.0116943789501135,0.102097271890126,0,0,0,0,0,0,0,0.0615401854764817,0,0,0,0,0,0,0,0,0,0.184848218005877,0,0,0,0,-0.0479615500012832,-0.031354764347221,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.170855573822503,0,0.0557967927244042,0,0,0,0,0,0,0,0,0,0,0,0.000199795566228994,0,0,0,0.052241741903567,0,0.274939340987338,0,0,0,0,0,-0.00796063640313619,0,0,0,0,0,0,0.144903767172138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.253352473980791,0,0,0,0,0,0,0,0,0,0,0,0.255535517846416,0,0,0,0,0,0,0,0.0283219841079555,0,0,0,0,0.018767123307054,0,0.157083284032735,0,0.0476990630849461,0,0.0932497042853948,0,0,0,0,0,0,0,0,0,0,0.0688973595442962,0,0,0,0,0,0,0,0.020009881937172,0,0,0,0,0,0
X000625.SZ,0.40777947244755,0,0,0,0,0,0,0.101007364685228,0.19071877250707,0,0,0,0,0,0,0.132788163253178,0,0,0,0,0,0,0.00552822324946869,0,0,0,0,0,0,0,0,0.0587551512337778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378418748896538,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.102575439927873,0,0,0,0.220182922233193,0,-3.46944695195361e-18,0,0,0,0,0,0.13525781783121,0,0,0,0,0,0.0683257056088617,0,0,0.0714901720379706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143504332134121,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.310765912323235,0,0,0,0.141574029387837,0,0,0,0,0,0,0.0613588948325113,0,0.0637837089558452,0,0,0,0,0,0,0.0994075175386033,0,-0.00814355607564032,0,0,0,0,0,0,0,0,0,0,0,0.0831782328616237,0,0,0,0,0,0,0,0,0,0,0,-0.00576749953412564,0,0,0,0,0,0
X000063.SZ,0.140204592696308,0,0,0,0,0,0,0,0,0.065685302563449,0,0,0.173032605672003,0,0,0.00741083889871137,0,0,0.0515893763221392,0,0,0,0,0,0,0,0,0,0.036270728587571,0.205015568004497,0,0,0.0262006651972818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213863802004746,-0.0206427589817388,0,0,0,0,0,0
X600031.SH,0.00182672999169593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965525218884528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,-0.0477929685607562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0346693369438881,-0.00453052612867989,0,0,0,0,0,0
