,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X600104.SH,X000651.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X600089.SH,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600522.SH,X300142.SZ,X601877.SH,X002074.SZ,X002180.SZ,X000733.SZ,X600741.SH,X600460.SH,X600884.SH,X600702.SH,X000100.SZ,X000799.SZ,X000157.SZ,X002236.SZ,X002176.SZ,X601799.SH,X600584.SH,X600563.SH,X600779.SH,X002007.SZ,X000800.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0501553912052631,0.215031601527981,0,0.0682916562447192,0,0,0,0,0,0,0,0,0,0,0,0,0.0507716410837065,0,0,0,0,0,0,-0.0173470587311282,0,0,0,-0.0126008808797603,0,0,0.0408457366652663,0.0678760593900432,0,0,0,0,0,0.0735915458232591,0,0,0,0,0,0.0112154091105521,0,-0.0357243953559796,0,0,0,-0.00240596077621642,0,0,0,0,0,0,0
X000858.SZ,0,0,0.036445965628011,0.624085668883195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113603999122097,0,0,0,0,0,0,0.0442598673013523,0.0452651131296529,0.0775039566641205,0.020091140839241,0,0,0,0,0,2.16840434497101e-19,0.100851989063066,0,0,0,0,0,0.0383286210533131,0,0,0,0,0,0
X600809.SH,0,0.287256746721669,0,0.0855410407249924,0.0900360433439046,0.142303755170151,0,0,0,0,0,0,0.0897144743332646,0,0,0,0,0,0,0.0513521078706391,0,0,0,0,0,0,0,0,0,0,0,0.117365468503044,0,0,0,0,0,0.27597978175025,0,0,0,0,-0.10119054534669,0,0,0.0233008790570555,0,0,0,0,0.0429264307046085,-0.016156945447516,0,0,0,0,0,0,0
X000568.SZ,0,0.274894166213351,0,0,0,0.133463963591688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00630700204990365,0,0,0,0,0,0,0,0,0,0,0.289242299651916,0,0.133721934615761,0,0,0,0,0,0,0,-0.0644758369931463,0,0,0,-0.0168896400366406,0.00405041266931901,0,0,0,-0.0462021621148509,0,0
X002415.SZ,0,0,0,0,0,0.459241322811066,0,0,0,0,0,0,0,-0.184967071981335,0.0664948115717218,0,0,0,0.024345752959238,0.0224811392134703,0,0,0.0339700943216128,0,0,0,0,0,0,0,0,0,0,-0.0813215697582678,0,0,0,0,0,0.0618425538937966,0,0.644835167899808,0,0,0,0,0,0,0,0,0,0.0822153149371693,0.156556962636765,0,0,0,0,0,0
X002304.SZ,0,0.0515705866515451,0.0839400578885773,0,0.0183567617419448,0,0.07157606123012,0.163659911329261,0.0347812512150049,0,0,0,0,-0.0196371728815902,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00704546065390301,0,0,0,0.282991608003001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00294363919774485,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.309375648282884,0.00839105852177083,0,0,0,0,0.112703640107522,0,0,0,0,0,0,0,0,0,0,0,0.089510071620292,0,0,0,0,0,0,0,0,0,0,0,0.0929209159634724,0,0,0,0,0,0,0,0.0840149619063471,0.261441216064516,0,0.0581882098279002,0,0,0.053638832080441,0.0172357133122551,0,0,0,2.16840434497101e-19,0,0
X600690.SH,0,0,0.0586321438651404,0,0,0.0745636283792611,0,0,0,0,0.0423433467382177,0,0,0,0.0502983098795624,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0609348479612245,0,0,0,0,0,0.0491055794489639,0,0,0,0,0,0.0964943178933288,0,-0.020088671066808,0,0,0,0,-0.0871705774849764,0,0
X002475.SZ,0,0,0,0,0.0497468661667573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147509093910583,0,0,0,0.28337373759108,0,0,0.0592378713888182,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0310381550367512,0,0,0,0,0,0,0,0,0,-0.0215752837215096,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122918204840039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00962279498768719,0.0103565186676683,0,0,0.152820455976442,0,0,0.0232033880809464,0,0,0,0,0,0.088247256489218,0,0,0,0,0,0,0,-0.0228668265472604,0,0,0,0,0,0,0
