,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X002129.SZ,X000725.SZ,X003816.SZ,X002049.SZ,X002371.SZ,X000625.SZ,X600031.SH,X000596.SZ,X000063.SZ,X002179.SZ,X002241.SZ,X600089.SH,X000338.SZ,X600703.SH,X600522.SH,X000661.SZ,X002180.SZ,X300142.SZ,X000733.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X000157.SZ,X300003.SZ,X600702.SH,X600884.SH,X601799.SH,X600460.SH,X600487.SH,X000799.SZ,X002414.SZ,X600584.SH,X002236.SZ,X600372.SH,X600563.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.292858612458164,0.117820096751909,0.165606053725704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059328084577515,0,0,0,0,0,0,0,0,0,0,0,-0.0912199687780212,0,0,0,0,0,0,0,-0.0507957396957437,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00105148059326205,0.00214163938316715,0,0,0,0,0,0
X000858.SZ,0.14469139133207,0,0.124225975146481,0.0540716474094655,0.0819816524380061,0.0580129665068986,0.0202213384465917,0.0900248238157624,0,0.0948187326155969,0,0,0,0,0,0,0.0445655725071882,0.071811714104349,0,0,0.0781156645885982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177136917629157,0,0,0,0,6.93889390390723e-18,-0.0852073962342484,0,0,0,-0.0167564847768467,0,0,0.00501447027106956,0.00900338400189906,0,0,0,0,0,0
X600809.SH,0,0,0,0.603635403495885,0,0,0,0,0.0381041247801956,0,-0.0466887860385077,0,0,0.0576535508223685,0,0,0,0.000952847865188228,0,0,0.0242209961892907,0,0,0,-0.0521947860398036,0,0,0,0.0472344084913252,0,0,0,0,0,0,0,0,0,0.0322157732485463,-0.0962601329896521,-0.0942901353465073,0,0,0,0,0,0,0,0,0,0,0,-0.00244038422506868,0,0,0,0,0,0
X000568.SZ,0,0.0675742538128962,0.440369950917077,0,0,0,0,0,0,0,0,0,0,0,-0.045896501587042,0,0,0.0612334774609793,0,0,0.0824395207145293,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287233719487669,0,0,0,0,0.136068950584261,0,0,0,0,0,0,0,0.22603718257142,0,0,0,0,-0.0686870337323358,0.0356378578989626,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,-0.0833421245788386,0,0,0,0,-0.151434915124416,0,0,0,0,0,0.0351065810514059,0,0,0,0,0,0,0,-0.141476319450091,0,0,0.0276177174170339,0,0,3.46944695195361e-18,0,0,0,0,0,0.297124181558164,0,0,0,0,0,0.297822176423796,0.177000493865877,0,0,0,0,0,0.00443816100591334,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,-0.0833641648903869,0,0,0,0,0,0,0,-0.0819565518239639,0,0,0.27571177049184,-0.0723369132845982,0,0,0,0,0,0.145758323824757,0,0,0,0,0,0,0,0,0.159864578091778,0,0,0,0,-0.102269862237533,0,0,0,0,0,-0.0657723144036693,0,0,0.00829262557442636,-0.0413990771487736,0,0,0,0,0,0
X600690.SH,0.296476951997854,0,0,0.258188342903463,0,0,0,0,0,0,0,-0.0220968023529006,0,0,0,0,0,0,-0.0169718293722752,0,0,0,0,0,0,0,0,0,0,-0.0148061959765457,0,0,-0.0307063767559634,0.109140314121882,0,0,0,0.0559943943878171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337017443067881,0,0,0,-0.0134890476408588,0,0
X002304.SZ,0,0.338097900726126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603202582192276,0,0,0,0,0,0,0,0,0,0,0.0868889286385074,0,0,0,0,0,0.143571804415853,0,0,0,0.122128647281781,0,0,0,-0.0341294019206509,0,-0.178460934907498,0,0,0,0,0,0,0.00834822627425293,0.0123649000594573,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.364493636550899,0.0826854925050987,0,0,0,0,0,0.0129419070560179,0,0,-1.73472347597681e-18,0,0,-8.67361737988404e-19,-0.00929162020861665,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498411880835711,0,0.19044817550394,0,0,0,0,0,0.00943861920709482,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.34429108321306,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.12382848077651,0,0,0,0,0,0.0660993443846688,0.0457299094790841,0,-0.00100841892720102,0,0.133874248352229,0,0,0,0,0,0,0.0307614424020003,0,0,0,0,0,0.0801693070057302,0,0,0,0,0,0,0,0,-0.00139067735746399,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,-0.0482057049794833,0,0.0628614074822867,0,0,0.0893359083574688,0,0,0,0,0,0,0.213918522397448,0,0,0,0,0.0904149283953596,0,0,0,0,0,0,-0.0404437263862689,0,0,0,0,0,0,0,0,0,0,0,-0.160889018213097,0,-0.0460181623876297,0,0,0.344082834424533,0,-0.0416249083913098,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.0178667270808801,0,0,0,0,0,0.121775573617682,0,0.163267575531823,0,0,0,0,0,0,-0.0462014756317499,0.163940189435104,0,0,0,0,0,0,0,0,0,0,0,0,-0.145592267943198,0,0,0.629087534801334,0,0,0,0,0,0,0,0,0,0.169895435243825,0,0,0,9.33336026380169e-05,0,0,0,-0.0228868642670228,0,0,0,0,0,0
