,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X601877.SH,X000661.SZ,X600809.SH,X000100.SZ,X600703.SH,X300003.SZ,X600271.SH,X002236.SZ,X002007.SZ,X300124.SZ,X002008.SZ,X000625.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600177.SH,X000977.SZ,X600498.SH,X002371.SZ,X600487.SH,X300146.SZ,X002506.SZ,X600066.SH,X600867.SH,X000050.SZ,X002241.SZ,X600183.SH,X600566.SH,X600522.SH,X600776.SH,X000066.SZ,X600118.SH,X600089.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0217550199223347,0,0,0,0,0,0.217930649775938,0,0,0,0,0,0,0.00388328159879807,0.162307304044405,0.0769677288748314,0,0,0,0,0,0,0,0,0,0,0,0,0.13609549706709,0,0,0,0,0,0,0,0,0,0,0,0.0592203809121112,0,0,0,0,-0.0188849281746755,0,0,0,0,0.00327527845435881,-0.0305343094524895,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.221701058865929,0,0,0,0,0,0,0.325491044354922,0,0,0,0,0.148578497799048,0,0,0.0328660068016082,0,0,0.0870751689312122,0,0,0.0437305692941732,0,0,0,0,0,0,0,0,0.120247773873525,0,0,0,0,0,0,0,0,0,-0.0148985967195371,0.0557216739269363,0,0,0,0,0,0
X000651.SZ,0,0,0,0.00172537951591534,0,0,-8.67361737988404e-19,0,0,0,0.319380734934758,0,0,0.050495679270178,0,0.0247617076550502,0,0.0458733585264042,0,0,0,0,0,0,0,0,0,0.090262966822487,0,0,0,0,0,0,0,0,0,0.0526204518548141,0,0,0,0,0,0.124356739763246,0,0,0,0,0,0,0,-0.0272233622616885,0,0,0,0,0,0,0
X600104.SH,0,0,0.0582488821332703,0,0,0,0,0,0,0,0,0,0.0409724943198576,0.123083050830947,0.146745466388465,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0119602761010061,0.179124212564564,0,0,0,0,0.0460162742595447,0,0.0195295981077078,0,0,0,0.0355907593962517,0,0,0.0392638098422983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434777415636848,0,0
X600276.SH,0,0,0.132728364268057,0,0,0,0,0,0,0,0,0,0.130183561548999,0,0.0255777729241331,0.00293482787480712,0,0.0845779776948821,0,0,0,0.15747891882434,0,0,0,0,0.0140096966750499,0,0,0,0,0,0,0,0,0,0.0417282740191628,-0.133996885716645,0,0,0,0.016520835169084,0,0,0,0.0557069490378065,0,0,0,0,0,0,0,0,0,0,-0.0155105936763845,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00212480042416755,0.148686823216079,0,0.161392802561859,0,0,0,0,0,0,0,0,0.210027147205089,0,0,0,0,0,0,0,0,0,0,0,0.203588081993284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021933981921083,0.0315551716701185,0,-0.0478482900049121,0,-0.0461291722148344,0,0
X002304.SZ,0,0.336758335377692,0,0,0,0,0,0,0,0,0,0,0.0259101047804028,0,0,0.110766255853276,0,0,0,0,0,0,0,0,0.13119748447035,0,0,0,0,0,0,0,0.0476059652726958,0,0,0,0,-0.000383705616074413,0,0,0,0,0,0,0,0,0.00929307871207022,0,0,0,0,0.00404807794456328,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102829898381453,0,0,0,0,0,0,0.0412437896394125,0,0,0,0,0,0.080223932847387,0.112041575285443,0,0,0.107826984660413,0,0,0,0,0.155526929308011,0,0,0.146618884003101,0,0,0,0,0,-0.0572097087342663,-0.0707865727753776,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0554729861856287,0,0,0,0,0,0,0,0,0,0,0,0.258905264245661,0.0386253175268643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.230218350056772,0,0.0445094107566026,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0539729106854395,0,0,0,0,0.00876455629136234,0,0
X000568.SZ,0,0.315601099971822,0,0,0,0,0,0,0,0,0,0,0.0367099512469409,0.190288640539086,0.0183647676550909,0.118521862434962,0,0,0.0824104224897425,0,0.0544650002521128,0,0,0,0,0,0,0.0494595327948357,0,0,0,0,0,0,0,0,0,0,0.00659762514355786,0.0454899371269435,0,0,0,0,0,0,0,0,0,0,0,-0.0200828005883988,0,0,0,0,-0.0076280895971802,0,0
