,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X000157.SZ,X600703.SH,X000100.SZ,X600271.SH,X002236.SZ,X300142.SZ,X002007.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X002506.SZ,X002179.SZ,X600498.SH,X000977.SZ,X000625.SZ,X600487.SH,X600177.SH,X002371.SZ,X600183.SH,X600867.SH,X600066.SH,X600776.SH,X600522.SH,X300146.SZ,X000066.SZ,X000050.SZ,X002129.SZ,X002049.SZ,X600089.SH,X600118.SH,X002241.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0507616424190079,0,0,0,0,0,0,0,0.10481654394309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160712683679774,0.1246135431746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857602070600602,0,-0.0276398142456184,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.134613843808773,0,0,0.099114989112675,0,0.178685597357517,0,0,0,0,0,0.094865642576991,0,0,0,0,0,0,0,0,0.0808301429526314,0,0,0,0.131213235921469,0,0,0,0,0,0,0,0,0,0,0,0,0.129808537491725,0,-0.0528810018632733,0,0,0,0,0.0209602154975922,0,0
X000651.SZ,0,0,0,0,0,0,0.0987758311883067,0,0,0,0.32368111550315,0,0,0.259537493732181,0.154744581292438,0,0.0862297774203482,0,0,0,0,0,0,0,0,0,0,0,0,0.0741808862748567,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00556012079176066,-0.0978227819868074,0,0,0,0,0,0,-0.0175794011286012,0,0,0,0,-0.0028556277004689,0,0
X600104.SH,0,0,0.165257278765396,0,0,0.00295639159709193,0,0,0,0.0605435693148659,0,0,0.0200957156002884,0.020501669829875,0.0990005897912346,0,0,0,0,0,0,-0.0332952306854284,0,0,0,0,0,0,0,0,0,0,0.00487881921142257,0.225570952788466,0,0,0,0,0,0,0,0,0,0.0520945814284182,0.0682241180510094,0,0,0,0,0,0,0,0,0,0,0,0.00278596017823846,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127369365477945,0.0899017211649178,0,0.146426474869918,0,0,0,0,0,0,0,0.205162472180101,0,0.206427966902976,0,0,0,0,0,0,0,0,0,-0.0116247273133618,0.0448185747430936,0.0623085012205059,0,0,0,0,0,-0.054584769815398,0,0,0,0,0,0,0.00519444674974195,0.000443719930701229,0,0,0,0,0,0
X002415.SZ,0,0,0.00637858997036059,0,0,0,0,0,0,0,0,0.0520310450190137,0,0.22305605103108,0.128433457478107,0,0,0,0,0,-0.0147529187029329,0,0,0.531114802942718,-0.025153912880892,0,0,0,0,0,0,0,-0.107664929147951,0,0.123453337592263,0,0,0,0,0,0,0,0,0,-0.0272638182256268,0,0,0,0,0,0,0,0,0,0,0,-0.0024442595012535,0,0
X002304.SZ,0,0.0751415723665037,0.281540082394928,0,0,0,0,0,0,0,0.0604281736015408,0,0,0,-0.086935708774259,0.127779495083676,0,0.103735770917063,0,0,0,0,0,0,0,0.100413697297544,0,0,0,0,0,0,0,0,0.027173134395978,0,0.0847631394116915,0,0,0,-0.0645912042070804,0,0,0,0,0.0861718909815382,0,0,0,0,0,-0.00711387272599459,-0.0215336007644879,0,0,0,0.0101440850665166,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118708942877757,0.214782564374763,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.075788277129463,0,0,0.294145860698868,0,0.0898846085848834,0,0,0,0,0,0,0,0.165536186112817,0,0,0.345808113710865,0,0,-0.105579158325436,-0.042070630204977,0,0.139926928966167,0,0,0,0,0.0149805816121868,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228724230250501,0,0,0,0,0,0,0,0,0,0,0.0865423621711774,0,0.0660189611971804,0,0,0,0,0.0275045962052206,0,0,0,0,0.308688565747171,0.0211463736406588,0.0964876398141153,0,0.0329999692599584,0.0347002267519358,0,-0.000189335692313075,0,0,0,0,0.0272608244507815,0,0
X000568.SZ,0,0.213341018731713,0,0,0,0.0168210720004346,0,0.0396689979826661,0,0,0,0,0,0.0177342752794387,0,0.028553102875754,0,0.130488747842759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148997067785286,0,0,0,0,0,0,0,0,0,0,0,0.0136005080277472,0,0,0,0.200594118059164,0,-0.0240473925878506,0,0,0,0,0,0,0
