,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X002008.SZ,X300003.SZ,X000625.SZ,X600487.SH,X600809.SH,X002456.SZ,X600498.SH,X600776.SH,X000661.SZ,X000596.SZ,X002007.SZ,X000050.SZ,X600066.SH,X002179.SZ,X000157.SZ,X300142.SZ,X600522.SH,X300146.SZ,X600177.SH,X600089.SH,X300136.SZ,X600867.SH,X002241.SZ,X600566.SH,X600372.SH,X000977.SZ,X002180.SZ,X002129.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0.548776273856864,0,0,0.630427946394636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127363192497845,0.230475078139528,0,0,0,0,0,0,0.356918493919614,0,0,0,0,0,0.0224136159422573,0,0,0,0,0.159085412670932,0,0,0,-0.0537829828925946,0.00880972546780249,0,0,0,0,0,0
X600177.SH,0,0,0,0,0.00150206377719399,0.156583376319686,0.106016608329194,0,0,0.0269626883765371,0,0,0,0,0,0,0,0,0.0184964873451484,0.0426559250088398,0.00719930850754672,0,0,0.000936329037564344,0,0,0,0,0.0348195915367981,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.115977551028262,-0.0185165768811481,0,-0.0221421778439359,0,0,0,0,0,0,-0.0170465606088112,0.0295009146776223,0,0,0,0,-0.163328941615927,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022429616455607,0,0,0.0952776742865664,0.00163256608022558,0.0565325566594562,0,0,0.00155953210633179,0,0,0.00853076251451776,0,0.0306094903390344,0,0,0,0.00774856225520552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218738293525005,0,0.0860113926374052,0,0,-0.027301533684547,0.022350962672691,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0.0992636185277799,0,0.420781191542286,0,0,0,0,0,0,0,0.115383478972819,0,0,0,0.0671458323015265,0,0,0,0.434934017446477,0.0868710510077397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.108303307820914,0,0,0,0,0.0234705208963734,-0.0535973607465781,0,0,0,0,0,0
X600867.SH,0,0,0,0,-0.436523605703085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740361258837663,0,0,0,0,0,0,-0.0721478718686227,0,0,0,0.422524378333318,0.0639555520846339,0,0,0.227267437730761,0,0.0925106967698092,0,0,0.155244663694166,0,0,0.563500971720706,0,0,0.115051376758206,0.0629635513142913,0,0,0.0651125298540969,-0.0603293679741711,0,0.360692658705408,0,-0.121791237336669,0,0
X002241.SZ,0,0,0,0,0,0.0298175799373689,0,0,0,0,0,0.226981920241468,0,0,0,0,0.0104453638405367,0,0,0,0,0,0,0.120037774009672,0,0,0,0.15000483952412,0.00776781145127098,0,0,0,0.133588706556778,0,0,0,0,0,0,0,0,0,0.0316733481465979,0,0,0.184887121066531,0.0112898078133349,0,3.46944695195361e-18,0,0,-0.00587633449412891,0.0305935588689674,0,-0.110627855256407,0,-0.0339548597200933,0,0
X600566.SH,0,0,0,0,0,0,0,0.412009837929882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278147057741878,0,0,0,0,0,-0.135506775481866,0,0,0.369350783072215,-0.0660142298515368,0,0,0,0,0,0,0,0,0,0.0321818840750821,0,0,0,0.0552993651270759,0,-0.161098659937318,0,0,0,-0.0679642537014609,0,0,0,0,0,0
X600372.SH,0,-0.0591512802510382,0,0,0,0,0,0,0,0,0,0,0,0,-0.0094685128222161,0,0,0,0,0.0122632237343758,0,0,0.066412289672627,0,0,0,0,0,0,0,0,0,0,0,0.124039575416911,0,-0.0454401030033313,0,0.0347041651205031,0,0,0,0,0.348730600757975,0,0,0.102503120128401,0,0,0,0,0.0129439232182363,0.0205564794271418,0,0,0,0.0549594305833491,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.0265802744702931,0.188777133668028,0,0,0,0,0,0.274975662074982,0,0.372227795828564,0,0.0400881649027666,0,0,-0.0285038440482521,0,0,0,0,0,-0.0199052747095793,0,0,0,0,0,0,0,-0.131652772602536,0,0,0,0,0.163834319129459,0,0,0,0,0,0,0,0,-0.0967987347939427,0.0404282669073655,-0.017629294240439,0,0,0,0.0274205765413185,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0.0758192659171554,0,0,0,0,0,0,0.0780753094499839,0.0828638786723374,0.0662392010561617,0.02223910476095,0,0,0,0,0,0,0,0,0,0.0191784737322223,0,0,0,0.0640453482919619,0,0,0,0,0,0.127028650366879,0,0,0,0.106424244699565,0,0,0,0.124123600854258,0,0,0,0,-0.0243070620469232,-0.00181482602222338,0,0,0,0,0,0
