,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X000625.SZ,X002371.SZ,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X002241.SZ,X600372.SH,X600741.SH,X002049.SZ,X600584.SH,X000661.SZ,X002129.SZ,X600522.SH,X002028.SZ,X601877.SH,X600066.SH,X000800.SZ,X000921.SZ,X600183.SH,X601799.SH,X600418.SH,X002007.SZ,X002074.SZ,X002223.SZ,X600566.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.172899757421803,0.134459094669879,0.0401853137721649,0,0,0.130592308044252,0,0,0,0,0,0,0,0,0.123379179867383,0,0,0,0.0371731377186782,0,0,0,0,0,-0.0827415991791539,0,0,0,0,0,0.0731315152741888,0,0,0,0,0,0,0,0,0.011947670993556,0,0,0,0,0,0,0,0,-0.0117718409231822,0.0136162456840584,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0250853713775518,0,0.290444367745828,0,0,0.0129249631901888,0,0,0.00928560884460786,0.0308197175089375,0,0.0876885056287199,0,0,0,0.0704005420093826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433646220597196,0,0.0177521514386138,0,0,0,-0.00759218445995776,0,0,0,0,0,0,0,0,0,0.0144033708266903,0,0,-0.0397683121245601,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00703476313128834,0,0,0,0,0,0.183852533315205,0.0316020139404671,0.0726542163040844,0,0,0,0,0,0,0,0,-0.0590514568946129,0.0735798452225357,0,0.143897664789943,0,0,0,0,0,0,0,0,0,0,-0.0156850149296457,0,0,-0.0432578175397226,0.0820482511882655,-0.00329594999544233,0.0181789857348327,0,0,0,0,0,0,0,0,-0.0272483492555161,0,0,0,0,0,0,0
X600809.SH,0.0363551776659459,0,0,0,0,0.0895175405984777,0,0,0.019975907198215,0,0,0,0,0.146427835278978,0.301067707578346,0,0,0.0727361990335661,0,0,0,0.171553560514836,0,0,0,0,0,0,0,0,0.0298993129515536,0,0,0,0,0,0.000114259883589879,0,0,0,0,0,0,0.0134887792662387,0,0,0,0,0,-0.070496647427165,0,-0.0378689800122975,-0.000353741772889553,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800449567693954,0,0,0,0.185242190357839,0,0,0,0,0.0131783713929166,0,0,0.160744021641212,0.272966978453013,-3.46944695195361e-18,0.0450172509171646,0,0,0.0918649751875088,0,0,0,0.0288922891589388,0,0,0,0,0,0,-0.0935497583772312,-0.0183831051963162,0,0,0,0,0,0,0
X000568.SZ,0,0.620729492649177,0,0,0,0,0,0,-0.0495990672362119,0,0,0,0,0,0,0,0,0.0076406506815896,0,0,0.134508622055675,0,0,-0.0289164608077691,0,0,0,0,0,0,0,0,0,0,0,0.111602457974153,0,0,0,0,0,-0.0269371199587444,0,0,0,0,0,0,0,-0.0112978989374685,0,-0.0104887557174854,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.229175166518288,0,0,0,-0.0291445420267029,0,0,0.116716366993559,0,0,0,0,0,-0.0810344954964532,0,0,0.128011589383365,0.038555609964728,0,0,0,-0.106757748529088,0,0,0,0,0.0487124850472534,0,0.038206490869508,0,0,0,0,0,0.175639993847949,0,0,-0.00321056386190633,0,0,0,0,0,0,-0.0193123671476626,0.002407103552021,0,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.0118969494590706,0,0,0,0,0.144340075480404,0,-0.0410711747912845,0,0.0120863410462923,0,0,0,0.12692474116389,0,0,0.0203702890598325,0,0,0,0,0,0,0,-0.0264565014153567,0,-0.0831895404743145,0,0,0,-0.0797271160534169,0,0.0509173947304784,-0.04104352634239,0,0,0,0.214526573502793,0.0192219474924112,0,0,0,0,0,0,0,-0.0965124394710843,-0.0268917524840356,0.00283547604590951,0.017485593777576,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0176427511884516,0,0,0,0,0,0,0.0691967810384754,0,0,0,0,0,0,0,0,0,0,0,0.350982852828301,0,0,0,-0.14486817483174,-0.102524416888052,0.497625249327007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185123586311207,0,-0.00859356600011455,0,-0.0227012450462844,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.265950043546697,0,0,-0.0360768568184372,0,0,0,0,0,0,0,0,0,0.142726411524484,0,0,0,0.105248930645914,0,0.0456059320453554,-0.384643341679296,0,0,0,0,0.0465842442944073,0,0,0,0,0,0,0,0,0.161675784189778,0.504483907089651,0,0,0,-0.271096217770639,0,0.0918421572996877,0,0.280042451453446,0.021524185378253,0,-0.0320761601908788,0,0,0,0,0,0,0
