,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300124.SZ,X300014.SZ,X000651.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000625.SZ,X600031.SH,X000596.SZ,X002129.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X601877.SH,X300142.SZ,X002241.SZ,X002074.SZ,X600741.SH,X000733.SZ,X600702.SH,X000100.SZ,X600522.SH,X000157.SZ,X600460.SH,X600884.SH,X000799.SZ,X300003.SZ,X600584.SH,X000800.SZ,X600487.SH,X002007.SZ,X002414.SZ,X002236.SZ,X300146.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.328346686681858,6.93889390390723e-18,0,0.277228289828864,0,0,0,0,0,0.00974552688518178,0,0,0,0,0,0,0,0,0,0,-0.123565955879996,0.178091594848676,0,0,0,0,0,0,0,0,0.0205197023076177,0,-0.0925003157343665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111363371157199,0,0,-0.00558197312472532,0.019374277944379,0,0,0,0,0,0
X000858.SZ,0.168918628312496,0,0,0,0.3881313168912,0,0,0,0,0,-0.0677754597018073,0.0247349137166129,0,0,0,0,0.114739252612849,0,0,0.0731696815621459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793863350026085,0,0,0,0,0,0,0.00826805539500578,0,0,0,0,0,0,0,0,0,-0.0119911452911724,0,0,0,0,0,0,0
X600809.SH,0.356400352603975,0,0,0,0.447862415991016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0702595611612918,0,0,0,0,0,0,0,0,0,0,0,-0.0859472352671172,0.0731779493167153,0,0,0,0,0,0.0733735257820307,0,0,-0.031534721593001,0,0,0,0,0,0,0,0.0118122254636906,0,-0.0661080173286731,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0827624265595589,0,0,0,0,0,0,0,0,0,0.214509188844086,0,0,0,0.0404583303325807,0,0,0,0,0,0,0,0,0,0.118315517899538,0,0,0,0,0,0,0,0,0,0,0.134656654791333,-0.0505498843470384,0,0,0,0.0577571669712883,0.0394133968966615,0.0429673426284965,0,0,0.0728817191292292,-0.0101180969111811,0,0,0,0,0,0,0
X000568.SZ,0.54634721092736,0.186984062479307,0.513695752766657,0,0,0,0.129814520670455,0,0,0,0,0,0,0,0,0,0,0.00155338896897802,0,0,0,0,0,0,0,0,0.17632561029795,0,0.0209999660562749,0,0,0,0,0,0,0,0.046210067747766,0,0,0,6.93889390390723e-18,0,-0.109196698345176,0,0,0,0,0,0,0,0,-0.0151446211830705,0.00399787750553575,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0350074127648605,-0.0153160359347195,0,0,0,0,-0.0150662303945316,0,0,0,0,0,0,0.176312573901382,0,0,0,0,0,0.176416999030082,-0.176002096727998,0,0,0,0.149250636424715,0.0168539475502996,0,0,-0.211109627623161,0,0,0,0.0775869113354463,0,0,0,0,0,0,0.0364644872628063,0,0,0,0.015752627487226,-0.00600093634277515,0,0,0,0,0,0
X600690.SH,0.0420317271287147,0,0,0,0.286479124387099,0,0,0,0,0,-0.0215569371595841,0.254812196269417,0,0,0,0,0,0,0.0320170082471118,0,0,0,0,0,0,0,-0.0347861800744451,0,0,0,0.0783544651227546,0,0,0,0,0,0.0284350993127299,0,0,0,0,0,0,0,0,0,0,0,0,0.0274766614764355,-0.0720499882738943,0,-0.0687793071245232,0,0,0,0,0,0
X002304.SZ,0.0994555884250641,0,0,0.0565134880511504,0.329451307298207,0,0,0,0.191873104180049,0,0,0,0,0,0,0.0273679340621506,0,0.0528370876083716,0,0,0,0,0,0,0,0,-0.0444139708073349,0,0,0,0,0,0,0,0.0116320708851526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161583519697822,0,-0.00792828074773333,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.235269157279016,0.192683424639645,0,0,0,0,0,0,0,-0.104694310050417,0.0529629479545956,0,0,0,0,-0.00696166292505837,0.116856860933073,0.0953794403132603,0,0,0.181049359838881,0,0,0,0,0,0,0,0,0,0,0.119254540298166,0,-0.00473898821228458,0,0,0.0719602696777008,0,0,0,0,-0.0152678250816986,-0.0350449503220575,-0.0220257962986356,0,0,0,0,0
X300124.SZ,0,0,0,-0.0682283437778865,0,0,0,0,0.272319484817286,0,0,0,0,0,0,0,0,0,0,0,-0.12683594023098,0,0,0.056194290273085,0,0,0,0,0.0687430202454198,0,0,0.113946308523564,0,0,0,0,0.0450192742228044,0,0,0,0,0,0,0,0,0,0,0,0,0.0275917300491974,-0.00164529374989433,0.00819138555868844,0,0,0,0,0,0,0
