,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X000157.SZ,X600703.SH,X000100.SZ,X600271.SH,X002236.SZ,X300142.SZ,X002007.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X600498.SH,X002179.SZ,X002506.SZ,X600177.SH,X600487.SH,X000977.SZ,X000625.SZ,X600183.SH,X002371.SZ,X600776.SH,X600522.SH,X600066.SH,X600867.SH,X300146.SZ,X000050.SZ,X000066.SZ,X600089.SH,X002129.SZ,X002241.SZ,X600118.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.104891601155042,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0260872351425585,0,0,0.185481570601618,0.157625707807201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410738933934719,0,0,0,0,0,0,0,0,0.00211569574114023,0,0,0,-0.00762755019284192,-0.0238009689544906,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0552756803884003,0.16146881014237,0,0,0.0950878185142005,0,0.158559682880452,0,0,0,0,0,0.0927309625256981,0,0,0,0,0,0,0,0,0,0,0.0779176753949874,0,0,0.128154952802969,0,0,0,0,0,0,0,0,0,0.119154444959893,0,0,0,-0.0514733047103246,0,0,0,0,0.0194919336050833,0,0
X000651.SZ,0,0,0,0,0,0,0.101870200595987,0,0,0.321173625071582,0,0,0,0.251752800221137,0.159249434629141,0,0.0823981120169612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076952347581748,0,0,0,0,0,0,0,0,0,0,0,-0.0977928737400136,0,0,0,0,0,0,0,-0.0175333930888111,0,0,0,0,-0.00210381397386945,0,0
X600104.SH,0,0,0.163849165595802,0,0,0.00399700965874417,0,0,0,0,0.058466510165703,0,0.0199473832855518,0.0212398001230045,0.0965190907578044,0,0,0,0,0,0,-0.0317820445176258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224289822885072,0,0,0,0,0,0,0,0.0659847601304191,0.057051994624454,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.00293294112517175,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13616836185005,0.0296294687618257,0,0.0786809834595305,0,0,0,0,0,0,0,0.253695945760948,0,0.238597427446501,0,0,0,0,-0.0166150372693199,0,0,0,0.00651305563299814,0.0892952777932106,-0.0502380160412182,0,0,0,0,0.00859580398810048,-0.0547596048810304,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0953134506356246,0,0,0,0,0,0,0,0.0601685648785091,0,0.228549874342022,0.0187264084631656,0,0,0,0,0,-0.0077465964791368,0,0,0.524515881118434,-0.0478784472760254,0.016268824385784,0,0,0,0,0,0,0,0.166640251972813,-0.116300402403044,0,0,0,0,0,-0.00641066352238325,0,0,0,0,0,0,0,-0.00807912685634152,0,0,0,0,0,0,0,-0.00238081780887158,0,0
X002304.SZ,0,0.271550925535667,0.115341330470531,0,0,0,0,0,0,0.0220405353685322,0,0,0,0.0122241387909539,0,0.164282307378766,0,0,0,0,0,0,0,0,0,0.133734390347295,0,0,0,0,0,0,0,0.0664447686756882,0,0,0,0,-0.0167187809415519,0,0,0,0,0,0,0,0,0,0,0,0,-0.00951396658509548,-0.0182046887622545,0,0,0,0.018002950602892,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207960032234059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103022530385253,0,0,0,0.173414540524255,0,0,0,0,0.259513105593721,0,0.255226039745754,0,0,0,0,0,0,0,0,-0.130878960589362,0,0.098240006541845,0,0.0135904403542345,0,0,0,0,-0.00391098403299916,0,0
X000725.SZ,0,-0.029990780256681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194848344060814,0.207736839600116,0,0,0,-0.00679593272165283,0,0,0,0,0,0,0,0.0588448755551342,0.0750805761437409,0.0461170687915734,0,0,0,0,0.0294408086707205,0,0,0.346238649386416,0,0,0.0541291384683832,4.33680868994202e-19,0.0208707563564472,0.093845952608958,0,0,0,0,0,0,0.0206843467543011,0,0
X600031.SH,0,0.037820391651857,0.183545399178709,0.0997296411826632,0,0,0,0,0,0,0,0,0.323370678989798,0,0,0,0,0,0,0,0,0,0,0,0.0139666454490205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175105764828873,0,0,0,0,0,0,-0.043003897925488,0,0,0,0,0.0260707973018406,0,0
X000568.SZ,0,0.249248317604995,0,0,0,0.0307193966134833,0,0.00572331500460014,0,0,0,0,0,0.0328669030975452,0,0,0,0.170651315764769,0,0,0.0714922755957923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206949691879233,0.196250366562482,0,0,0,-0.0393881934818153,0,0,0,0,-0.0098518079249099,0,0
X600690.SH,0,0,0,0,0,0.210207733235185,0,-0.0263311906341791,0,0.0816231568827736,0,0,0.0606540838972154,0,0.00814295859804023,0.111230666723186,0,0,0,0,0,0,0,0,0,0,0,0.0172322333454103,0.157563861904081,0,0,0,0.0350914610035138,0,0,0,0.0126513453870687,0,0,0,0,0,0,0,0,0,0,0.0329788003361142,0.00126683328271494,0,0,0,0,0,0,0,0.0152874375818692,0,0
