,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600690.SH,X600031.SH,X000063.SZ,X000100.SZ,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X002241.SZ,X600089.SH,X600703.SH,X600741.SH,X600066.SH,X002236.SZ,X600271.SH,X601877.SH,X600177.SH,X600118.SH,X002129.SZ,X000581.SZ,X000550.SZ,X000568.SZ,X000559.SZ,X002475.SZ,X300124.SZ,X600582.SH,X000623.SZ,X000400.SZ,X000800.SZ,X600060.SH,X300146.SZ,X000050.SZ,X002294.SZ,X300003.SZ,X002292.SZ,X000977.SZ,X600839.SH,X002465.SZ,X002456.SZ,X000869.SZ,X600166.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.193014636560474,0,0,0,0,0,0,0.251450479649849,0.0289645141096671,0,0,0,0,0,0,0,0,0,0.00879486526805001,0.0735011323144476,0.080669162359511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944002044385236,0,0,0,0,0,0,-0.0432897539200209,0,0,0,0,0,0,0,-0.0236107081981873,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,-0.0201715988559246,0.0550401229991002,0.167341517255989,0.0411399719540204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013909429012253,0,0,0,0,0,0.0529097347866874,0.0675346714632905,0,0,0,0,-0.0516258820133721,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0700123786796351,0.129423086900489,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.210036623308864,0.207457730358871,0,0,0.0195419973316007,0,0,0,0,0,0,0.106103064203465,0.0606070439835023,0.0401235737506496,0.115806749541395,0.0166447325553402,0,0,0,0.123113468294035,0,0,0,0,0.00791574003876662,0,0,0,0,0,0,0.0162323404770481,0.0891314850562968,-0.0522041890964271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.0287473005443469,0,0,0,0,0,0,0,0.0539037378874906,0,0.0431602543898149,0.0464670919022476,0,0.00166115145699085,0,0,0,0.0852538239067588,0,0,0,0.055116954461933,0.0891590662924288,0.0602319174603515,0,0,0,0,0.192917510571773,0,0,0,0.0818978736180872,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811316055937432,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.102525003833019,0,0,0,0,0,0.0935949357420255,0,0,0,0,0,0,0,0,0,0.201179430207686,0,0,-0.0973283044468059,0,0,0,0.242546483519813,0,0,0,0.123214715940751,0,0,0.147215182027952,0.200305151204884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00155084913092695,0,0,0,0,0,0
X000625.SZ,0.0268182958663353,0,0.0712439210686697,0.0427653481759969,0,0,0,0.22005350384853,0.105654888868296,0,0,0,0,0,0,0,0,0,0,0.121544799290382,0,0,0,0,0,0.0336172772386301,0,0,0.188328218332803,0,0,0,0,-0.0815530691247317,0,0.0794628437023494,0,0,0,0.0487828602338605,0.0486384013648245,0,0,0,0,0,0,0,0,0,0,0.0122911443311858,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0153231695520011,0,0,0,0,0.151865313305329,0.0830639513250774,0.084777763382326,0.0564900401926834,0,0,0.0940883466995627,0.0188026321731458,0,0,0,0,0,0,0,0,0,0.0671047266580382,0,0,0,0,0.140257848213263,0,0,0,0,-8.67361737988404e-19,0,0.0980104234409097,0,0,0.0322319347362946,0,0,0,-0.00979207829662623,0.0692089757056197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.121956938207507,0,0,0,0.0734206342963601,0.111417234702462,0,0,0,0,0,0,-0.101044898077459,0,0.0754998512138338,0.109708747686586,4.33680868994202e-19,0,0,0,0,0,0.310526025235994,0,0,0,-0.0590621188796524,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230466350725802,0.0348722833669912,0,0,0,0.0574130362536283,-0.0325238840407114,0,0,0,0,0,0
X600690.SH,0.0841829212285917,0,0.226798113415664,0,0,0,0,0,0,0,0,0,0,0.0528256313322651,0,0,0,0,0,0,0,0.0446545835243183,0,0,0.173375596110316,0,0,0.0419716690971444,0.00694468121688744,0,0,0.0673088202065192,0.0548277068270438,0,0,0,0.120457668944742,0.0941731347215824,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438791605333185,0,0,0,0,0,0,0
X600031.SH,0.0658028587386985,0,0,0,0,0,0.0328516832185777,0,0,0,0,0,0,0,0.744922585129673,0,0,0.0243835323736129,0,0,0,0,0,0,0.070308101214116,0,0,0,-0.0877491012704179,0,0.0188943431016845,0,0,0,0.0601687700402792,0,0.0425888437574129,-0.0219649109993844,0,0.00123878724494432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.171851052646575,0,0,0,0,0.0352530228307147,0,0.17691837832914,0,0.0701316931193658,0,0.204092841753782,0,0,0,0,0.0982166794027641,0,0,0,0,0,0.0621224305421106,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012023127751424,0,0,0,0,0,0
