,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X003816.SZ,X600809.SH,X002371.SZ,X000568.SZ,X000725.SZ,X600104.SH,X600031.SH,X000625.SZ,X300124.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X002179.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X002463.SZ,X600089.SH,X002028.SZ,X600584.SH,X600372.SH,X000157.SZ,X600703.SH,X600741.SH,X600066.SH,X600418.SH,X000977.SZ,X600522.SH,X002236.SZ,X600183.SH,X601877.SH,X002049.SZ,X002294.SZ,X600487.SH,X000800.SZ,X000921.SZ,X601799.SH,X002074.SZ,X002180.SZ,X000661.SZ,X002129.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.148485976460146,0,0,0,0,0,0,0.15120093008923,0,0.128623060696385,0,0,0,0,0,0,0,0,0,0.222118013993192,0,0.000304880574190224,0,-0.0430523979626903,0,0,0,0,0,0,0,0,0,0,0,0,0.0483412213393586,0,0,-0.020351581704667,0,0,0,0,0,0,-0.0375685199239548,0,0,0,0,-0.0608799228630188,0,0,0,0,0,0
X000858.SZ,0.258841823487012,0,0.10270051788419,0,0,0,0,0,0.182880103951102,0,0,0,0,0,0,0,0,0,0.0882442989463359,0,0.140193981426508,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593029044296619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000490359867942009,0.0958236029815963,0,0,0,0.0108863437142865,0,0
X600276.SH,0,0.00501821874480912,0,0,0.123904660705667,0,0,-0.0260725854824419,0,0.0530374089288788,0,0,0,0,0,0,0,0,-0.0527073222168761,0,0,0,0,0,0,0,-0.0188256319227539,0,0,-0.0347639884237842,0,0,0,-0.028496610722572,0,0,0,0,0,0,0.336973330124922,0,0,0,0,0,0,0.0800459506497637,0,0,0,-0.058196014395675,0.0311861199992649,0,0,0,0.0101161506867321,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.147612527714534,0,0,0,0,0,0,0,0,0,0,-0.0991892604340132,0,0,0,0.460024817426485,0.0795337994407079,0,0,0.17020694614163,0,0,0,0,0,0,0,0.101404408809484,0,0,0,0,0,0.0696783211816381,0,0,0,0,0,0,0,0,0,-0.0257227728178437,-0.0523098016912111,0,0,0,-0.0212552522539087,0,0
X600690.SH,0,0,0.0614818194588787,0,0,0,0.341504326191243,0,0,0,0,0.0844096221494714,0,0.0168513521436463,0,0,0,0,0.113244958178566,0,0,0,0.0792088164754773,0,0,0,0,0,0,0,0,0,0,0,0,0.0716727009353175,0,0,0.0280596164792747,0,-0.0127384766399552,0,0,0.251772182421502,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147242248165453,0,0
X002415.SZ,0,0,0,0,0.142931574137455,0,0,0,0,0,0,0,0,0.181456774922986,0.0233569190445869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0747398900846928,0,0,0,0,0,0,0.0561859255650286,0,0,0.185247965386444,0,0,0,0,0.0691013852006845,0,0,0,0.0541314251151466,0,0,0.0451363631794752,0,0,0,0,-0.0127131560974552,0,0
X000651.SZ,0,0,0,0,0.221706984337411,0,0,0,0,0,0.0241751168314385,0,0,0.045737558657206,0,0,0,0,0,0,0,0,0,0,0,0.0686791384987368,0,0,0,0,0,0,0.0516415163283002,0,0,0,0,0,0,0,0,0,0,0.19638589286292,0,0,0,0,0,0,0,0,-0.040667166047352,0.0976967071098144,0,0,-0.0263339514886725,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0477643333957364,0,0,0,0,0,0,0,0,0,0,-0.312694123669186,0,-3.46944695195361e-18,0,0,0.0289272105520861,0,0,0,-0.263146071544973,0,-0.121832516374626,0,0,0,0,0,0,0,0,0.10062902165332,-0.0112414354344473,0,0,-0.114406110859218,0,0,0,0,0.132506766229039,-0.175266880126791,0.204611896161189,0,0,-0.0858083153531672,0,0
X600809.SH,0,0,0,0,0,0,0,0.0474088129264087,0,0,0.321432466071147,0,0,-0.137044026557729,0,0,0,0,0,-1.54139167743485e-05,0.529284510172947,0,0,0,0,0,0,0,0.0485642077925344,0,0,0,0,0,0,0,0,0,0,0,0,-0.120749823826898,0,0,0,0,0,0,-0.0180414016340326,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527309472292162,0,0,0,0,0,0,0.198488063139736,0,0,0,0,0.198864213534417,0.0819819484003133,0.0245171755995769,0.183304300601613,0,0,0,0,0,0,0,-0.132272966499941,0,0,0.0534210991809639,0,0,0,0.177360031263012,0,0,0,0,0,0,0,0
