,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600271.SH,X600741.SH,X600066.SH,X000100.SZ,X002241.SZ,X002292.SZ,X600177.SH,X600031.SH,X002236.SZ,X600118.SH,X002475.SZ,X000568.SZ,X000559.SZ,X002506.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X002456.SZ,X000050.SZ,X300124.SZ,X002007.SZ,X002074.SZ,X600867.SH,X002180.SZ,X002426.SZ,X002294.SZ,X600089.SH,X002249.SZ,X000981.SZ,X000869.SZ,X002049.SZ,X600699.SH,X002465.SZ,X600498.SH,X002508.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00933192211943538,0,0,0,0,0,0,0,-0.0430386339716758,0,0,-0.107817965081024,0,0,0,0,0.370687020135684,0.0302571391064422,0,0,-0.0189534931943866,0,0,0,0,0,0.0225223770794246,0,0,0,0,0,0,-0.0733815411284059,0.0267959424030214,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.163369860887221,0,0.16523787043213,0,0,0.0733299261617993,0,0,0,-0.0253401540324321,0,0,0.00257415932088373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406227854146033,0,0,0,0,0,0,0,0.0379562473755763,0,0,0,0,0.0886872620868048,-0.0346279219936378,0,0.0468045348520505,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0833412381929936,0,0,0,0,0,0.109415529192648,0.0660612967633659,0,0,0,0,0,0,0,0.0158760844966594,0,0,0,0.0835717704154417,0,0.0561034025650916,0,0,0,0.0568782632172466,0,0,0,0,0,0.0715792919998463,0,0,0,0,0,0,0.0303071079829015,0,0,0,-0.0102406462471158,-0.0308307509609756,0,0,0,0,0
X000858.SZ,0.146446227597206,0,0,0,0.249014726102553,0,0,0,0,0.0279610017444703,0,0.0609887933429125,0,0,0,0,0,0,0,0,0,0,0,0,0.0537622756800373,0,0,0,0,0,0,0,0,0,-0.0311210673038779,0,-0.0920550169920548,0.0590231646122937,0,0,0,0.0609892890225047,0.0958638429854344,0,0,0,0,0,1.0842021724855e-19,0,0.00610338951572764,0,0,0,0,0,0,0
X002304.SZ,0.140833875362074,0,0,0.201983640775458,0,0,0,0,0,0,0.204466083781666,0,0,0.0445416342579737,0,0,0,0,0,0,0,0,0.12821673912029,0,-0.0523514959482155,0,0,0,0,0,0,0,0,0.203298830412105,0,0,0,0,0,0,0,0,0,0.160862264517707,0,0,0,-0.076917043843746,0.0493017481745993,0,0.00230695689883538,0,0,0,0,0,0,0
X600276.SH,0,0.294413854017752,0,0,0,0,0,0,0,0.032402910094591,0,0,0,0.121114121035483,0,0,0,0,0,0,0,0,0,0,-0.0213133318182667,0,0,0,0,0,0,-0.00252743837652299,-0.0658199283918068,0,0.0666337056467544,0,-0.0559937000740591,0,0,0,0,-0.0277419744460489,0,0.0414359007620159,0,0,0.257801768101289,0,0,0,-0.0259330628048272,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243056981181711,0.0199490482248248,0.124596153250418,0,0.000924162625468235,0,0,0,0,0.132310175286761,0.00671560522125442,0.0111008998594662,0,0.00994625856499114,0,0,0,0,0,0,0.0205971802713165,0,0,0,0,0,0,0.024332662671996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.318106856134433,0,0,0,0,0.0515776266260224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652576370133544,-0.123883522815562,0,0,0,0,0,0.345905267576033,-0.176883891655371,0,0,0,0,0.00435622166748051,0,0,0,0.00269142381937658,0,0.00335779306872349,0,0,0,0,0,0,0.135337992039495,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.222866093961018,0,0,0,0.15196829722563,0,0,0,0,0,0,0,0,0.0216063730323116,0.0653493546774164,0,0,0,0.0504283981548043,0,0.046827145585707,0,0,0,0,0,0,0,0.0268831376317383,0,0,0,0,0,0.065806873098068,0,0,0,0.0785437521913754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0164360834701665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141908773147914,0,0,0,0,0,0,0,0,0.014905143437993,0,0.00954736103231982,0,0,0,0.00506324845736616,0,0.458527124360845,0,0,0.0981678370522645,0,0.0439320305986701,0,0,0.0476334280039021,0.0491376330078297,0,0.00133425691334841,0,0,0,0,0,0,0
