,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600690.SH,X600741.SH,X600809.SH,X000661.SZ,X600703.SH,X002241.SZ,X000596.SZ,X300003.SZ,X600183.SH,X000100.SZ,X002236.SZ,X601877.SH,X300124.SZ,X300014.SZ,X300142.SZ,X000157.SZ,X002007.SZ,X000066.SZ,X002371.SZ,X002179.SZ,X300136.SZ,X002463.SZ,X000625.SZ,X002008.SZ,X600271.SH,X002456.SZ,X000977.SZ,X600584.SH,X600177.SH,X002506.SZ,X000050.SZ,X002180.SZ,X600066.SH,X002049.SZ,X002129.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.294161071719429,0,0,0,0,0.126928976654373,0.388047647038454,0,0,0,0.0107177114142982,0,0,0,0.186991010500907,0,0,0,0,0,0,-0.112728815316115,0,0,0,0,0,0,0,-0.0705876330373926,0,0,0,0,0,0.00814140401639498,0,0,0,0.0183394191736466,0,0,0,0,0,-0.0197887460922367,-0.00881360157364001,0,0,0,0.0171755834484637,0,0
X000858.SZ,0,0,0,0,0,0,0.0431472439060393,0,0,0,0.0468212813058233,0,0.56366109102116,0,0,0,0.0311767398264449,0,0,0,0,0,0.00281664709228514,0,0,0,0,0,0,0,0,0,0.0320062743703857,0,0,0,0,0,0,0.0277269308031438,0.00666688356020689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202469549044039,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,-0.060971050699207,0,0,0.0034813893128617,0,0,0,0.475577964024851,0,0,0.121977629330604,0,0,0,0,0,0,-0.0367641061068055,0,0,0,0.00784908417805305,0,0,0,0,0.127761316476109,0.0622706874914832,0.0765281228907232,0,0,0,0,0,0,0,0,0,0,0,0,0.0218434205476538,-0.0159898030019568,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238133790495116,0,0,0,0,0,0.0547257119947436,0,0,0,0,0,0.0575187695100035,0,0,0,0,0,0,0,0,-0.10793608934558,-0.175597378949293,0,0,0,0,0,0,0,0,0.123098667270114,0,0,0.218560860973949,0,0,-0.011651741598178,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777762015563195,0,0,0.00838162406319081,0,0,0,0.0275498065643904,0,-0.116495595765909,0.614546865883402,0,0.0538337989959029,0,0.11034569886104,0,0,0,0,0,0,0,0,0.01462157865179,0,-0.0580860297298103,0.00716231031708396,0,0,0,0,0,0,0.0255511174827925,0,0,0,0.0303343845662361,-0.0687727948753938,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.046034758724035,0,0,0,0,0,0,0.0899160641841306,0,0,0,0.101348433565745,0,0,0.0230699524753796,0,0,0,0,0,0,0,0,-0.00148620361620551,0,0,0,-0.0709141075452859,0,0,-6.93889390390723e-18,0.104336219222431,0,0,0,0,0,0.0262705283477946,0,0,0,0,0,0,0.0667929249754284,0,0,0.0234279472044217,0.00263539578789865,0,0,0,0,0,0
X002475.SZ,0.229515586534681,0,0,0,0,0,0,0,0,0,0,0.066959638661361,0,0,-0.076705351349122,0,0.0659803673447792,0,-0.0916088156663258,0,0,0,0.0427624412711091,0,0,0,0,0,0,0,0,0.222426041432386,-0.0453325858619492,0,0.183495320309191,0,0,0.408201094477102,0,0,-0.0336924480635098,0,0,0,-0.0239513997266446,0,0,0,0,0,0,0,0.0171128981775768,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107897039139592,0,0,0,0.027020655620461,0,0,0,0,0,0,0,0,0,0,0.076327642685892,0,0,-0.0971276092831273,0,0.104823360588298,0.073266353434109,0,0,0,0,0.0356434002300884,0,0,0,0.200408465625695,0.0108498835024932,0,0,0,0,0,0.0609534385130115,-0.0117347883967982,0,0,0,0,0,0
X002304.SZ,0,0.210773390715569,0.00679260420884196,0,0,0,0,0.0567270934282462,0,0,0,0,0,0,0,0,0,0,0.0631078125502604,0,0.195538527895972,0,0.0524587815265416,0,0,0,0,-0.0131395160283376,0,0,0.0519525067780162,0,-0.0443567700340932,0,0,0,0,0,0,0,0.00916999792866805,0,0,0,0,0,0,0,0,0,0,-0.00402364246123153,0.0446641528025236,0,0,0,0.0247222978338168,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188901895230298,0,0,0,0,0,0,0,0,0.0137062055101425,0,0,0,0.0475740147327083,0,0,0.0367788250467715,0.00763996915507884,0,0,0.0200820092252545,0,0,0.0747729429705097,0,0,0.117447641603185,0,0,0.0741692481931822,0,0,0,0,0.000511515191737158,0,0,0,0,0,0
