,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X002371.SZ,X600703.SH,X000338.SZ,X003816.SZ,X000063.SZ,X000596.SZ,X002129.SZ,X002049.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X601877.SH,X300142.SZ,X002074.SZ,X600741.SH,X000100.SZ,X600089.SH,X600702.SH,X600460.SH,X000799.SZ,X002236.SZ,X002180.SZ,X000733.SZ,X000157.SZ,X600779.SH,X601799.SH,X002008.SZ,X600522.SH,X002414.SZ,X600584.SH,X600183.SH,X600884.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.612167282563122,0,0,0.00303634813218797,0,-0.0178193938496671,0,0,0,0,0,0,-0.0818304005265759,0,0.0586644386306125,0,-0.0357203822242202,0,0,0,0.110146988014483,0,0.0108822595865858,0,0,0,0.00456342667631468,0,0.00611327460218919,-0.0358486523319242,0,0.0160703449426883,0,0,0,0,0,0,0,0,0,0,-0.028728775104637,0,0,0,0,0,0,0,0,-0.00472148466095724,0,0,0,0,0,0
X000858.SZ,0.170168282435189,0,0,0.219727431240572,0,0,0,0,0.301669931601555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570985525289684,0,0,0.315136404419906,0,0,0,0,0,0,0,0.0811937012234447,0,0,0,0,-0.025759734713767,0,0,0,0,-0.0846938153550914,0,0,0,0,0,0,0,-0.00282719418802455,0.0108913607120812,0,0,0,0,0,0
X002415.SZ,0,0.0619852077324687,0,0,0,0.175251515452717,0,0.1073572720975,0.251216658628218,0,0,0,0,0,0,0,0,0,0.0872601480987721,0,0,0,0,0,0,-0.0686717395104018,0,0,0,0,0,0,-0.0577039932873017,-0.176997830294821,-0.0404342941424912,0,0.17945830349164,0,0.109384893967033,0,0,0,0,-0.0225123335267035,0.0602229653511175,0,0,0,0,0,0,0,0.0248900539269514,0,0,0,0,0,0
X600809.SH,0,0.147449228055147,0,0,0,0,0,0,0,0,-0.152774993020839,0,0,0,0,-0.1397319923238,0,0,-0.192230773526388,0,0,0,0,0.0329751829480904,0,0,-0.299105931197827,0,0,0,0,0,0,0,0.283890729559615,0.600427625992463,0,0,0,0,0.0258613053217557,0.0349242767665084,0,0,0,0,0,0,0,0,0,0.00819555033360435,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.144483813833692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423600331079425,0,0,0,0.0777401816718301,0,0,-0.0503087102043608,-0.00405496155246553,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0831866639750316,-0.200015445541606,0,0,0,0,0,0,1.0842021724855e-19,0.0366712431863734,0,0,0,0,0,0
X002475.SZ,0.168471546563421,0.0656720358133466,0.0139585561168245,0,0,0,0.272488625736708,0,0,0,0,0,0,0,0.0977570238169513,0.0803076387056883,0.0763979057837845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010121727781,0,0,0,0,0,0,0
X600276.SH,0,0,0.151721996121291,0,0,0.0128544774056317,0,0,0,0,-0.0489584448055212,0,0,0,0,0,0,0,-0.018009934413164,0,0,0,0,0,0,0.040950100840981,-0.19870475625908,0.115944576284849,0,0,0,0.0800776247602266,0,0,0,0,0,0,0,0,0,0,-0.0748652431183685,0.0245496923510497,0,0,0,-0.102988578508348,0.237689350769871,0,0,-0.0171294573380806,0.0203219231393489,0,0,0,0,0,0
X600690.SH,0,0,0.0781484410456661,0,0,0,0.0512343448284147,0,0.040276896634365,0,0,0.0446192700972129,0,0,0,0,0,0,0,0,0,0,0,-0.0724864589701547,0,0,0,0,0,0,0,0.140322722020447,0,0,0,0,0,0,0,0.329418354342549,0,0,0,-0.0130104667869259,0,0,0,-0.0441004145788579,0,0,0,0.000513394560980411,0,0,0,0,0,0,0
X002304.SZ,0,0.238191632975778,0.148137772674308,0,0,0,0,0.0181018016162572,0,0,-0.0138153427741891,0,-0.112460241625075,0,0,0,0,0.0659995790175442,0,0,0,0,0,0,0,0,0,0.0196346510351637,0,0,0,0,0,0,0,0,0,0,0,0,0.217368727760298,0,0,-0.123728535958969,0,0,0,0,0,0,0,0,-0.0187490194874792,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.00710944361727886,0,-0.0867370940793885,0,0,0,0,0,0.123967541313442,0,-4.33680868994202e-19,0.105895221071169,0,0,0,0,0,0,0,0,0.016663628876662,0,0,0,-0.00760685833108931,0,0,0,0,0,0,0,0,0,0,0,0,0.0592236772384231,0.0146103426246219,0,0,0,0,0,0,0,0,0,0.0450320861437847,0,0,0,-0.101477205144175,0,0
