,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600104.SH,X600809.SH,X002371.SZ,X003816.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X000596.SZ,X600418.SH,X002179.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X600183.SH,X600066.SH,X002049.SZ,X002028.SZ,X600741.SH,X002236.SZ,X601877.SH,X600522.SH,X000066.SZ,X002156.SZ,X600839.SH,X600460.SH,X000988.SZ,X002085.SZ,X002281.SZ,X600487.SH,X000661.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.153792246785037,0,0,0,0.0117379606713403,0,-0.00705035297669557,0.124494570075784,0,0,0,0,0,0,0,0,0.317823335112787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003578126575401,-0.0221387199925643,0,0,-0.011196468496936,0,0,0,0,0.00442919738045704,0.000786321583550829,0,0,0,-0.0412568835245633,0,0
X000858.SZ,0,0,0,0,0,0,0,0.060045257019505,0.231256685180978,0,0,0,0.126565597608336,0,0,0,0.00913023538986784,0.307132545705815,0,0,0,0,0,0,0,0,0,0,0,0,0.135262011286607,0,0,0.0974286191785479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000222800136151508,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0.031183957439694,0,0,0,0,0,0,0,0.144554973821597,0,0,0,0,0.0207931075495345,0,0.289786251961141,0,0,0,0.0506912024306869,-8.67361737988404e-19,0,0,0,0,0,0.164943508355849,0,0,0,0,0,0,0,-0.000412542978759708,-0.0237200056328845,0.067115852488327,0,0,0,0,0,0,0,0,0,0.0228999773633303,0,0,0,-0.00195819903452192,0,0
X600276.SH,0,0,0,0,0,0,0,0.155814978856565,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.314951188707275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778855883665128,0,0,0,0,0,0,0,0,0.029019060428022,0,0,0.0362913463042352,0.0460287688945349,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245275249589827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422490196070898,0,0,0,0,0,0.00645387417358393,0,0,0.0212378989406378,0,0.0265152246038762,0,0,0.0128811773827988,0.137055787305367,0,0,0.00790370028849569,0,0,0,-0.0376383103496915,0,0
X600690.SH,0,0,0.30856318429202,0,0,0,0.220990953185888,-0.176899706731431,0,0,0.0118742928518857,0,0.0776646565771178,0,0.0329220763949946,0,0,0.0455403213841926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159316977900171,0.028123757995367,0,-0.0168816631299863,0,0,0,0,0,0,0.00405157281532598,0,0,0,0,0,0,0
X000651.SZ,0,0,0.167237435610157,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.0902927049012467,0,0,0.0954732858947675,0,0,0,0,0,-0.0598221103445645,0,0,0,0,0,0,0,0,0,0.0998775419744801,0,0,0,0,0,0,-0.0073073816188286,-0.0190939868161854,0,-0.0738859089933031,0,0,0,0,0,0,0,-0.0268091642132077,0.0398655191565573,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123626004312404,0,0,0,0,0,0,0.163368416486675,0,-0.126387744052654,0,0,0,0,0,0,0,0,-0.268757709027613,0,1.0790442584436,0,0,0,-0.162121163227488,0,0,-0.0929640316425328,0,0.0967743554388311,0,0,0,0,0,0,0.0497255569856455,0,0,0,0.0906485553991368,0,0
X600809.SH,0,0.0815536215464631,0,0,0,0,0,0,0,0,0,0,0.589710705063521,0,0,0,0,0,0,0,0,0.0127832405147692,0.17048741124983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00128061404962091,0,0,0,0,0.0334678717217662,0,0,0,0,0,0,-0.011697934372258,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37842843831979,0,0,0,0,0,0,-0.0234855900613487,0,0,0,0,0.243117159830963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429152119860226,0.133462810785569,0,0,0.0464943750060652,0,0,0,0,0,0,0,0,0,0,0,0.0272624587587584,0,0
X003816.SZ,0,0.135229265054799,0,0,0,0,0,0,0,0,0,0,0,0,0.0902803229193445,0,0.0259519565653975,0,0,0,0,0.0255664390174455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489072888685329,0,0.067380414928005,0,0,0,0,0,0,0,0,-0.0294193822060272,0,0,0,0,-0.0490867746509395,0,0
