,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X000063.SZ,X000338.SZ,X600031.SH,X300003.SZ,X002236.SZ,X002008.SZ,X600809.SH,X600867.SH,X601877.SH,X600271.SH,X002456.SZ,X000596.SZ,X300124.SZ,X600487.SH,X600566.SH,X000661.SZ,X600066.SH,X000100.SZ,X000625.SZ,X002294.SZ,X000977.SZ,X002179.SZ,X300136.SZ,X002180.SZ,X002007.SZ,X300142.SZ,X002241.SZ,X600498.SH,X000157.SZ,X000981.SZ,X000050.SZ,X000869.SZ,X002049.SZ,X600522.SH,X600779.SH,X002508.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0310387631585532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550896587538474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879284336742436,0,0.0263807640969909,0,0,0,0.164117388565353,0.0339207315573204,0,0,0,0,0,0.0188528117345099,0.0231681719144179,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0765079596075312,0.15379829017844,0,0,0.18417303553311,0,0,0,0,-0.0284749563766174,0,0,0,0,0.0271384221868645,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.024550617634442,-0.026427084892599,0,0,0,-0.137500854081453,0,0,0,0,-0.016775646696365,-0.00111826485671445,0,0,0,0,0.0187937586285947,0.0300979400462165,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.013379278264444,0,0,0,0,0,0.00179175885769111,0,-0.129922348306174,0,0,0,0.166485693427702,0,0,0,0,0,0,0,0,0.16821856295817,0,0,0,0,0,0,0,-0.040814906304848,0.0770150577651004,0,0,0,0,0,0,0,0,0,0,0,0,0.107866904184186,0,0,0.0231422854393884,-0.017559983697913,0,0,0,0,0,0
X000858.SZ,0.0284174948332483,0,0,0,0.0716200482649082,0.151063004249948,0.124365513963254,0,0.250880456680148,0,0,0.0308782411543564,0,0,0,0,0,0.114323181101075,0,0.0284974586267353,0,0.0195456394013312,0,0,0.127978216635185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761063498717521,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.140854732960742,0,0,-0.0392574818149705,0,0.0237358433760567,0,0,0,0,0,0,-0.0968511443073385,0,0,0,0,0.152255283025823,0,0,0,0,0.250853468360716,0,0,0,0,0.0148020324004952,0,0,0.0936374442379914,0,0,0,0,0,0.072253953855467,0.0529435389522573,0,0,0,0.0291396013048021,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.571732429514439,0,0,0,0,0,0.281043932827612,0,0.207929931700347,0,0,0,0,0,0,0,0,-0.0514226136580064,0,0,0,0,0,0,0,0,0,0,0,0,-0.072365389212552,0,0,-0.132834855577448,0,-0.123213769176237,0,0,0,-0.0126747321455516,0,0,0.103722746276999,0.0845305711080582,0,0,0,0,-0.0334650633961136,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0391438994640052,0,0,0,0,0,0.253510952466254,0,0,0,0,-0.0734172361521399,0.0646698109682964,0,0.0785570952356592,0,0,0.32936460868471,0,0.0726363670305373,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151919576392861,0,0,0,0.0226198136024907,0.0370996239768884,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0537873706928296,0,0,0,0,0,0,0,0,0,0,0.108629330798646,0,0,0.0214529223542731,0.235008750968955,0,0.156835225804826,0.189327656384321,0,0,0,-0.0870855402244875,0.00968569700364071,-0.0225872369905562,0,0,0,0.075398433123432,0,0
X600690.SH,0,0,0,0.567119628679057,0,0,0.0475782937163178,0,0,0,0,0,0,0,0,0,0.065919463020891,0,0,0,0,0,0,0.0516661145613289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107105642557973,0,0,0,0,0,0,0,0,0,0,0,0,0.00942791191632628,0.0504554866844304,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0375510659059169,0,0.0753055857273531,0,0,0,-0.3599806358496,0,0,0,0,0,0,0,0,0,0,0,0.52942329525952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171133073220517,0,0,0.0241504166246925,0.216009457347933,0.000294142817464976,0,0,0.0011886003420908,-0.0077392382641566,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.139779615258095,0,0.085625758135443,0,0.149885786789034,0.0199699450607519,0,0,0,0,0.0995247864085354,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.199877572698645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609069541059523,0,0,0,0,0,0,0,0.0953860945097206,0.0177523241215663,0,0,0,0.0222707490508303,0.00671741620369549,0,0,0,0,0,0
X002475.SZ,0,0.0572659129045411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647463706407972,0,0,0,0,0,0,0,0,0,0,0,0.13365495439481,0,0,0,0.0504949051488123,0,0,0,-0.151167113659995,-0.0504088548671466,0,0,0,0,0,0,0.0146081471101471,0,0,0,0,0.0117364062284874,0,0
X600741.SH,0,0.358699039568953,0,0,0,0,0,0,0.0943438830324794,0,0,6.93889390390723e-18,0,-0.0400700522050697,0,0,0.0232541800957508,-8.67361737988404e-19,0,0,0.0785228333540463,0.0411259955871768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0276900715475052,0,0,0,0,0,0,0,0,0.107543165388755,0,0.0132426141950017,0,0,0,0.0249639300038097,-0.0104100906117038,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0387567510215031,0,0,0.202300916498654,0,0,0,0,0,0,0,0,0,0,0,0,0.0161603828198453,0,0,0.113555315838017,0,0,0.282970949130777,0,0,0,0,0,0,0,0.160841549499068,-0.128841072113149,0,0,0,-0.681493916701036,0,0
