,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X300003.SZ,X002008.SZ,X300124.SZ,X002456.SZ,X601877.SH,X000625.SZ,X600066.SH,X600487.SH,X600809.SH,X000100.SZ,X002241.SZ,X600867.SH,X002294.SZ,X600271.SH,X600566.SH,X600522.SH,X300136.SZ,X002508.SZ,X000157.SZ,X600089.SH,X002179.SZ,X000981.SZ,X000050.SZ,X300142.SZ,X000661.SZ,X002049.SZ,X600177.SH,X000596.SZ,X600707.SH,X600498.SH,X000977.SZ,X600372.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002294.SZ,0,0,0,0,0,0.107668297725849,0,0,0.235967768354877,0,0,0,0,0,0,0,0,0.0629103713999613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172704001499579,0,0.171839724146165,0,0,0,0.0362545383980043,0,-0.231901481710471,0,0,-0.02206918302048,0.0190141542948688,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0.292685216475038,0,0,0,0,0,0,0,0,0.173699921858017,0.117010238428458,0,0.179129221688204,0.039491158884755,0,0.149332756745885,0,0,0,0,0,0,0,0,0,0.0566593690088363,0,-0.0268869841125826,0,0,0,0,0,0,0,0,0.000149549595431762,0,0,0,0,0.0672196862515511,0,0,0,-0.0124512965484253,0.0526873184641617,-0.0164673228070728,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0.0682197063875511,0,0.130799542341033,0,0,0,0,-0.0694856803200856,0,0,0,0.1859094360375,0,0.0640406062740489,0,0,0,0,0,0,0,0,0,0,0.0325304561196373,0,0,0,0,0,0,0,0,0,0.142056501936502,0.0286748005220201,0,0,0,0,0,0.136065091096522,0,0,0,0.0134089788422324,-0.0437769547043824,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0.232856623458654,0,0.127453548892865,0,0,-0.0998716321536735,0,0,0.137800576045354,0,0,0,0,0,0,0,0,0,0,0,0.119765324929632,0,0,0,0,0,0,0,0,0.564800077252774,0,0,0,0,0.153636686548127,0,0,0,0,0,0,-0.00458546581548999,-0.00398228767097829,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0.186261825802941,0,0,0,0.033372643747783,0.0514732749194849,0,0,0,0,-0.165887662198208,1.29176367786768,0,0,0,0,0,0,0,0,0,-0.340899952937681,0,0,0,0,0,0,0,0,0,0,0,-0.0458468762850736,0,0,0,0,0,0,0,0,-0.0599317877773792,0.0852928481207386,0,0,0,0,0,0
X002508.SZ,0,0,0,0,0,0,0.467228773995469,0.458343328016656,0,0,0,0,0,0,0,0,0.403336366174614,0,0,0,0,0.300114856258195,0,0,0,0.131917057158705,0,-0.0097243274236869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199246952424998,0,0,0,0,0,3.46944695195361e-18,-0.378405675418318,0,0,0.0136089281062054,-0.0360303002925302,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.0193156761639838,0,0.069569287109066,0,0,0,0,0,0,0.177355092218006,0,0,0,0,0,0,0,0,0.00534538130600437,0,0.0729265176153603,0,0,0,0.0143902559225134,0,0,0,0,0,0.236178371625962,0,0,0,0,0,-0.00511684868766795,0,0,0,0,0,0,0.0395773238154388,0,0.00517333847494443,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0.0129465539594609,0,0,0,0,0,0,0,0,0.297662004761478,0,0,-0.0428206976480895,0,0,0,0.0224756684491716,0,0.127026975239772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795027071543011,0,0,0.0481252814834369,0,0,0,0,0,0.128801538182401,0,0,-0.00556075669056783,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0.00196181142160132,0,0,0,0,0,0,0,0,0,0.042638282823753,0,0.0271434465865181,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.111639301846409,0,0,0,0,0,0,0,0.0374459929064952,0.185584436169446,0,0,0,0,0.0966428170581036,0.0228978731438412,0.26272616673309,0,0,0,0,0,0,0,0,0
X000981.SZ,0,0,0.133969010979131,-0.11328539372826,0,0,0,0,0.0682585142057602,0,-0.0788275791352154,-0.208523045244115,0,0,0,0,0,0,0,0,0.0436242678951917,0,0,0,0,0.147268052229041,0,0.0420005378398874,0,0,0,-0.0260055446078164,0,0,0,0,0,0,0,0.032289931134929,0,0,0,0,0,0,0,0,0,0,0,-0.0345625645435114,0.0347855191126859,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387889352135638,0,0,0,0,0,0,0,0.0962228946408431,0,0,0,-0.147174345841304,0,0,0.158541003955906,0,0,0,0,0,0,0,0,0,0.192806604643115,0.759978197867629,0,0,0.16354636912281,0,0.15475113502609,0,0,0.0285002311387606,0,0,0,0,0,0,0
X300142.SZ,0.018728748519623,0,0,0.340711512227106,0.00672569420239208,0,0,0,-0.0536708978581438,0,0,0,0,0,0.495169621681159,0,-0.231598539612965,0,0,0,0,-0.0155489928098327,0,0,0,0,0,0,-0.189267510497006,0,0,0.165478695248197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324435841156547,6.93889390390723e-18,0,0,-0.0775075274129454,0.0976766649696714,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0.202761469601728,0.0449004594343088,0,0,-0.105433248823701,0,0,0,0,0,0,0,-0.0991282724367896,0,0,0,0,0,0,0,0,0,0.409543259676344,0,0,0,0,-1.73472347597681e-18,0.152972684710015,0,0,0,-0.59527853212504,0,0,0,0.310222070883884,0,0,0,0,0,0,0,0,-0.0147552977103227,0.0181567678586288,0,0,0,0,0,0
X002049.SZ,0,0,0,-0.208083143162446,0,0,-0.0129115216083405,0,0,0,0.292649239967946,0,0,0,0,0,0,0,0,0,0,0.0574514557191246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00642073968152158,0,0.0530711001330227,0,0,0,0.0220218420905201,0,0,0.679693056509136,0.283508873242746,0,0,0,-0.0229877380267284,0.0341918007679959,0,0,0,0,0,0
X600177.SH,-0.0464511902662362,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0455320087512583,0,0,0,0,0,0,-0.0147324103338398,0,0,0,0,0,0,-0.0791904316595845,0,0,0,0,0,0,-0.0847459444793804,0,0,-0.137775648942813,0,0,0,0,0.39448329106268,0,0,0.190782350970562,0,0,0,0,0,-0.00087881713144753,0,0,-0.0149679752148742,0,0,0,0,0,0,0
X000596.SZ,0.332013465476245,0,0,0,0,0,0,0.0873183379069805,0,0,0,0.425129274739787,0,-0.0204912721979433,0,0,0,0,0,0,-0.0225361756142649,0,0,0,0,0,0,0,0,0,0,0.0441884458685053,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141624229061315,0,0,0,0,0,0,0,0,0,0
X600707.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126766561874199,0,0.0239733440859806,0,0,0.0858520850138009,0,0,0,0,0,0,0,0,0.00184247397254614,0,0,0,0,-0.0130437349387055,0,0,0,0,0,0.0449104750308013,0,0,-0.054839945960562,0,-0.00396184141051335,0,0.107383420335102,0,0.0440264786468739,0,0,0.00270974591355053,-0.0163472631476183,0,0,0,0,0,0
X600498.SH,-0.0586933400720195,0,0,0,0,0,0,0,0.218827532761368,0,0,0,0,0,0,0,0,0,0.0665911624477004,0,0,0.00552821900665112,0,0,0,0,0,0.232566008489366,0,0,0.120567612979872,0,0.207042316028841,0.0203465504607942,0,0,0,0,0,0.229784721302364,0,0,0,0,0,0,0,0,0,0,0,0.016669381324421,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.231131103270416,0,0,-0.0781289059389425,0,0,0,0.151665563509887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362181630788739,0,0,0,0,0,0.447595742001179,0,0.293037920027374,0,0,0,0,0,0,0.0309935705373419,0,-0.00618195928046552,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0.16425256360399,0,0,0,0.0204004230528035,-0.111586823602134,0,0,0,0,0,0,0,0,0,0,0,0,0.0848631096393032,0.14480747985477,0,0,0,0,0,0,0,0,0,0,0.513882492062071,0,0,0.10999967621728,0.0693860773364393,0,0.0767526699672361,0,0,0,0,0,0,0,0,0.00899723641235555,0.0193646020956709,0.275710412392913,0,0,0,0,0
X002085.SZ,0,-0.283093394482199,0,0,0,0,0.0762683477655398,0,0.126748196815383,-0.0309242858805231,0,0,0,0.458313633001506,0,0,0,0,0,0,0,0,0,-0.689789278412282,0,0,0,0,0,0,0.0851714791844533,0.47921564335174,0,0,0,0,0,-3.46944695195361e-18,0,-0.285470691067389,0,0,0,0,0,0,0,0.0954228377180679,0,0,0,0,-0.0011524850903889,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.0302737253553467,0,-6.93889390390723e-18,0,0,0,0,0,0.0376813581966483,0,0,0,-0.00811373217138569,0,0,0.0714489440796469,-0.109017875008629,0,0.255810726485429,0,0.0488343905118567,0,0,0,0,0,0,0,0.0124605987538273,0,0,0,0,0,0,-0.186172650191779,0,-0.105494461875157,0,0,0,0,0,-0.102822504125995,0,0,-0.0657746604246513,0.089334673913811,-0.0794770113056523,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131003995616046,0,0,0,-0.074359305145536,0,0,0,0,0,0,0,0,0,-0.376115641407338,0,0,0,0,1.16378008989633,0,0,0,0,0,0
TED,0,0,0,-0.261167674808762,0,0,0,0,0,0,0,0,0,-0.073018069794989,0,0,0,-0.440219375355295,0,0.0903038972792339,0,0,0,0,0,-0.0636041096197215,0,0,0,0,0,0,0,0.0199318546403945,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.749318883579778,0,-0.586757266529632,0,0.719578574140472,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0.0209923749326091,0,0,0,-0.0998218873403435,0,0,0.0884396180071405,0,-0.0107981252489154,-0.0513345149019389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123670857748382,0,0,0,0.135993224384594,0,0,-0.0450650779321324,0.0348092391635849,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.05325995645285,0,0,0,0,0.095503268883613,0.120366538177912,0,0,0,0,0,0,0,0,0,0,0,-0.248323470174366,0,0,0,0,0,0,0,0,0,0,-0.00429679497859999,0,0,-0.0833368393310829,0,0,0,0,0,0,0,0,0.000830111440221194,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224860148396032,0.00240096507563024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00705521650053855,0.0130087939418585,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0.00554669061050183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00330602570742077,0,0,0,0,0,0,0,0,0.00298236502386587,-1.67102571366165e-05,0,0,0,0,0.0130996652275849,0,0,0,0,0,-0.0666160174799901,0,0,0,0,0,-0.0351877334000374,0.0418735243296829,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,-0.00555069355722926,0,0,0,0,0,0,0,0,-0.00902933559141603,0,0,0,0,0,-0.00769422660305753,0,0,0,0.00400859329726128,0,0,0,0.00205794682777755,0,0,0,0,0,0,0,0.0285111695895165,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0.00329335818289516,0.00477713356955313,-0.00207770232411697,0,0,0,0,0,0
CarbonVol_Hubei,0,0.00440957339573366,0,0,0,0,0.00681543039625458,0,0,0,2.71050543121376e-20,0,0,0.0019398614901834,0,0,0,0,0,0,0,0.0025159785365843,0,0,-0.0130923946203621,0,0,0,0,0,0.00239267083392993,0,0,0.0163010846401078,-0.00748292392010477,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215351926201167,0,0,0,-0.0651683170321952,0.0850834858245682,0,0,0,0,0,0
