,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X000100.SZ,X600703.SH,X002292.SZ,X600066.SH,X600741.SH,X600031.SH,X002506.SZ,X002241.SZ,X002475.SZ,X600118.SH,X002236.SZ,X002049.SZ,X000559.SZ,X000157.SZ,X600372.SH,X000338.SZ,X300003.SZ,X000568.SZ,X002074.SZ,X600089.SH,X002294.SZ,X600177.SH,X300124.SZ,X002085.SZ,X600867.SH,X600582.SH,X002465.SZ,X002180.SZ,X002007.SZ,X601877.SH,X600498.SH,X300001.SZ,X000869.SZ,X002426.SZ,X002456.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,-1.73472347597681e-18,0,0.198458537316913,0,0,0,0,0,0,0,0,0,0,0.157186216444551,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.105974597426153,0,0,0,0,0.0783904937591597,0,0,0,0,0,0,0
X600104.SH,0,0,0.140515524403594,6.93889390390723e-18,0,0,0,0,0,0,0,0.0803465942572099,0,8.67361737988404e-19,0,0.388557880212378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452903912361861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492060340448018,0,0,0.00253176323962642,0,0,0,0,0,0
X002415.SZ,0,0.225912458842086,0,0,0,0,0,0,0,0,0,0.320747604711811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113140100543336,0.0105183106291278,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0114668703250288,0.214887384970058,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0.194822094528281,0,0,0,0,0,0.0791500416683662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.423938586918843,0,-0.00795650072984622,0,0.076816449152009,0,0,0,0,0,0,0,0,0,0.0253284632270219,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0281633119587076,0,0,0,0,0,0,0,0,0.0881212674139441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252012713726733,0,0.170321305795384,0,0,0,0.108097834947375,0,0,0.0873102083074281,0,0.175620832771333,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832740704878076,0,0,0,0,0,0,0,0,0,0.1166035184712,0,0,0,0,0,0,0,0,0,0,0.00355357327195792,0,0,0,0,0,0,0.105188428491246,0.0418583655722254,0.185073075970225,0,0,0,0,0.050184153139269,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0468872108051733,0,0,0,0.0539927154827238,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0948129260020717,0,0,0,0,0,0.0304028032083722,0,0,0,0.0282374256722914,0,0,0.07721543406438,0,0,0,0,0.0095847425062239,0.00185699583681045,0,0,0.0143887378997913,0,0,0.0129647865337747,0.0137294188454697,0,0,0,0,0,0
X000725.SZ,0,0,0.114956880139857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265295414365901,0,0,0.124260112396287,0,0,0,0,0.056798148822722,0.249387308003565,0,0.204347257921119,0.0094233786902289,0,0,0,0,0,0,0,0.0570298026137715,0,0,0,0.0296830056922488,0,0,0,-0.00557045100410391,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0826537585734413,0,0,0,0,0,0,0,0.0491470230485623,0,0,0,0,0,0.0648054840988069,0,0,0,0,0,0.176068996843592,0,0,0,0,0,0,0,0,0.105100566653346,0,0.0309420646474181,0,0,0,0,0.0937304883826827,0,0,0.0466676016006065,0,0,0,0.165097207959151,0,0,-0.0339793987879465,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30723833781102,0,0,0,0,0,0.126254387892936,0,0,0.103521410397989,0.0422945551731599,0.0214833146705533,0.0569484540932583,0.00959172320806833,0,0.00892525154949665,0.154616588748638,0,0.00851896188878731,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
