,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X000625.SZ,X600104.SH,X300124.SZ,X002371.SZ,X002304.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X002463.SZ,X000977.SZ,X600372.SH,X002049.SZ,X002129.SZ,X600741.SH,X000661.SZ,X600522.SH,X600584.SH,X002028.SZ,X601877.SH,X600183.SH,X000800.SZ,X600066.SH,X600418.SH,X601799.SH,X002156.SZ,X000921.SZ,X002074.SZ,X002007.SZ,X600460.SH,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.22294502533482,0.135758099350302,0.0323404989836955,0,0,0.199035291713384,0,0,0,0,0.0607281749576468,0,0,0,0,0,0,0,0.0352376081624271,0,0,0,0,0,0,0,-0.0978614965575351,0,0,0,0,0,-0.014197558832958,0,0,0,0.0100695179788163,0,0,0,0,0,0,0,0,0,0,0,-0.00527282363467773,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0366443378180267,0.163171614426941,0.399426006188265,0,0,0,0,0,0,0,0,0,0,0,0,0.0409582662213468,0,0,0,0,0.00858534142519081,0,0,0,0,0,0,0,0,0.0160935329256493,0,0,0,0,0,0,0,0,-0.0210743082801561,0,0,0,0,0,0,0,0,0.101498945976879,-0.0151712861225492,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.166287451767516,0,0.0362141634534224,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0392215787159517,0,0,0.158640380296821,0,0,0,0,0,0,0,0,-0.0151554990811718,0,0,0,0.0476144982837972,0.142703277006434,-0.0674144317212247,0,0,0,-0.0227638046026176,0,0,0,0,0,-0.0329319868676728,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.184310417814876,0,0,0,0,0,0,0.16164624675508,0,0.109440557712816,0,0.0588926964728184,0,0,0,0,0.213291634019189,0,0,0,0,0,0,0,0,0.0504269202321313,0,0,0,0,0,0,0,0,0,0,0,0,0.0183891234551635,-0.0220004204207136,0,0,0,0,0,0,-0.0403858197301879,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361903433115373,0,0,0,0,0.244083485182448,0,0,0,0.124554320953041,0,0.057954250359978,0,0.182632017156464,0.0161188187188231,0.12914065629958,0,0,0,0,0,0.0204838857453817,0,0,0,0,0,0,0,0,-0.00520272497679456,0,0,0,0,0,0,0
X000568.SZ,0,0.497618658407805,0,0.092382739718184,0,0,0,0,0,-0.142521826903939,0,0,0,0,0.0949683128584814,0,0.0821410231956796,0,0,0,0.0912732596133714,0,0,0,0,0,0,0,-0.013056535885704,0,0,0,0.0538452345801001,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165497171315285,0,0,0,0,0,-0.0111279098803022,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.210900116583055,0,0,-0.0233123617968314,0,0,0,0.101111949028106,0,0,0,0,0,-0.0622695161197048,0,0,0.0649439873535839,0.0430181333847551,0,0,0,-0.111567858744047,0,0,0,0.0545068676798582,0,0,0,0,0,0,0.0300553209524256,0,0,0,3.46944695195361e-18,0,0.16278244604988,0,0,0,0,0,-0.0223160521959834,0.00820396547217195,-0.0241013554622376,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.402406459699068,0,0,0,0,0,0,0,0,0,0.169107136473287,0.155957532349076,0,0,0,0,0,0,0,0,0,0,0,0.114446048041959,0,-0.121180701734629,0,0,0,0,0,0,0,0,0,0,0,0.106952828268763,-0.0909862475060991,0.0126490024049809,0,-0.235844032110528,0,0.0847365873771686,0,0.102061565475495,0.0384412513620194,0,0,0,0,0,0
X002475.SZ,0.24791111069109,0,0,0,0.130913083156151,0,0,0,0,-0.00660416787528311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763402290648335,-0.0953933256182164,0,0,0.538713122976721,-0.0739229442851964,-0.0277146558898383,0,0,0,0,0,0,0.0245228938676106,0,0,0,0,0,0.0700253436812357,0,0.13464028887849,0,0,0,0,-0.106728540228536,0,-0.0392471400400926,0,-0.0968429262142008,0,0,0,0,0
X003816.SZ,0,0,0.024447767110851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19158241439916,0,0.138373236974047,0,0,0,-0.334386585184292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095798124594749,0.290878812698495,-0.193502632145117,-0.00729087530967981,0,0.235932959068682,0.0325014609462787,0,0,0,0.0257202053199766,-0.0465054698630198,0,0,0,0,0,0,0
