,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600703.SH,X000100.SZ,X600741.SH,X002241.SZ,X600066.SH,X002292.SZ,X002506.SZ,X600031.SH,X002049.SZ,X600118.SH,X002465.SZ,X002475.SZ,X002236.SZ,X000157.SZ,X600372.SH,X000559.SZ,X000568.SZ,X000338.SZ,X300124.SZ,X600089.SH,X300003.SZ,X600867.SH,X600177.SH,X002007.SZ,X002294.SZ,X000869.SZ,X600584.SH,X002456.SZ,X601877.SH,X600582.SH,X300146.SZ,X000550.SZ,X002512.SZ,X002008.SZ,X002129.SZ,X600498.SH,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0142330726359423,0,0.0362891380418098,0,0,0,0,0,0.00849922301272867,0.14804515077358,0.108444904990207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933012735079087,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.00622371829285097,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.114517043579579,0,0,0,0,0.126143013634277,0,0,0.0648762953086702,0,0.124921616769883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944580575352507,0,0,0.037975581425725,0,0,0,0,0,0,0,0,0,-0.0176550193668993,-0.0103978674965653,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.13544195594264,0.129822564173752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402898129648989,0.423290130757387,0,0,0,0,0,0.0572626918719777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.118569026158177,0.177411001420546,0.083200443285622,0,0,0.0649734526127587,0,0,0,0,0,0,0,0,0,0,0,0.128395821801356,0,0,0,0,0,0,0.184066718447544,0.0570190840427187,0.0319772553127277,0,0,0.0789883924700523,0,0,0,0,0,0,0,0,-0.00904109904446299,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313799644814221,0,0,0,0,0,0.00703553569546972,0,0,0,0,0,0,0,0,0,0.289545395111378,0,0.0248334110439793,0.0394712642503889,0,0,0,0,0.056390597459123,0.0505333187827537,0.0186499943057264,0,0,0,-0.00888856506239517,0,0,0,0,0,0
X002304.SZ,0,0.0545707507408118,0,0,0,0,0,0,0,0,0,0,0,0.05736703151084,0,0,-0.0595197511079041,0,0,0.0291204641003682,0,0,0,0,0,0,0.283185843587962,0,0,0,0,0.172017797983711,0.0613391776469871,0,0,0.140551361937547,0,0,0,0,0,0,0,0,0,0.0351644862189917,0,0,0,-0.0120490465706002,0,0,0,0,0,0
X600276.SH,0,0,0.0584864231880119,0,0,0,0,0,0.139272956640563,0,0,0,0,0,0,0,0,0,-0.116678024328223,0.0302154237671294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672672294584162,0,0,0,0.132706091394132,0,0,0,0,0,0.0293648312154758,0,-0.137208997147589,-0.0533835043202825,0.00179145265888647,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230621551988055,0,0,0,0,0,0.0772610416861688,0.283475568578411,0,0.0897139770248457,0,0,-3.46944695195361e-18,0,0,0,0.0970572501005308,0,0,0,0,0.0208665499522134,0,0,0.09676073722825,0,0,0,0.0944881296529137,0,0,0,0,-0.0120563439785253,0,0,0,0,0,0
X000625.SZ,0,0,0.273733677228003,0,0.0185078789835536,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0589028904448507,0,0,0,0,0,0.223870882256064,0,0,0,0,0,0,0.160603742186436,0,0,0,0,0.0221251183240555,0.00412234171600062,0,0,0.101006699359094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0381681505750706,0,0,0,0,0,0,0,0,0,0,0.106412919268774,0,0,0,0.143330679395234,0,0,0,0,0,0,0,0.154928695513132,0,0.0590070360189901,0.206228037926676,0,0,0,0.100814928492192,0,0,0,0,0.00724783440754485,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0246502340726251,-0.0167259290201464,0,0,0,0,0,0
