,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X000100.SZ,X600031.SH,X600271.SH,X600118.SH,X000157.SZ,X000559.SZ,X600066.SH,X002236.SZ,X600372.SH,X000338.SZ,X002241.SZ,X600741.SH,X600089.SH,X002475.SZ,X002292.SZ,X000016.SZ,X600839.SH,X300124.SZ,X000568.SZ,X600177.SH,X000066.SZ,X002465.SZ,X002294.SZ,X002074.SZ,X002129.SZ,X000800.SZ,X300003.SZ,X600867.SH,X600312.SH,X000869.SZ,X600498.SH,X000581.SZ,X600582.SH,X000977.SZ,X600525.SH,X300142.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.149390404965362,0.16903027054487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.195484578971468,0,0,0,0,0,0.029871324581688,0.000100713742915254,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.22007192356835,0,0,0,0,0,0,0,-0.107814809985719,0,0,0.13278286180091,0,0,0,0.195164097417749,0.146291979590863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161427938981516,0,0,-0.0123871908803129,0,-0.0552556169845746,-4.33680868994202e-19,0.051155991596993,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.149748043245774,0,0,0,0,0,0,-0.249959683291258,0,0.0888711666143509,0.180371032030665,0,0,0,0,0.219034124555657,0,0,0,0,0,0,0,0.0272160797610011,0.0453596830957107,0,0,0,2.16840434497101e-19,-0.0420783547265718,0,0,0,0,0,0,0,0,0,0,0,0,-0.076407689930729,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0220800243347152,0,0,0,0,0,0,0,0,0.185895370725458,0,0,0,0,0.0197088950181821,0,0,0.116752853341018,0,0.334092856657993,0,0,0,0,0,0,0,0,0,-0.0455314929689077,0,0,-0.0371639909333398,0.00890294865363872,0,0,-0.0016483988952072,0,0,0,0.150955843813518,0.0999660214519748,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0426289628261466,0.0858750935893536,0,0,0,0,0,0.0779957238380206,0,0,0,0,0,0,0,0,0,0,0.0116853506083994,-0.0209590013031672,0,0,0,0.163740971324285,0,0.294288899011495,0,0,0,0,0.0141865347428166,0,0.0336581149273153,0,0,0,0,0.0581172579441714,0,0,0,0,0,0,0,-0.0100400863490301,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.032613538774416,0,0.173067054443809,0.319068182880319,0,0,0,0,0,0,-0.0447494860364933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101824220691862,0,0.310847436691321,0,0,0,0,0,0,0,-0.120791622812172,0,0,0,0,0,0,0,0.0157693302153002,0,0,0.00967231060327822,-0.03223328040023,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0270158885080558,0,0,0,0.0385449095873898,0,0,0,0,0.226728270146316,0,0,0,0,0,0,0,0,0.359449727830885,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469378387080779,0,0,0,0,0,0.0146810841818695,0,0,0,0.116469172223831,0,0,0.0363005077841538,0,0,-0.0172807265805871,0,0,0,0
X002304.SZ,0,0.301289246039898,0,0,0,0.163820705317268,0,0,0,0,0.0358798190157999,0,0,0,0,0,0,0,0,0,0,0,0,0.104027891726609,0,0,0,0,0,0.159365079662081,0,0,0,0,0,0.052210675711761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105866406451623,0.0169645844821,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0.0855673438492455,0.145056465251291,0,0,0,0,0,0,0,0.0898592516653616,0.315580678406137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944634000008533,0,0,0.0528079178188573,0,0,0,-0.0188148218550014,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.0227636328893844,0,0.0845324216521392,0,0.210722113053102,0,4.33680868994202e-19,0,0.0436869972890825,-3.46944695195361e-18,0,0,0.0609149763906185,0.087268389491,0,0.150135466334824,0,-0.00199342699041051,0,0,0,0,0.151451662352616,5.42101086242752e-20,0,-0.0152044973313332,0,-0.00508350301093475,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
