,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X600690.SH,X000725.SZ,X000063.SZ,X600031.SH,X000338.SZ,X600741.SH,X002475.SZ,X000568.SZ,X601877.SH,X600271.SH,X600703.SH,X300124.SZ,X000100.SZ,X002236.SZ,X300003.SZ,X000625.SZ,X600487.SH,X600498.SH,X000661.SZ,X600809.SH,X002008.SZ,X000596.SZ,X002007.SZ,X300142.SZ,X000157.SZ,X002179.SZ,X600566.SH,X600089.SH,X600177.SH,X600066.SH,X300146.SZ,X600522.SH,X002456.SZ,X002180.SZ,X002506.SZ,X600867.SH,X600372.SH,X002508.SZ,X002241.SZ,X002294.SZ,X600118.SH,X002223.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0836008250079261,0,0.117125472273987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777879220492725,0,0,0.229266745530473,0,0.060950226873762,0,0,0,0,0,0,0,0.152508132929587,0.0528578451646009,0,0,0,0,0,0,0,0,0.000962109479913452,0,0,0,0,-0.0497352603453268,0.0342307640384891,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063773943811377,0,0,0,0.160100580291004,0,0,0,0,0.0115916500802176,0,0,0,0.274229399816588,0,0,0,0,0,-0.0426039138039702,0,0,0,0,0,0,0,0,0,0,0.0871953438119548,0,-0.0315129316323439,0,0,0,-0.00632852115131892,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495421299160844,0,-0.0312241829748678,0,0,0.708835062101086,0,0,0,0,0,0,0,0,-0.161724780250677,0,0,0,0,0,0,0,0,0,0,-0.106016411513681,0,0,0,0,0,0.125245509368166,0,0,0,0,-0.0130670262013587,-0.00200196082324864,0,0,0,0,0,0
X000651.SZ,0.302424777358939,0,0,0,0.00168198462353075,0,0,0.151618992508375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132188241433263,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323480499345995,0,-0.00683829993626325,0,0,0,0,0,0,0
X000858.SZ,0.316090049339008,0,0,0,0,0,0.287126247363616,0,0,0,0,0,0.0506063945958239,0,0.14804373963324,0,0,0,0,0,0,0,0,0,0,0,0.117816975387648,0,3.46944695195361e-18,0,0,0,0,-0.00998188190753961,0,0,0.0435441162367119,0,0,0,0,0,-0.0986240065619315,0,0.0365901360090707,0,0,0.0149085131835673,0,0,0,-0.0066942050015062,0.0134089434119525,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.101808887239912,0.207993412790373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287296196415341,0,0,0,0.00555727062379784,0,0,0,0,0,0,0,0,0,0,0,0.0221119894716799,0,0,0,0,0.0712109694705257,0,0,0,0.193401661274901,0,0,0,0,0.0157783667733548,0.049678875444559,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,-0.0774330734042021,0,0,0.119565629277181,0,0,0,0,0,0,0,0,0.167025346494783,0,-0.0183112344794156,0,0.0224565054385974,0.142798557515953,0,0.518200901046106,0,-0.0627622760303203,0,0,0,0,0,0,0.145672899455896,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101330150035709,0.0322816639673237,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544890383174504,0,0,0,0,0,0,0.0384377111586404,0,0,0.0520469979816929,0.0454106957735127,0.290533462167463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677317635154048,0,0.0386330762529067,0,0,0,0,0,0,1.35525271560688e-20,0.00190573703559149,0,0,0,0,0,0
X000725.SZ,0,0,0.0278664138037826,0,0,0,0,0,0,0.118799740529341,0,0,0,0,0,0,0,0,0,0.0374436720345799,0.0638435529501212,0,0.0264620193780942,0.0678521895752536,0,0,0,0,0,0,0,0,0,0.0533027064812415,0,0,0,-0.0124389450489045,0,0.0562908522138955,0,0,0,0.0894571016733154,0,0,0.00127591717048004,0,0.0514848409864542,0,0,-0.000554804736390216,0.0213533143317323,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149658177237899,0.0344148950839875,0,0,0,0,0.0290563933770784,0.126946009968152,0.219080916547458,0,0,0,0,0,0,0,0,-0.00713671033152169,0,0,0,0,0.2339479411838,0,0,0,0,0,0,0,0,0,0,0,0,0.0455472022503571,-0.047592412924203,0,0,0,0.154581290755048,0,0
