,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600276.SH,X600104.SH,X000625.SZ,X300014.SZ,X000651.SZ,X300124.SZ,X002129.SZ,X600031.SH,X000725.SZ,X002371.SZ,X003816.SZ,X000596.SZ,X000063.SZ,X002049.SZ,X002241.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X601877.SH,X600741.SH,X600522.SH,X002074.SZ,X002180.SZ,X300142.SZ,X600460.SH,X000733.SZ,X600884.SH,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X002176.SZ,X002056.SZ,X600563.SH,X002414.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0294159047756399,0.137595177691505,0.0804313064054919,0,0.0374847828071381,0,0,0,0,0,0,0,0,0,0,0,0.0874150603568606,0,0,0,0,0,0,0,0,0,0,-0.0102706451323637,0,0,0,0.0385639245362695,-0.0311690423979198,0,0.0660778997205668,0,0,0,0.0454020167611819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188299505614464,0,0
X000858.SZ,0,0,0.0836391556545556,0.2651188155339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342814925571251,0,0.126258321186861,0,0,0,0,0,0,0,0,0,0,-0.0527943592038128,0,0,-0.00293838111212919,0,0,0,0.063684339888296,0.0275983879776615,0.258617190343333,0,0,0,0,0,0,0.0453518318739243,0,0,0,0,-0.00657078366828114,0.000343486244671945,0,0,0,0,0,0
X600809.SH,0,0.549435653949983,0,0.00675955553025664,0,0,0,0.0568188832742008,0,0,0,0,0,0,0,0,0,0,0,0.0359247932219345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508301375767829,0,0,0.252201873214122,0,0,0,0,0,0,0,0,0,0,0,0,0.0241798754960554,0,0,0,0,0,0,0
X000568.SZ,0,0.0956280763870882,0,0,0,0.222125869232638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586813626597919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680922183197608,0.328313980385321,0,0,0,0,-0.0295179426326799,0,0,0,0,-0.0284268390868291,0,0,0.050095084313755,0,0,0,-0.0665383409146511,0,0
X002415.SZ,0,0,0,0,0,0.362187371019118,0,0,0,0,-0.268904429181058,-0.00692884428707182,-0.0581637408055805,0.259701814147276,0,0,0.266728610540989,0,0,0,0,0,0.0792466869817467,0,0,0.148382846753763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003789671041347,0,0.554783827952848,0,0,0,0,0.0430822717763433,0,-0.260590284282999,0,0,0.0250053324664825,0.159755412632774,0,0,0,-0.0657007608598106,0,0
X002304.SZ,0,0,0.0339666019830012,0.151603341024183,0.0153016187656414,0,0.135115562423608,0.0406460346226836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111194256701403,0,0,0,0,0.00727890351752238,0,0,0,0,0,0,0,0.0665342620060617,0,0,0.22974365945812,0,0,0,0,0,0,0,0.0369027817627519,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0730616011494083,0,0,0,0,0,0,0.0417719690129723,0.0766390099263911,0,0.0648668045647773,0,0,0,0,0.0547468767870346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976221683297261,0,0,0,0,0,0,0,0,-0.0479024226351075,0.132542180703932,0,0,-0.0447274836932304,-0.0189558456220303,0,0,0,-0.114534086521815,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0587964014863111,0,0.117633227391235,0.0431240057873153,0,0.349061496617097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183755609946702,0,0,0,0,0,0.0538011874145149,0,0,0,0.000151269011145635,0.0239179984950583,0,0,0,-0.059924320734456,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.206001912910214,-8.67361737988404e-19,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.267444413244226,0.0138374905727271,0,0,0,0,0,0,0,0,0,0,0.0892504921431766,0,0,0.222077088096456,0,0,0.0286064746728202,0,0,0,0,0,0,0,0,0.00537722608091235,0,0,0.13548036634063,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.14367198977652,0.0211525436976015,0,0,0,0,0,0.0358361019273351,0,0,0,0,0,0,0,0,0,0,0,0.0399567052886114,0,0,0,0,0,0,0,0,0,0,0,0,0.069283546918937,0,0.0709895642770872,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0
