,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600104.SH,X600276.SH,X300124.SZ,X300014.SZ,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X002129.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X300142.SZ,X601877.SH,X600460.SH,X600741.SH,X002180.SZ,X000733.SZ,X000661.SZ,X000100.SZ,X600522.SH,X002074.SZ,X000157.SZ,X600884.SH,X600702.SH,X002236.SZ,X000799.SZ,X600584.SH,X600183.SH,X601799.SH,X000800.SZ,X600563.SH,X002414.SZ,X600372.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600276.SH,0,0,0,0,0,0.0132861156501664,0,0.0802282411153818,0,0,0,0,0,0,0,0,0,-0.00870988872854809,0,0,0,0,0.158490202452295,0.160049293289373,0,0,0,0,0.0863128175659283,0,0,0,-0.104352829114192,0,0,0,0,0,0,0.197138776496992,0,0,0,0,0,0,0,-0.00651908094076561,0.218459649162132,0.194069352119074,0,-0.0324527178802672,0,0,0.152028211358669,0,0,0,0
X300124.SZ,0,0,0,0.0199785430677221,0,0,0.171473996737166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805436023217937,3.46944695195361e-18,0,0.11260849236127,0,0,-0.0202339149841549,0,0,0,0.140332222176568,0,0,0,0.214828069809352,0,0,0,0,0,0.0572439548631315,0,0,-0.0187566703695709,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216611961749271,0,0,0,0,0.0344699757132861,0,0,0,0,0,0,0,0.219786761680335,0,0.0763098659617066,0,0,0,0,0.0325930573810969,0.47192203807206,0,0,0,0,0.0859698696342456,0,0,0,0,0.00329206947096689,2.16840434497101e-19,0,0,0,0,-0.0731567032473181,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130531069504881,0,0,0,0,0,0,0.0121876987278607,0.0519899685048899,0.160209934884441,0,0,0,0.047280492319731,0,0,0,0,0,0.0769559183918043,0.168826802179406,0,0,0,0,0,0.0451428427968517,0,0,0,0,0.062713637459325,0,0.0400048673380832,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.0355353444070309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358334094709391,0,0,0,0,0,0,0,0,0,0,0.143645178688015,0,0,0.0631668405339484,0,0,-8.67361737988404e-19,0,0,0,-0.00133240428769282,0,0,0,0,0,0
X002371.SZ,0.0441593362374834,0,0,-0.030572229834201,0,0,0,0.234586233212266,0,0,0,0,0,0,0,0,0,0,0,-0.0954845958330371,0,0,0.0397708668647538,0,0,0,0,0,0,0.390098758633976,0,0,0,0,0,0,0,0,0.19998406337587,0.0724829629526645,0,0,0,0,0,0,0.128171401408616,0,-0.0292318393029348,0,-0.0316873200183663,-0.0267772996254463,0.107902672254545,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.129881678533449,0,0,0,0,0,0,0,0.0708021673198033,0,0,0,0.0280878556598902,0.176493494759845,0,0,0,0,0,0,0,0,0,0.038202339894922,0,0,0,0.468580659464476,0,0,0,0,0,0,0,0,0,0,0,0.103091124814851,0,0.00545165351941044,0.02036764026464,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.182498219210671,0.0686835202732226,0,0,0,0,0,0,0.0991002848527685,0,0,0.0746724436850875,0,0,0.227018087868511,0,-0.04954911651379,0,0,-0.263893953693354,0,0,0,0,0.0856783770120254,0,0,0.297702616292211,0,0,0,0,0,0,0,0,0,0,0,0,0.0287735815670891,0.000977625065378705,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0.579477114957298,0,0,0,0,0,0,0,0.0262206052320529,0.0921235867387397,0,0,0,0.0522399283976068,0,0,0.0848759698151469,0.0780987521775729,0,0,0,0,0.178141048366715,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0822275326915071,0,0,0,0,0,-1.73472347597681e-18,0.0690724381870543,0,0,0.0525471003961939,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0.0340588763333523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175586984171298,0,0,0.49460582603439,0.022359793848824,0.0892859292166841,0,0,0,0,0,0,0,0.173775246498507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00454620978598689,0,0,0,0,0,0,0
