,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X600183.SH,X002236.SZ,X600703.SH,X000157.SZ,X000100.SZ,X300003.SZ,X002007.SZ,X300124.SZ,X300142.SZ,X002179.SZ,X600271.SH,X000625.SZ,X600498.SH,X002241.SZ,X002129.SZ,X002506.SZ,X600177.SH,X002463.SZ,X600867.SH,X300014.SZ,X002049.SZ,X300146.SZ,X600487.SH,X300136.SZ,X600066.SH,X000050.SZ,X002371.SZ,X002008.SZ,X000066.SZ,X000977.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.290323267003181,0.0562753426752711,0,0,0.128803654396828,0,0,0,0,0,0.0709537272177596,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023970341616084,0,0,0.0250251784105837,0,0,0,0.017751265135619,0,0,0,0,0,0,0,0,0,-0.0120304717642125,0,0,0,0,0,0,0
X000858.SZ,0.0147013685953041,0,0,0,0,0,0,0,0,0.356281347389792,0,0.137121168290889,0,0.065775264093159,0,0.0384898640504549,0.0514764038931965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273140478767507,0,0,0,0,0,0.0320702330320813,0,0,0,0,0,-0.0485949238499101,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.209677219750876,0,0,0.0247764673342006,0,0.103540882471933,0,0,0.082202218735525,0,0.104578864442002,0.039489460429462,0,0,0,0,0,0,0,0.100306777965412,0,0.0231190955481252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359089908383288,0,0,0,0.027542441966569,0,0,0,0,-0.0570450401067548,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.180003609627323,0,0,0,0,0,0,0,0.0824731562692915,0,0,0,0,0,0.304817258322254,0,0.181470861011385,0,0,0,0,0,0,0,0,0,0.0541183899275503,0,0.112152334296879,0,0,0,0,0,0,0,-0.118583049970358,0,0,0.0209082665495258,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0264997439950654,0,0,0.247420694171819,0,0,0,0,-0.0685764441886353,0,-0.0439677061668247,0,0,0.121505253234573,0.0365719924405094,0,0,0,0,0.192216554547037,0,0,0,0,0,0,0,0.0504063863537188,0,0,0,0,0,0,3.46944695195361e-18,0,0.018264369032863,0.0557777818191603,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0956455228147389,0,0,0,0,0,0,0,0,0.604152832410018,0,0,0,0,0,0,0,0,0,0,0,0.21675137138502,0.203305638058272,0,0,0,0.069285830989354,-0.0222018570731651,0,0,0.0294833519343921,0,-0.052069136495711,0,0,0,0,0,-0.0629144410028279,0,-0.00312587444549431,-0.0166808317540341,0,0,0,0.0717015308995733,0,0
X002304.SZ,0,0.11176590718203,0,0.0615688738639912,0,0,0,0,0,0.141319733109846,0,0,0,0,0.213010704998068,0,0.097984298851681,0,0,0,0,-0.0288786553707282,0,0,0,0,0,0,0,0,0,0,0,-0.0508104318720896,0,0,0,0,0.0716904533138479,0,0,0,0,0,0,0,0,-0.035163742832129,0,0,0.107416307523971,-0.0268293141757143,0.0536669938606644,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.166595866810249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.042121240577265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641765321688428,-0.0226804538999902,0,0.015143059934813,0,0,0.0603966460596456,0,0.348697276439749,0,0,0.0183994082709197,0,0,0,0,0.0771987694007006,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.094062874078141,0,0,0,0,0,0,0,0.19711617130562,0,0,0,0,0,0,0,0,0,0,0,0.261260238117967,0,0,0,0,0.0252034431754709,0,0,0.0308193704591554,0,0,0.164277768215123,0,0,0,0.0704916664464689,0.0202946293524223,0,0,0,0.038462840918013,0.0428342388317838,0,0,0,0,0,0
X000568.SZ,0,0.529576385565959,0,0,0,0.0770804926450396,0.0204080813145539,0,0,0,0,0.0104983974044101,0,0,0,0,0,0.225289271389806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147914320912792,0,0,0,-0.00168080352548771,0,0,0,0,-6.93889390390723e-18,0,0
