,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002371.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600741.SH,X000100.SZ,X600089.SH,X300142.SZ,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X600884.SH,X600522.SH,X000157.SZ,X000733.SZ,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X600563.SH,X000977.SZ,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865132667425308,0,-0.0424877033298097,0.114817722261644,0.0181632047238772,0,-8.67361737988404e-19,0,0.16349268061178,0,0,0,0,0,0,0,0,0,0,0,0.0394097995773925,0,0,0,0,0,0,0,0,0,0,0,0,0.0582194277729052,0,0,0.0519738857140023,0,-0.0224277875557711,0,0,0,-0.0460591393680905,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486489781391545,0,0.117450653961361,0,0,0.174424901732908,0.229414034029431,0,0,0,0,0,0,0,0,0,0.259122484304142,0.0317519478181115,0,0.132590264666886,-0.133440670016155,0,0,0,0,0,0,0.0503059155252212,0,0,0,0,0,0,0,0,0.0621471424003439,-0.0165590103502174,0,0,0,0,0,0
X000596.SZ,0,0.288452620680149,0,0,0.334753810370611,0.00922361217469538,0,0,0.109544336737908,0,0,0,0,0,0,0,0.260691092087909,0,0,0,0,0,0,0,0,0,0,0,-0.0315516268310637,0,0,0,0,0,0.114833428668691,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225729760918897,1.73472347597681e-18,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0778770807813581,-0.0499354379386316,0,0,0,0.158734813048976,0,0,-0.0845581951902732,0,0,0,0,0,0,0,0.0563967249292377,0,0.0444549250820049,0,0,0.189753114253445,0,0,0,0,0,0.0567416137940742,0,0,0,0,0,0,0.321115899484109,0,-0.50340293530815,0,0,0.0675233562739447,-0.0768575235712679,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0306274106746991,0,0,0.2734322332961,0,0,0,0,0,0,0.0093571848792173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422136446568194,-0.0216242273439975,0,0,0,-0.00820996092986,0,-0.0213332263409555,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0301877609315106,1.73472347597681e-18,0,0,0.0614779564454106,0.153826232465386,0,0,0,0,0,0,0,0,0,0.0563945794910512,0.405957603820355,0,0.0367789756833429,-0.032022663772945,0.0895081953201545,0,0,0,0,0.165480769985004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000891221189796559,0,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0.0426683523119938,0,0,0,0,0,0,0.103128152583539,8.67361737988404e-19,0.0987792484043852,0,0,0.191111372385533,0.0563318501693883,0.186987982064763,0,0.0544189456289077,0,0,0,0,0,0,0,0,0,0.0325336089397967,0,0,0,0,0,0,0,0,0,0,0.0227224382653612,0,0,0,0,0,-0.020904410032591,0,0,0,0,-0.0530596044649929,0,0
X600741.SH,0,0,0,0,0,0.123327357000229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184679567792905,0,0,0.0266135835000106,0.052502716525806,0,0,0,0.172337267346992,0,0,0,0,0,0.0186119297620425,0,0.0250603998655423,0,0,0.0842772248785878,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0395381952016188,-0.0235390968529634,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.0124371916261315,0,0,0,0,0,-1.73472347597681e-18,0.107962567911564,0,0,0,0.126459996655288,0.180028322468708,0,0.0209967488015652,0,0,0,0,0.13019172880122,0,0,0,0.0168863815665527,0.0393699667277227,0,0,0,0,0,0,0.0568368598285316,0,0,0,0.11225080850736,0,0,0,0,0.0458680973202293,0,0,0,0,-0.0030003379254892,0,0,0,2.16840434497101e-19,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467563990652714,0,0.076171405287073,0,0,0,0,0,0.127422869001698,0.0717374583340684,0,0,0,0.0814875989285535,0,0,0.0791299515972336,0.0545581292348344,0,0,0,0,0.156904571186237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000400106526311939,0,0,0,-0.040123645880403,0,0
X300142.SZ,0,0,0,0,0.146664760478006,0,0,0,0,0,0,0,0.0215428560833568,0,0,0,0,0,0,0,0,0,0.130629953805005,0,0,0,0,0,0,0,0,0,0,0.0341395138340175,0,0,0,0,0,0.173473764210937,0,0,0,0.0477091614589734,0,0,0,0,0.432206782595752,0,0,0,0.0722822508198455,0,0,0,0.140437871868907,0,0
X000661.SZ,0,0,0,0,0,-0.21499740784513,0,0,-0.180042889970393,0,0,0,0,0,0,0,0.335443347004936,0,0,0.111765035389013,0,0.178983364837234,0.384364272727029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0572340968506115,0,0,0.178293686909127,-0.223594184142789,0,0,0,0,0,0,0.404297283805364,0,0,0.417784214469175,-0.309631445874367,0,0,0,0.235605153658095,0,0
