,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X003816.SZ,X002415.SZ,X000651.SZ,X600690.SH,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X600089.SH,X002463.SZ,X600372.SH,X000157.SZ,X600584.SH,X600703.SH,X002028.SZ,X000977.SZ,X600066.SH,X600522.SH,X002236.SZ,X600183.SH,X600418.SH,X600741.SH,X002049.SZ,X601877.SH,X000800.SZ,X600177.SH,X002223.SZ,X601799.SH,X002180.SZ,X000661.SZ,X000921.SZ,X600487.SH,X600460.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.253682772258455,0,0,0,0,0,0,0.15249256881079,0,0,0,0,0,0,0,0,0.032095297491775,0,0.10564561222293,0,0,0,0,0,0,0,0,0,0,0,-0.00916957638491916,0,0,0,0,0,0,0,0,0,0,-0.038062502800338,0,0,0,0,0,-0.0268891246033384,0,0,-0.0163506541736155,-0.0710651124220345,0,0,0,0.0179741996200106,0,0
X000858.SZ,0.199116369369253,0,0.0764922015921415,0,0,0,0,0.0248656833609353,0.0711852942439596,0.179644614203591,0,0,0,0,0,0,0,0,0,0.041955690535044,0,0,0,0,0,-0.0361579335444694,0,0,0,0,0,0,0,0,0,0,0,0.215820150748109,0,0,0,0,0,0,0,0.0741384551775249,0,0,0,0,0,-0.0249978994251772,0,0,0,0,0.0218806611790141,0,0
X600276.SH,0,0,0,0,0,0.0626637686654181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400954743241258,0,0,0,0,0,0.00624894199569904,0,0,0.00352102462149049,0,0,0,0,0,0,0,0,0.356673198781085,0,0,0.0219322913662196,0,0.00299903622191121,-0.0494897220358079,0,0,0,0,-0.00307468900001345,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135671062913049,0,-0.046464305837503,0,0,0.525817927845992,0,0.0128600972860988,0,0,0.253099593242518,0,0.049405331003879,0,0.0249055176024027,0.0372027134999558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232138532429492,0,0,0,-0.0346204147611691,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.074804514595087,-0.0787143120571516,0,0,0,0,0,0.119304549084526,0,0,0,-0.165201302330469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318929258372327,0.0168804375959838,-0.247163630908134,0,0,-0.395321998460314,0,0,0,0,0,0,-0.0102293278678219,0,0,0,0,0,0,0.0024208266484581,-0.0817818440445445,0,0,0,-0.0115883322132705,0,0
X002415.SZ,0,0,0.0632660931071507,-0.0398977427056068,0,0,0,0.12801068946989,-0.0253691968547856,0,0,0,0,0,0,0,0,0,0,0,0,0.0990574364667914,0,0,0,0.00950740011470411,0,0,0,0,0,0,0,0,0.0255960938355145,0,0,0,0.29347882605264,0,0,0,0,0.0519159561129093,-0.11439216272961,0,0,0.0183112820056894,0,0,0,0.0936204311865353,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.06849629910306,0,0,0,0,0,0,0,0,0,0.0509262174372145,0,0.035835744973071,-0.00762522710872304,0,0,0,0.0277802301475508,0,0,0.0079431642973019,0,0,0,0,0.0355611634829813,0,0,0,0.0115628219611179,0,0,0,0,0,0,0,0,0,0.110830107162141,0,-1.73472347597681e-18,-0.0621377819039946,0,0,0,0,0,0,-0.00220630294314127,0,0
X600690.SH,0,0,0,0,0,0,0.302314275234974,0,0,0,0,0,0.0321253914851709,0.0766015041748571,0,0,0,0,0,0,0,0,-0.0355107689048303,0,0,0.132675808917674,0,-0.0184999318357122,0,0,0,0,0,0.177825901791608,0,0,0,0,0,0,0,0,0,-0.0389132686445445,0,0,0.110316220966642,0,-0.0724809485679994,0,0,0,-0.0438613644987053,0,0,0,0,0,0
X600809.SH,0.0277626466774395,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.180346927778784,0,0,-0.10430160900383,0,0,0,0.0615900713585541,0,0.532279842354439,0,0,0,-0.0449148130740412,0,0,0,0,0,0,0.00638998346876846,0,0,0,0,0,0,0,0,0,0,0,0.0801722154228307,0,0,0,0,0,0,0,0,0.0354276024216992,0,0.00067665493812381,0,0,0.0193301261933728,0,0
X000568.SZ,0.537150058342741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263251509515168,0,-0.0865971221215608,0,0,0,0,0,0.0995131750050748,0,0,0,0,0,0,0,-0.03180376596507,0,0,0,0,0,0,0.00919053001466886,0,0,0.0658862568839919,0,-0.0221679106462675,-0.0207896309310765,0,0,0,-0.0260434861210278,-0.0551641046607917,0,0,-0.00509862422707869,0,0
