,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X300014.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X002371.SZ,X000725.SZ,X600031.SH,X002241.SZ,X300124.SZ,X600703.SH,X003816.SZ,X000063.SZ,X000338.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X600460.SH,X000100.SZ,X600089.SH,X002074.SZ,X600741.SH,X600702.SH,X000799.SZ,X002236.SZ,X600779.SH,X600884.SH,X601799.SH,X000157.SZ,X600584.SH,X000733.SZ,X600563.SH,X002414.SZ,X002180.SZ,X600522.SH,X600183.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.49438008954907,0,-3.46944695195361e-18,0.0762566991898844,0,0,0,0,0,0,0,0,-0.119240181129777,0,0,0,0,0,0,0,0,0,0,0,0,0.00943528014465273,0,0,0,0,0,0,0,0.0523733171057569,0.0100448118960922,0,0,0,0,0,0,0,0.0107019568265804,0,0,-0.0097363512451425,0,0,0,0,0,-0.0047893337670947,0,0,0,0,0,0
X000858.SZ,0,0,0,0.353785427342822,0.0689435689310372,0,0,0.0951701107084783,0,0,0,0,0,0,0,0,0,0,-0.0566932096378194,0,0,0,0,0,0,0.150532554998847,0,0,0.0341825479491592,0,0,0.0206316446215049,0,0,0.160908122488472,0,0,1.73472347597681e-18,0,0.043283986822462,0,0,0,-0.0506342485649296,0,0,-0.00210798525012009,0,0,0,0,-0.0160218057469017,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.288016115946559,0,0,0,0.0206650717068835,0,0,0,-0.0635211747655527,0,0,0,0,0,0,0,0,0,-0.00461630184942797,0,0,0,0,0,0,0.0411602072506503,-0.0198453083087291,0,0.168918250870298,0,0,0,0,0,0,0,0.0253518287228039,-0.0121254654741828,0,0,0,0,0,0.0125433939037251,0,0,0,0,0.0113063058323841,0,0
X600809.SH,0,0.236817869150422,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107879615965391,0,0,0,0,0,0,0,0,0,0.0269211817013296,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.396578029454036,0,0,0,0,0,0,0,-0.0706845870106987,0,0,-0.068414646725236,0,0,0,0,-8.67361737988404e-19,-0.0740273277490027,0,0,0,-0.0265929867787138,0,0
X000568.SZ,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213084982217009,0,0,0,0,0,0,0,0.213282516007106,0,0,0,0,0,0,0,0,0,0,0.0904219487422516,0.00272997800329798,0,0.333713969156681,-0.0216567977498436,0,0,0,-0.171270078189697,0,0,0,-0.0552558067593963,0,0,0,0,0,0.0182436092425765,0,0,0,0,0,0
X600276.SH,0,0,0.00496408973291638,0,0,0,0,0,0,0.201851922133247,0,0,0,0,0,0,0,0,0,0,0,0.0688713797122961,0,0,0,0,0.0954997483397597,-0.151425934012658,0,0,0,0,0,0.164578076256631,0,0.204711529712932,0,0,-0.231988591587982,-0.0225212960339531,0,0,0,0,-0.0866394473802186,0,0.0118795463575331,0,0,0,0,0,0.0199545497792001,0,0,0,0,0,0
X002475.SZ,0,0.146973370165552,0,0,0,0,0,0,0,0,0,0,0.0672683813721353,0,0,0,0.160471426937388,0,0,0,0,0,0,0,0,0,0,-0.113748052606045,0,0.0844843673682522,0,0,0,0.099899454159588,-6.93889390390723e-18,0,0,0,-0.0639676110162197,0,0,0,-0.114886840010667,0,0,0,8.67361737988404e-19,0,0.0440564828130352,0,0,0.000707925459648379,0,0,0,0,0.0871133371837869,0,0
X300014.SZ,0,0,-0.292907473652989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019313785486063,0,0,0,0.00888530538709486,0,0,0,0.145104330858507,0,0.0187635018904501,0,0.0129889967824003,0,0,0,0.0428855435052464,0.158143047350379,0.224575257602073,0,-0.0960917427228401,0,0,0.191215596980853,0,0,0,0,0,0,0,0,0,0,0,0,0.0329110100709738,0,0,0,0.155732925604264,0,0
X002304.SZ,0,0.188865648245818,0.101614886271035,0.213926799672072,0,0,0,0,0,0.145436793632177,0,0,0,0,0,0,0,0,-0.102964020418326,0,0,0,0,0.0141029723460792,0.0278534426027471,0,0,0,0,0,0,0,0,0,0,0,0.126048298099,0.112194201253051,0,0,0,0,0,0,0,0,-0.00427022883617221,0,0,0,0,0.0161860633790644,-8.67361737988404e-19,0,0,0,-0.0619778522363112,0,0
X600690.SH,0,0,0,0,0,0.0818681441260067,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367811065739151,0,0,0,0,0,0,0,0,0,0,-0.137800921344234,0.15445752152388,0.0126382731852082,0,0,0,0,0,0.00800502111143431,0,0,0.010628865682689,0,0,0.0143593710465191,0,0,0,0.0403017117674939,0,0.0998049216924804,0,0,0,0,0,0,0,0,0
