,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600271.SH,X600703.SH,X600741.SH,X600066.SH,X002292.SZ,X002241.SZ,X000100.SZ,X600031.SH,X002236.SZ,X600118.SH,X600177.SH,X002506.SZ,X000559.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000568.SZ,X000338.SZ,X300003.SZ,X002074.SZ,X300124.SZ,X002085.SZ,X600867.SH,X600089.SH,X002294.SZ,X002007.SZ,X002456.SZ,X000050.SZ,X002426.SZ,X000869.SZ,X002465.SZ,X600498.SH,X002508.SZ,X002180.SZ,X601877.SH,X600699.SH,X000981.SZ,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.343925377981679,0.199672917662295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.124626638329462,0,0,0,-0.159724507936571,0.0661675218237425,0,0,0,0,0,0.0479111389010762,0,0,-0.0667307338840127,0,-0.00246691949132259,0,0.0203467152414417,0,0,0,-0.0184332776075786,0,0,0,-0.0398352659734216,0.00078074165015578,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.104723305827945,0,0.102332561668593,0,0,0.31557472152617,0,0,0,0,0,0,0,0.0660669790995565,-0.0800125461304909,-0.0166032695878779,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0227194022848355,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011910941033797,-0.0423095158605906,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097487919834064,0.0811244182890453,0,0,0,0,0,0,0,0,0,0,0,0,0.0389117467863929,0,0,0,0,0,0,0,0.186013650833826,0.056512965722801,-0.10396986959157,0,0,0.0615729257520233,0.041608296744836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.0245704021384442,0,0,0,0,0,0,0,0,0,0.0249450983028052,-0.00363674379010784,0,0,0,0,0,0,0,0,0,0,0.00926018121996566,0,0,0,0.00974708758459624,0,0,0,0,0,0.0098366787239429,0,0,0,0,0,0,0,0,0,-0.0027426757828696,0,0,0,0,0,0.0131657531690612,0,0,0.0332774471922786,-0.0376352868726659,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.118432616263526,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.0861404054765964,0,0,0,0,0,0,0,0.0117285335527398,0,0,0,0.0137791908596228,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0910902249143579,0,0,0,0,0,0,0,0,0,0.0985666684971045,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0.156720530903119,0,0,0,0.711870061198709,0,0,0,0,0,0,0,0,0,0,0.0706461224370629,0,0,0,0,0.0932150101403718,0,-0.0252865852138494,0,0,0,0,0.0142296183365753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353223068292358,0,0,0,0,-0.0381037581049897,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160657458290024,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.101424013118116,0,0,0,0,0,0,0,0.196498174599065,0,-0.0213831586034929,0,0,0,0.0717933404075127,0,0,0,0,0.116491793507896,0,0,-0.039307756898873,0,0,0,0,0,0,-0.0228092824784568,-0.00403025375495309,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0659534540401607,0,0,0,0,0,0.136786560600826,0.159964996817941,0,0,0,0,0.0295457876192937,0,0,0,0,0,0,0,0,0.142280578840827,0.065456558023773,0,0,0,0,0,0,0,0,0,0.00453826598416558,0,0,-0.000355019614477547,0,0,0,0,0,0,0
X000625.SZ,0.0438655664566808,0,0,0,0.200590701107167,0,0,0,0,0,0,0,0,0.20236945536488,0,-0.0567879248871554,0,0,0,0,0,6.93889390390723e-18,0.0349614769760329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118362995895026,0.0292242762911948,0,0.0378735868987519,0,0,0,0.0898735940340888,0,0,0,0,0,0,0.108070520414211,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.180001790165278,0,0,0,0,0,0,0,0,0,0.038107230581054,0,0.0453277268924143,0.400923651643298,0,0.0322654625543109,0,0,0,0,0.0427220050431639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599728481326193,0,0,-0.0322010473481469,0,0,0,0,0,0,0
X600690.SH,0,0,0.132154356524638,0,0,0,0,0,0,0,0,0,0,0,0.156856479611007,0,0,0,0.251373379451185,0,0,0,0,0,0,0,0.216216305797485,0,0,0.0627749807367218,0.0955647006884557,-0.096012392831967,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065612604547522,0.110881757656007,0,0,0,0,0.183418966351874,-0.19405139082442,0.0372815205838718,0,0,0,0,0
X600271.SH,0,0,0,0,0.173991357924055,0,0,0,0,0,0,0,0,0,0,0.1042204957906,-0.276088654598971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420884139968176,0,0.196198105165918,0,0,0,0,0,0,0.0126469920082963,0.19471240081304,0,0,0,-0.0203283124256482,0.220816176589073,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0.000378760343243929,0,0,0,0,0.00161550146910435,0,0,0.0641678678944482,0.0559253270193387,0.125667796679295,0,0.0234475318906008,0,0,0,0.0751428378957614,0,0,0,0,0,0,0,0,0,0,0,0.0639299554814962,0,0,0,0,0,0,0,0,0,0,0.0876736678702088,0,0,-0.00556700016010302,0,0,0,0,0,0
X600741.SH,0,0.323715628146526,0,0,0,0,0,0,0,0,0,0.0146322110580775,0,0,0,0.0079742546764945,0,0,0.131815147489398,0,0,0.00549477489880681,0,0.0123581719484473,0,0,0,0,0.0631807974137353,0,0,0,0,0,0,0,-2.16840434497101e-19,0.113988125577088,0.0372791485573051,0,0,0,0,0,0,0,0,0.0208296538874687,0.0719681773823085,0,0,0.000126604870894088,0,0,0,0,0,0,0
