,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X002475.SZ,X000568.SZ,X003816.SZ,X000651.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X000625.SZ,X000063.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X000157.SZ,X002463.SZ,X600703.SH,X600372.SH,X002241.SZ,X002028.SZ,X600066.SH,X002236.SZ,X000921.SZ,X000977.SZ,X600584.SH,X600522.SH,X002049.SZ,X600741.SH,X600183.SH,X601877.SH,X000661.SZ,X002129.SZ,X002223.SZ,X000800.SZ,X002180.SZ,X600487.SH,X600060.SH,X002156.SZ,X601799.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0176727787994373,-0.0137695474901973,0,0.349022716637608,0,0,0,0,0,0,0,0,0,0,0,0,0.0382000775006017,-0.0958501852378742,0,0,0,0,-0.0360650521889522,0,0,0.00556665550957408,0,0,0,0,0,0,0,0.0210416216304777,0,0,0,0,0,0,0,0,0,0.0529561111914937,0.0121592217113119,0,0,-0.0342507412296439,-0.0103155837838378,-0.0368129457899542,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.471413656623136,-0.109147865589454,0,0,0,0.0254828512778425,0,0.0472515919127746,-0.0246183257926808,0,0,0,0,0,0,0,0,-0.00800815735326176,0,0,0,0,-0.0215618867803341,0,0,0,0,0,0,0,0.128753127888227,0,0,0.0753743463338244,0,0,0,0,0,0,0.0546069564165099,0,0,0,-0.0283178798062547,-0.0305100330418988,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.13124789902856,0,0,-0.00676248070107451,0,0,0,0,0,0,-0.00911772890047388,-0.0241091375020939,0,0,0,0.117081489809921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151468465675293,0,0.132709938963466,0,0,0,0,0,0,0,0.00974255564879833,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.310104738281573,0,0,0.0341839479637997,0,0,0,0,0,0,0,0,0,0,0,0,-0.075625885144384,0,0,0,0,-0.0746765381646135,-4.33680868994202e-19,0.305354806610919,0,0,0.0219267845479361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109230339170662,0.0164295240172489,-0.13056535244425,0,0,0.13327654325534,0,0
X600809.SH,0,0,0,0,0,0,0,0.163886518057632,0,0,0,0,0,0,0,0,0,-0.0912920835618498,0,0.229455341408856,0.0135237664328394,0,0,0,-0.144969267238292,-0.0267241287050065,0,0,0,0,0.0476066762212578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683342471967289,0,0,0,0,0.0202154204164357,0,-0.00425007552333405,0,0,0,0,0,0,0
X600276.SH,0,0,0,-0.233631931354037,0,0,0,0,0,0,0.1042833305391,0,0,0,0,0,0,0,0,0,0.102843418684183,0,0,0,0,-0.0102537800730571,0,-0.204971191315363,0,0.101091085385941,0.0384207258727853,0,0,0,0,0.0955090175256919,0.0898905461226462,0,0,0,0,0.0824711152876289,0,0,0,0,0,-0.102824252972322,0.426406240739057,0,0,-0.0174744613072309,-0.00702623246708825,-0.0469238438484236,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0652614096865387,0,0,0,0,0,0,0,0,0,0,0,0,0.19286366170733,0,0,0,0,0.236740620986791,0,0,0,0,0,0.0283129387730764,0,0,0,0,0,0,0.225737239270694,0,0,0,0,0,0,0,0,0.0290610096139925,0,0,0,0.0720975942412628,0.0129002487559027,-0.140390749363466,0,0,0,0,0
X000568.SZ,0,0.987867865248365,0,0.0896293010224636,0,0,-0.0232960710768801,0,0,0,0,0,0,0,0,0,0,0,0,0.14686103219278,0,0,0,0,0,-0.0456989889481523,0,0,0,0,0,0,0,-0.0517621969747281,0,0,0,0,0,0,0,-0.034670862598534,0,0,-0.0369485278654932,-0.172224297120393,0,0,0,0.117641558921171,0,0,0,0,0,0,-0.0260287140003605,0,0
X003816.SZ,0,0,0,0,0,-0.114394631211887,0,-0.208154956173806,0,0,0,0,0,0,-0.155701456835749,0,-0.0396855634676959,0,0,0,0,-0.0628826376563115,0,0,0.0855135144262321,0,0,0,0,0,0.0326104317242949,0,0.0365176747547483,0,-0.0755801080318225,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801426852178347,0.0796104015374287,0,0,0,-0.0919523115967729,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0920915105442647,0,0,0,0,0,0,0,0,0,0,0,0,-0.0667933341632601,0,0,0,0,0,0,0.269572525764038,0.0282453177646613,0,0,0,0,0,0,0,0.0265042153247978,0,0,0,0,0,0,0,0,-0.0626910098397603,0,0,0,0,0.200767293752543,0,0,0,0,0,-0.0395474064178371,0.0562325507292792,0,0,-0.0427586066347762,0,0
