,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X000661.SZ,X002304.SZ,X000725.SZ,X600031.SH,X003816.SZ,X000568.SZ,X600809.SH,X600690.SH,X600703.SH,X000338.SZ,X002007.SZ,X002241.SZ,X300142.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X000596.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X000977.SZ,X002129.SZ,X002236.SZ,X601877.SH,X000625.SZ,X000800.SZ,X000157.SZ,X600584.SH,X300136.SZ,X002456.SZ,X002414.SZ,X002049.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X600118.SH,X002185.SZ,X002180.SZ,X300146.SZ,X002008.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000725.SZ,0,0,0,-0.0649517943975842,0,0,0,0,0,0,0,0,0,0,-0.00963745789599616,0,0,0.0666206039993197,0,0,0,0.404661554073606,0,0,0,0.194243826513912,0,0,0,0,-0.0507494942713884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979962750773798,0,0.00439176453140825,0.00674550375385101,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.0513963692396588,0,0,0,0,0.0721828940108592,0,0,0,0.0251278491992989,0,0,0,0,0,0,0,0,0,0.10601374434855,0.00888388845009305,0.0229889225931889,0,0.0177756810110557,0.0754294749862744,0,0,0,0,0,0.047182450112452,0.379281947106629,-0.176589738760768,0,0,0,0,0,0,0,0,0.0283190118965154,0,0,0.0679793821384763,0,0,-0.0185114547998226,-4.33680868994202e-19,0,0,0,0.0794938554411629,0,0
X003816.SZ,0,0,0,-0.0293237490316181,0,0,0,0,0,0,0.107500361923562,0,0,0,-0.0121297757566005,0,0,0,0,0,0,0,0,0,0,0.0179547357994161,0,0,0,0,0,0.00649827139741958,0,0,0,0,-0.0190645634401221,0,0,0,-0.0222140149477187,0,0,0,0,0,0,0,0.0936051301024308,0,0,-0.00148686244028111,0,0,0,0,0,0,0
X000568.SZ,0,0.498748251501185,0,0,0,0,0,0,0,0.0929797103399835,0,0,0,0,0.317556911632639,0,0.0388703285267452,0,0,0,-0.00332062363636344,0,0,0,0,0,-0.0234819491268383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459442819279295,-0.18373453308852,0,0,0,-0.00509585884317724,-0.0118931523526447,0,0,0,0,0,0
X600809.SH,0,0.180110899797628,0,0,0,0,0,0,0,-0.13377228523198,0,0,0,0.475335446740275,0,-0.072093537581315,0,0,0,-3.46944695195361e-18,0.0172268092904556,0,0,0,0,0.0288943815886354,0,0,0.0333069074217591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507260362325729,0,-0.00207711036101943,-0.00587509185405949,0,0,0,0,0,0
X600690.SH,0,0,0,0.0853893549654734,0.272886552599724,0,0,0,0,0.198154433206294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907503862794139,6.93889390390723e-18,-0.0511578342735097,0,0,0,0,0,0,0,-0.139071852338135,0,0,0.0697566309620622,0,0,0,0,0,0,0.0613998236643422,0,0,0,0.0635602463450426,0,0,0,0.00363840594915576,0.00529125766808162,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460686294588238,0,0.0354753152377969,0,0,0,0.100470966031685,0.0324862341556219,0.263544873898257,0.157751187608968,0,0,0,0,0,0,0,0.0784456004511989,0,0,0,0,0,0.162085552774608,0,0,0.220673147114239,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0219209407163701,0.0110595395209616,0.0118271306204225,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0.0141094758542986,0,0,0.0666108093570009,0,0,0.0378357926636564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817873680219441,0,0,0,0,0.0970707612788381,0,0,0,0.0786190316817504,0,0.0742060397099811,0,0.0124076863326293,-0.0172462432212757,0,0,0,0,0,0
X002007.SZ,0,0,0.30932708022011,0,0,0,0,0.195648848393732,0.0269994589895539,0,-0.0683246324429208,-0.30043564278809,0,0,0,0,0,0,0,0,0.349303999423154,0,0,0,0,0,0,0,0,0.011659600687306,0,0,0,0,0,-0.031975652454944,0,0,0.187062109253113,0,0.0697412227343834,0,-0.275731805756128,0,0.0143452066686104,0,-0.371064547730346,0.0865376186426409,0,0.00671561821343747,-0.0172942086909013,0.00226051834962434,-8.67361737988404e-19,0,0,0,0,0,0
X002241.SZ,0,0,0,0.247472105023437,0,0,0,0,0,0,0,0,0,0,0,0,0.198151595077028,0,0,0,0,0.0106529569697964,0,0,0,0,0.101953302106656,0,0,0,0,0,0,0,0,0,0.078572861726568,0,0.290220713979379,0,0,0,0,0,0,0.173029032069964,0,0,0,0,0.0879924888717822,-0.0269935685780902,0.0198813408426671,0,0,0,0,0,0
