,X600519.SH,X600104.SH,X000858.SZ,X000651.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X000338.SZ,X600031.SH,X000568.SZ,X002475.SZ,X600741.SH,X600703.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X600487.SH,X002008.SZ,X002236.SZ,X000596.SZ,X000100.SZ,X002007.SZ,X600809.SH,X002179.SZ,X600867.SH,X000625.SZ,X000661.SZ,X002456.SZ,X300142.SZ,X600566.SH,X600066.SH,X300146.SZ,X600498.SH,X000977.SZ,X002294.SZ,X000157.SZ,X600177.SH,X002506.SZ,X600089.SH,X002180.SZ,X002241.SZ,X600372.SH,X000981.SZ,X600522.SH,X600699.SH,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00776858106366111,0.34020225805229,0,0,0,0,0,0,0,0,0,0.00857026972006802,0,0,0,0.176748531343689,0,0,0,0,0,0.0013312795091014,0,0,0,0.107434196111709,0,0,0,0,0,0,0,0,0,0.0490142041917582,0,0,0,0,0,0,0.00621536150918965,0,0,0,0,0,0,0,-0.0032576837156836,0.00636162847483356,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.314418461292447,0,0,0,0,0,0,0,0,0.159416514487753,0,0,0,0,0,0,0,0.220106224951534,0,0,0,0.204582074600031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081712490927144,0,-0.0153000189173385,0,0,0,0,0,0
X000858.SZ,0,0.174173841673972,0,0,0,0,0.0283975000732534,0,0,0,0,0,0.263111408722474,0,0.0139949244398155,0,0,0,0,0,0,0,0.0821126708821891,0,0,0,0.0774388503434239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.000436314306052879,0.00334631855433043,0,0,0,0,0,0
X000651.SZ,0.081479254160174,0,0,0,0,0,0,0,0,0,0,0,0.155228748833899,0,0,0,0,0,0,0.141975021370856,0,0.0577347853733057,0,0.0850061984928698,0,-0.0106569024303665,0.0473830775220041,0,0.0593866608274445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109417205573301,0.0304119998371456,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0701578064376436,0,0,0.0493539063251957,-0.363786246668654,0,0,0,0,0,0.0613506687780538,0,0,0,0,0.108720288099796,0.496198967768758,0.14126562027866,0,0,0,0,0,0,0,0,0,0,0,0,0.134306568755291,0.0576436548138117,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,-0.0221739826901622,0.00117087388189418,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021191567652012,0,0,0.286555831189596,0,0,0,0,0,0.160490386317938,0,0,0.107370406335446,0,0,0,0,0.0557304137810385,0,0,0.0183892854187193,0,0.222186133854043,0,0,0.171271381104018,0,0,0,0,0,0,0,0,0,0,0,0,0.0281747703643826,0.029630250352752,0,0,0,0,0,0
X002304.SZ,0,0,0.0509909925931428,0,0,0.0704728667074877,0,0,0,0.118221694483959,0,0,0.655591989176985,0,0,0,0,0,0,0,0,0,0,0,0,0.0523901211783449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228302425866592,0,0,0,0,1.73472347597681e-18,0,0.0289216085824461,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629288558690244,0,0,0,0.152656842807065,0,0,0,0.373299552052146,0,0,0,0,0,0.0442475639236498,0,0,0,0,0,0.0488421160711231,0.0988647997493237,0,0,0,0.0577700488822192,0,0.0474122884803097,0,0.225645836816723,0,0.0397784467395565,0,0,0,0,0.0220375155143077,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.240708616979625,0,0,0.135073219498179,0,0,0,0.0624360104819764,0,0,0.0602440946125028,0,0,0,0,0,0,0,0.00185778679377353,0,0,0,0,0,0.11143908939386,0,0.0272992460766879,0,0,0,0,0,-0.0403300862452266,-0.0093709936003156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00776416692739557,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237361961835467,0,0.0725390900856575,0,0,0,0,0.333407411335657,0,0,0,0,0,0.137615897881239,0.0838241799010491,0,0,0,0.144935158988508,0,0,0,0,0,0.00984298406828371,0,0,0,0,0,0.00417305045817533,0,0,0,0,0,0,0,0,-0.0271387836450271,0,0,0,0,0,0
