,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X600690.SH,X600031.SH,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X000063.SZ,X000625.SZ,X002241.SZ,X000100.SZ,X600703.SH,X000596.SZ,X300142.SZ,X000157.SZ,X002371.SZ,X002129.SZ,X002179.SZ,X600741.SH,X002049.SZ,X002007.SZ,X000799.SZ,X002236.SZ,X601877.SH,X600584.SH,X300146.SZ,X300003.SZ,X002414.SZ,X600183.SH,X000800.SZ,X601799.SH,X600779.SH,X600702.SH,X600460.SH,X600089.SH,X002074.SZ,X600707.SH,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.236148244772511,0,0,0,0.128244205292166,0,6.93889390390723e-18,0,0,0,0,0,0.308679279204759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545319226854996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00739090697941078,0,0,0,-0.00764916366478798,0,0
X000858.SZ,0,0,0,0,0.11079661153909,0.286175441113152,0,0.0785756344024025,0.0475654813165149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955046364600547,0,0,0,0.199978504222828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0437662053257713,0,0,0,0,0.0964243095252055,0,0,0,0,0,0,0,0,0,0,0.0864703380027939,0,0,0,0,0,0.223245710020202,0.200125533222427,0.118144025840406,0,0,0,0,0,0,0,0,0,0.0767401256926513,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176740225580353,0,0
X600276.SH,0,0.0550355545438963,0,0,0,0.214801105209161,0,0,0,0,0,0,-0.137411842015323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15612135499402,0,0,0,0,0,0,0,-0.1452930594226,0,0,0,0,0,0,0,0,0,0,0,-0.0329582782871691,0,0,0.00405772002490072,0,0,0,0,0.0392833300750647,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408130854337347,0.042132543072073,0,0,0,0,0,0,0,0,0,0,0.133704442828798,0,0,0,0.128567248357735,0,0.462865033927157,0,0,0,0,0,0,0,0,0,0,0,0.00817251549145809,0,0,0,0,0,0,0,-0.112212868564552,0,0,0,-0.0323237612698275,0,0
X000568.SZ,0,0.734793564327814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249296949313503,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.313877220367278,0,0,0,0,0,0,0,0,0,0,0.0529159592408015,0,0,0,0,-0.00697579682996877,0,0,0,0,-0.0370725017010707,0,0,0,-0.00113376114968447,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0700101240397911,0.00315041767293601,0,0.00476582957995307,0,0,0,0,0.00938680039413649,0,0,0,0,0,0.0986271094332536,0.0129695795321813,0,0,-1.0842021724855e-19,0,0,0,0.181080492578198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348653880492168,0,0,0,0,0,0,0,-0.0219574370340991,-0.002517642116692,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0101141116665559,0.162486349846779,0.211082665887142,0.0173639678918635,0,0.127928508603304,0,0,0,0,0.178831141902297,0,0,0,0,0,-0.0501628220057479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16153274672282,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400133349190242,0,0,0,0,2.16840434497101e-19,0,0
X600690.SH,0,0.00256383434506549,0,0,0.0129192046603343,0,0,0.148919360190924,0,0,0,0,0,0.0717700892026573,0.104406399862185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462635059032604,0,0,0,0,0,0,0,0.10790426696146,0,0,0,0.0187229281703095,0.142913205613976,0.0319710778318165,0.0803001058899834,-0.0143330746856659,0,0,0,0,0,0,0,0,0,0,0.0197833505493566,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298575422397227,0.237530579425225,0,0,0.0112617386352301,0,0,0.0848003026563453,0,0.0198311749193478,0,0,0,0.179793439887969,0,0.133753145407684,0,0,0,0,0,0.181743772294644,0,0,0,0,0.00914225253935725,0,0,0,0,0,0.0091721913211902,0,0,0,-0.0449990864760081,0,0,0,0,0.00600682450204866,0,0
