,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002241.SZ,X600271.SH,X600741.SH,X600066.SH,X000568.SZ,X600118.SH,X000100.SZ,X002292.SZ,X600031.SH,X002236.SZ,X002475.SZ,X002074.SZ,X000559.SZ,X600177.SH,X002506.SZ,X600372.SH,X300003.SZ,X300124.SZ,X000157.SZ,X000338.SZ,X002456.SZ,X002085.SZ,X000050.SZ,X002180.SZ,X002007.SZ,X002249.SZ,X002426.SZ,X600867.SH,X002294.SZ,X600089.SH,X000869.SZ,X002049.SZ,X002508.SZ,X600699.SH,X002465.SZ,X002179.SZ,X600522.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.304821812134106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518770320417274,0,0,0,0,0,0,0,0,0,0.0393167281026083,0,0.0877389024724082,0.0171212264901063,0,-0.022595716702759,0,0,0,0,-0.10967398933467,0,0,0,0,0,0.124384727579566,0,-0.0505464643872728,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0644975258384186,0,0,0.138282605337956,0,0,0,0.0264420924165243,0,0,0,0,0,0,0,0,0,0.0937112050818734,0,0,0,-0.00726993808581785,0,0,0,0,0,0,0,0.0616593092392547,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0100636835224655,0,0,0,0,0.154431937072855,-0.00454931017941167,-0.0150496260214994,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0562839353312576,0,0,0,0,0,0,0,0,0,0,0,0.0684035741149992,0,0,0,0,0,0.107686935050903,0,0,0,0,0,0,0,0,0.0819720603256627,0,0,0,0,0.0878142392658504,0,0,0,0,0,0,0,0,0,0.0740894791116409,0,0,0,0,0.0175121692298885,0,0,0,0,0,0
X000858.SZ,0.00146065903464572,0,0,0,0.250538577824316,0,0,0,0,0.206475815378041,0.00273667460695058,0,0.0432555134727173,0,0,0.0395313054298261,0,0,0,0,0,0,0,0,0,0.0778573678474637,0,-0.000673702789067291,0,0,0,0,0,0,-0.0261098655550282,0,0,0.0597847006127374,0,0,0,0,0,0,0,0,0,0,0.00779726577766153,0,0,-0.0117970013063297,0,0,0,0,0,0
X002304.SZ,0,0,0,0.605503828938376,0,0,0,0,0,0,0,0,-0.0318228692110852,0,0,0.39234534392884,0,0,0,0,0,0,0,0,0,0,0.0390433438585302,0,0,0,0,-0.0113157548265882,0,0,-0.0113728152594923,0,0,0,0,0,0,0,0,0,0,0,0,0.111122654947626,0,0,0.0288853344883984,-0.0127304391750121,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.00104959818998757,-0.0112572912138356,0,0,0,0.130551781454526,0,0,0,0,0,0,0,0.0684147959013778,0,0,0,0.13612069604703,0,-0.0587357187827029,0,0,0.0276151332018996,0,0,-0.0330382497669596,0,0,0,0,0,0,0,0.0257199036570728,0,0,0,0,0,0,0,-0.0114174320045021,0,0.15870454532824,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0946106910792714,0,0.0146031819343627,0,0,0,0,0.190511355929631,0.0702523951628363,0,0,0,0,0.171089566795433,0,0,0,0,0,0,0,0.0444387149525552,0,0.0323370571311825,-0.000932644528621461,0.022415694665956,0,0,0,0,0,0,0,0,0,0.0681214268835895,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0775496056469773,0,0,0,0,0.135383403832361,0,0,0.112686794843548,0,0,0,0,0,0,0,0,0,0.174785523435612,0,-0.110214411536032,0,0.110560751179373,-0.0427386637504268,0,0,0,0,-0.0869241511587342,0,0.137127185123334,0,0,0,0.00351715685670942,0,0,0,0,0.0787047100465489,0,0,0,0,0,0,0,0.0534634835886046,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.327854281788822,0,0,0,0.110089427460499,0,0.0126674878631273,0,0,0,0,0,0,0,0,0,0.0303063832685364,0,0.14761084225195,0,0,0.0345960991107439,0,0,0,0,0,0,0,0,0.0336008133810189,0,0,0,0,0,0,0,0,0.142007201869222,0,0,0,0,0,0,0,-0.0178847414763225,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.209559300988544,0,0,0,0,0,0,0,0,0,0,0,-0.0356466757677751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069256708457108,0.046536684637195,0,0,0,0,0,0,0.0557431784414007,0,0.0553027753235017,0.0600699081437603,0,0.0858243054955741,0,0,0,0.020098225532725,0,0,0,0,0,0,0
