,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000338.SZ,X300014.SZ,X002129.SZ,X002179.SZ,X600703.SH,X000100.SZ,X002236.SZ,X600089.SH,X002049.SZ,X600372.SH,X002241.SZ,X000157.SZ,X600741.SH,X000661.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X601799.SH,X002463.SZ,X002074.SZ,X002007.SZ,X600702.SH,X000800.SZ,X300142.SZ,X000066.SZ,X002180.SZ,X000733.SZ,X600183.SH,X002028.SZ,X600460.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00468929431134535,0.0139516796927091,0.330249735681738,0,-0.0267811537391415,0,0.0070459561973028,0,0,0,0.167082758407138,-0.0193454076538755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064961874861353,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207324247868027,0,0,0,0.07925961516669,-0.00238845658353987,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,-0.0292255008995017,-0.00585757301519201,0,0,0.0356811534226226,0,0,0,0,0,0.249344373448619,0.151876257421201,0,0,0,0,0,0,0,0,0,0,-0.0111820729945005,0,-0.0958515311888546,0,0,0,0.0476180481270752,0,0,0,-0.180745782811621,0,0,0,0.115755441149862,0,0.128360140823579,0,0.0231030279606762,0,0,0,0.090323404062179,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.072851375742119,0,-0.119440185957865,0,0,0,0,0,0,0.0156319879280202,0,0,0,0.114851007644737,0.100611881033027,0,0,0.0510775023505916,0,0,0,0,0.134718581773118,0,0,0,0.0241226565822324,0,0,0,0.0518793481732282,0,0,0,0,0,0,0,0.148375449763152,0,0,0,0,0,0,0,0,0.0786000068213768,0,0,0,0,0,0,0,0
X000568.SZ,0.506991103118366,0,0,0,0.00153203745563109,0,0,0,0,0,0,0,0,0,0,0.170853528035943,0,0.0108726487376311,0.0195714447303055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951231893611171,-0.0503294061947707,0,0,0,0,0.0364415619498583,0,0,0.120785326418781,0,0,0,0,0,0,0,0,0,0.0205830129753732,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.418592395729573,0,0,0.0433812661792661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126836158825678,0,0,0,0.0503578949128709,0,0.015226065757032,0,-0.0365227595349924,0,0,0,0,0,0,0,0.207456698225038,0,0,0,-0.119226292533848,0,0,0,0,0,0,0.000449680609763999,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0573176851395446,0,0,0,0,0,-0.269142698275401,-0.240968491522242,0,0,0,0.0189863115760443,0,0,0,-0.281384514879737,0,-0.101949096715582,0,0,0,0,0.551975794554594,0.0731903937043125,0.174763452765077,0,0,0.153457038974979,0.0432836063759,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362890747570488,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.175396550779632,0,0,0,0,0,0,0,0.176476675886318,0,0,0,0,0,0,0,0,0,0,0,-0.133077069880359,0.0204607306536521,0,0.062638811612036,0,0,-0.0180518036795191,0,0,2.16840434497101e-19,0,0,0,0,0.239537434350616,0,0,0,0,0.102800147505891,0.0106915121433759,0,0.105076274676572,0,0,0,0,-0.131689429829102,0.175994660955031,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0342812356777516,0,0,0.108720033062662,0,0,0,0,0,0,0,0,0.0174804996348089,0.0879676160467276,0,0,0,0,0,8.67361737988404e-19,0,0.0813436808867466,0,0,0,0,0,0,0,0,0,0,0,0,0.0213836496825064,0.04727256561087,0,0,0,0,0,0.0451377914591719,0,0.0559921594025624,0,0,0.0143913757627388,0,0,0,0,0,0
X000651.SZ,0,0,-0.0548380362565853,0,0,0,0.17196624872638,0,0,0,0.0723331072538569,0,0,0,0,0,0,0,0.280286943338424,0,0,0.0508248583033299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0770888777976388,0,0,0,0,0.191657496718655,0,0.0336299638879454,0,0,0,0,0,0.0354973293206819,-0.0655617202536202,3.46944695195361e-18,0,0,0,0,0
X002304.SZ,0,0.48930684864921,0,0.0136598242894616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870165165603158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114116751174919,0,0,0,0,0,0,0.0922965204002187,0,0.0942856357156111,0,0,0,0,0,0,0,0,0,-0.0416363015766184,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.0189562630600031,0,0,0.188505320013531,0,0,0,0,0,0.130518038437308,0,0,0,0,0,0,0,0,0,0,0.0810842586043698,0,0,0,0,0.263059126446278,0,0,-2.16840434497101e-19,0.0445149950794048,0,0,0,0,0,0,0.00955907155134938,0,0,-0.0145149349632872,0,0,0,0,0,0,0,0.05761735287255,0.103347009737914,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0815466805733984,0,0,0.0737204536680983,0,0,0,0,0,0,0.107383132631116,0,0.117953801147124,0.107525376941141,0,0,0,0,0,0,0,0.00603707803218849,0,0,0,0.112692545387893,0,0,0,0,0,0,0,0.064252901986676,0,0.000292198545410897,0,0.00637448858108476,0,0.00252366179268507,0,0,0,0,0,-0.0100253870126697,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.241084882590754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266877329730178,0,0,0,0.261718523122412,0,0,0,0,0,0,0.11285102996912,0.0468430240362565,0,0,0,-0.282109024263631,0.0857142479726768,0,0,0.183366932834535,0,0,0.102245090310151,0,0,0,0,0,-0.141414156898942,-0.00379716233894809,0,0,0,0,0,0,0
X003816.SZ,0,0,0.0629811776870585,0,0,0,0,0,0,0,0,0,0,0,0.115285836930192,0,0,-0.212798178267492,0,0,0,-0.0153525105297806,0,-0.142343385550901,0,0,0,0,0.11146582071494,0,0,0,-0.0955537910376805,0,-0.0314418635334863,0,0,0,0.0529797042125279,0,0,0,0,0,0,-0.015859352315422,0,0,0,0,0,0.00520992507830097,-0.00293382408417589,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,-0.057236070251648,0.250160201166598,0,0,0,0.164802217580607,0,0,0,0,0,0,0,0,0,0,-0.0545030326892234,0,0,0,0.0473223601720256,0,0,0,0,0,0,0,0,0,0,0,0,0.0170994403761946,0,0,0,0,-0.0389763656592543,0,0,0,0.124025828686288,0,0,0,8.67361737988404e-19,-0.0506357683338449,0,0,0,0,0,0
