,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X600031.SH,X002475.SZ,X000568.SZ,X002304.SZ,X600809.SH,X600690.SH,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000100.SZ,X000157.SZ,X002241.SZ,X000596.SZ,X000625.SZ,X002371.SZ,X002129.SZ,X600741.SH,X601877.SH,X002007.SZ,X002179.SZ,X002236.SZ,X002049.SZ,X300142.SZ,X600584.SH,X600183.SH,X002414.SZ,X300003.SZ,X000800.SZ,X601799.SH,X000066.SZ,X000977.SZ,X002008.SZ,X000799.SZ,X002074.SZ,X600089.SH,X000050.SZ,X600118.SH,X600177.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.109843225910819,0,0,0,0,0,0.21509247254011,0.0264551947447096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419161724093,-0.0427883109844552,0,0,0.0318241457817371,0,0.0211730849220257,0,0,0,0,0,0.100872725622952,0,0,0,0,0,0.0433071858376442,0,0,0,0,0,0,0,-0.0307694795284821,0,0,0,0,0,0,0
X000858.SZ,0.0321729785858532,0,0,0,0,0,0,0.296399654386159,0.165096194861232,0.119700123206834,0,0,0,0,0,0,0,0,0,0,0,0.00345594306643353,0,0.00890291358010918,0.0798292697896651,0,-0.00495065971573682,0,0,0,0.046992031170895,0,0,0,0,0,0,0,0,0,0,0,0,0.0762453284397929,0,0,0,0,0,0,0,0,-0.0218839743441001,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.090994334392878,0,0.0605853739984765,0,0.0302688132461085,0,0,0,0,0.113893006501685,0,0,0,0,0,0,0.0354635256733013,0,0,0,0,0,0,0.171398398749656,0.0623706341153813,0.386616654391328,0,0,0,0,0,0,-0.220843016104069,0,0,-0.0432280945378034,0,0.0901709748381782,0,0,0,0,0,0,0,0,0.0140195860795954,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0261022281348291,0,0,-0.0213488983644816,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00696344354050546,0,0,0.0650467107442429,0,0.160847859217004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182177285847818,0,0,0,0,0,0,-0.0168495642257985,0,0
X000651.SZ,0,0,0,0,0,0,0,0.106176791111046,0,0,0,0,0,0,0,-0.0714046451387206,0,0,0,0.0350681445126783,0,0.1437365067504,-0.0679784032182997,0,0,0,0.0299250211546559,0,0.139587888391334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377186852984922,0,0,0,0,0,0,0.0044810915346696,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0489046940809876,0,0,0.175885157955914,0.260366714697284,0,0,0,0,0,0,0,0,0.0942023162472593,0.00862914425087776,0.207363771077674,0,0,0.0236974372626287,0,1.38777878078145e-17,0,0,0,0,0,0.0821541363132952,0,0,0,0,0,0,0.268416330812784,0,0,0,0,0,-0.0165009927942826,0,0,0,0,0,-0.00943937317433239,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11740985507157,0.188847081534267,0,0,0,0,0,0,0.0715382198776987,0,0,0,0,0,0.0285130298238992,0,0,0,0,0,0,0,0.00745643137047995,0,0,0,0,0,0,0,0,0.00737190714706825,0,0,0,-0.0368253407278617,0,0
X000568.SZ,0.141659961341301,0.464550946075636,0.0359161265778957,0,0,0,0,0,0,0,0,0,0,0,0,0.0323567815975712,0,0,0,0,0,0,0,0,-0.0305471412567525,0,0,0,0,0.00904763662095276,0,0,0,0,-0.0073076323885581,0,0,0,0,0,-0.105758729683911,-0.00522348012568746,0,0.278146803064638,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0311847064594176,0,0,0,0,0,0
X002304.SZ,0,0.193037198499073,0,0,0,0,0,0,0,0.0260178603569042,0,0,0,0,-0.0368656000362255,0,0,0,0,0,0,-0.0225835846642371,0,0,0,0,0,0,0,0,0,0.025362416626287,0,0.023455472976377,0,0,0,0,0,0.059241682323174,0,0,0,0.135948551578533,0.0648461223697688,-0.0724634099927813,0,0,0,0,0,-0.0522482891258703,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.158532018881286,0,0,0,0,0.244650636082308,0,0,0.0646202164224418,0,0.0218090815196642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289988844407742,0,0,0,0,0,0,-0.0202651959889521,0,0,0.164318184054088,0.037027409768381,0,0,-0.0861894180605357,0,0,0.0633039410918758,-0.0560225843786642,-0.0128252632107502,0,0,0,0,0,0
X600690.SH,0,0,0.136339195019962,0,0,0,0,0.110721677788554,0,0.357832337573668,0,0,0,0.0777925104151682,0,0,0,-0.00294453495949874,0,0,0,0,0,0,0,0,0,0.119731835503503,0,0,0.021341494731629,0,0,-0.0335188083189138,0,0,0,0,0,0,0,0,0,0.0547290133314593,0,0,0,0,0,0.0219127688596702,0,0,0.011451716414168,0,0,0,0,0,0
