,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600031.SH,X000100.SZ,X600703.SH,X600118.SH,X000157.SZ,X600372.SH,X600271.SH,X002236.SZ,X600066.SH,X000338.SZ,X600741.SH,X600089.SH,X000016.SZ,X002241.SZ,X000559.SZ,X002475.SZ,X002292.SZ,X000568.SZ,X600839.SH,X600177.SH,X000066.SZ,X300124.SZ,X002129.SZ,X002465.SZ,X300003.SZ,X002294.SZ,X000800.SZ,X600312.SH,X000869.SZ,X600006.SH,X600867.SH,X000581.SZ,X600525.SH,X300142.SZ,X000547.SZ,X600435.SH,X600582.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0220884764538323,0,0,0,0,0.149407921022376,0.106489364220547,0.0725956854678085,0,0,0,0,0.0686581592026333,0,0,0,0,0,0.0404638829553679,0,0,0.020930094602431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040652145549188,0,0,0,0,0,0,0.0306139005126644,0.0201067353538222,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.278559604348018,0,0,0.254138291916555,0,0,0,0,0,0,0,0,0,0.173276571687359,0,0,0,0,0.0598336824247343,0,0.0991819710421677,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978027857755166,0,0.126004136062718,-0.0749663818054819,0,-0.0526571890167734,0,0,-0.139988863548613,0.00934311209666393,0,-0.0144201399735617,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361738663777057,0,0,-0.0848168215612918,0,0,0,0,0,0,0,0,0,0,0.203215149041098,0,0,0,0,-0.0342483177286211,0.00255778581156408,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.0129862394219032,0,-0.0574230623070003,-0.0652286768926441,0.0353518519531399,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204424957392099,0,0,0,0,0.0622116913278808,0,0.221517659145561,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.00286522143707911,0,0,0.0926263031415957,0,0.292502940751893,0,0,0,0,0,0,0,-0.002037836758716,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0242880661795304,0,0.0369260220806554,0,0.187752415165315,0,0,0,0,0,0,0.0180198854508481,0,0,0,0,0,0,0,0,0,0,0,0.0254093352798764,0,0.227048906291626,0.18100292424215,0,0,0,0,0,0,0,0,0,0,0.0803664378070736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0605578131552696,0,0.276897495832759,0.0883136267635399,0,0,0,0,0,0,0,0.0407210451677209,0,0,0,0,0,0,0,0,0,0,0,0,0.24819311314948,0.0383264868077071,0,0,0,0,0,-0.138090201073194,0,3.46944695195361e-18,0,0,0.10671835436171,0,0,0,0,0,0,0,0,0.022262023526571,-0.0371882193430233,0,0,0,0,0,0
X002304.SZ,0,0.271074790406849,0,0,0,0.271030362424277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01035763201378,0,0,0,0.0950817607214289,0.0701804984332247,0,0,0,0,0,0.0255293638545245,0,0.163039153364524,0,0,0,0,0,0,0,0,0.0598031829260418,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.116367695712866,0.0113169909982096,0,0,0,0,0,0.0723812691046796,0.0414055868577994,0,0.0857242048556032,0,0,0.0406618837319222,0,0.108930000880226,0,0.188780120457398,0,0,0,0.0129158697808544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414389692887249,0,0,0,0,0,0,0,0,0,-0.00885150974172329,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169527786663635,0,0,0.0894673163563158,0,0,0,0.0819868768776427,0.273622199660119,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.000707394008342262,0,0,0.0569935374765314,0,0,0,0,0.00915294708940568,0,0,0,0,0,0,0,0,-0.0122028726144724,-0.00146859575122827,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0519026650299836,0,0.151662729949134,0,0,0.160205359579384,0.0664525415492063,0.00509206750294382,0,0,0,0.114662361509542,0.0154129386314908,0,0,0,0,0,0.186484431915359,0,0.0222284807362315,0,0,0,0,0,0,0.000599910416276657,0,0,0,0,0,0,0,0,0.00655175066171772,0,0,0,0.00271038486735789,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.205859207627274,0,0,0.00820882738759338,0,0,0.178381357938992,0,0,0,0,0.101193769389846,0,0,0,0,0.0427302217149967,-3.46944695195361e-18,0,0.059447280763678,0,0,0,0.0822645873968106,0,0,0,0,0.0592987655645635,0,0,0,0,0,0,0,0,0,0,0,0.016828156786123,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0352507147551463,0,0.258139629369616,0.191363754303458,0,0,0,0,0,0,0,0,0,0.167888923255895,0,0,0,0.000530810630042856,0,0,0,0,0,0.0462894018479648,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00840359261838706,-0.00340661008728451,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0.115332077242669,0,0,0,0,0,0,0,0,0,0.385074865670982,0,0,0,0,0,0,0,0.0876155278198966,0.198780857466516,0,0,0,0,0,0,0.0980833196639405,0,0,0,0,0,0.0561396012264746,0,0,0,0.015946406016612,0,0,-0.0239700455315519,0,0,0,0,0,0
