,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600276.SH,X600690.SH,X000063.SZ,X600703.SH,X000100.SZ,X600271.SH,X600031.SH,X600118.SH,X002292.SZ,X000157.SZ,X600372.SH,X000338.SZ,X600089.SH,X600741.SH,X002241.SZ,X002236.SZ,X600066.SH,X600177.SH,X002475.SZ,X601877.SH,X300124.SZ,X000559.SZ,X002129.SZ,X300003.SZ,X600582.SH,X000016.SZ,X000568.SZ,X600839.SH,X002456.SZ,X002294.SZ,X002276.SZ,X600435.SH,X000869.SZ,X000066.SZ,X000550.SZ,X000623.SZ,X002008.SZ,X002223.SZ,X000581.SZ,X600498.SH,X002007.SZ,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0596623535047663,0,0,0.0301273031714811,0.0969310051622621,0.00450196958331194,0,0,0.103349455928367,0.147537797983684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.043425993755245,0,0,0,0,0,0.00887399190772881,0.00162723126339107,0,0,0,0,0,0
X600104.SH,0.0956935207927747,0,0,0,0.0404674452744107,0.198643330964245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406745120926853,0,0.21619217302363,-0.0248367090283774,0,0,0,0,0,0,0,0,0,0,0,0,0.00392853726632135,0,0,0,0,0,0,0.0711777131000662,0,0,0,0,0,0,0.0103288034397535,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.227175270296126,0,0,0,0.213419381730403,0,0,0,0.0289718042526391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265828765214805,0.064441432604989,0.0458104597601402,0,0,0,0,0,0.012655715243941,0,0,0,0,0,0.174588233988002,0,0,0,-0.000714172546097279,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0349328592908955,0,0,0,0.0264957341011285,0,0,0,0,0.0929816603805901,0,0,0,0,0,0,0,0.0424963369589007,0.00132307580040203,0,0,0.0517730338774703,0,0,0,0,0.44848210003123,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0333238468830184,0,0,0,-0.0229346803968537,0.0043170869884859,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0446805439442079,0,0,0,0,0,0,0.0552724203650506,0,0,0,0,0.037740670271118,0,0,0.0935354933662825,0,0,0,0,0.0494904079116474,0,0,0,0,0,0.0950889502006567,0,0,0,0,0,0,0,0,0.0679575173594702,0.106976595391389,0,0.0405499562870984,0,0,0,0.129755384074146,0,0.0470209830347341,0,0,0,-0.0236122152287859,-0.00813969750611329,0,0,0,0,0,0
X002304.SZ,0,0.0200657982294972,0,0,0,0,0.18728817422872,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.121504747518796,0,0,0,0,0,0.142356096567513,0,0,0,0,0,0,0,0,0.0142558587508933,0,0,0,0,0,0,0,0.0904555448828409,0,0,0,-8.67361737988404e-19,0,-0.00654808571190299,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.284609200852438,0,0,0.127864199105573,0,0,0,0,0,0,0,0,0.0893808307701642,0,0.0449599422740342,0,0,0,0,0,0.00652196186711803,0,0,0,0,0,0,0,0,0.47330302543113,0,0,0,0,0,0.0428825254178341,0,0,0,0,0,0,0,0,0,0,-0.0046369098225053,0.0115151898267211,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0781074101468716,0,0.0405287683339407,0,0,0,0.134316198336942,0,0,0,0,0,0.0744181960306299,0.0187794454316353,0,0.116266767923407,0,0,0,0.0981642395155118,0,0,0,0,0,0,0,0,0.1140156578959,0.0130167041223606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244752018480715,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0831246326668554,0,0,0,0,0,0,0,0.160111311680544,0,0,0.041105341317084,0,0,0.107094161476004,0,0,0,0.160088578814546,0,0,0,0,0,0,0,0,0.0929621024475975,0.0609777653693519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569693633782507,0,0,0.0232724802125102,0,0,0,0,0,0
X600690.SH,0,0,0,0.119564415342471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379437071595641,0,0,0,0,0,0,0,0,0.0265187433757034,0,0,0,0,0,0.0467385770094521,0,0,0,0,0,0,0,0.13373445124629,0,0,0,0,0,0,0,-0.0691770756210825,-0.000525422035947969,0.0205226319272426,0,0,0,0,0,0
