,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600703.SH,X600741.SH,X600809.SH,X002241.SZ,X000100.SZ,X000596.SZ,X002371.SZ,X002236.SZ,X300003.SZ,X300014.SZ,X002007.SZ,X601877.SH,X600183.SH,X300124.SZ,X000977.SZ,X000157.SZ,X300142.SZ,X000625.SZ,X002456.SZ,X002008.SZ,X002129.SZ,X600271.SH,X002179.SZ,X600118.SH,X300136.SZ,X600584.SH,X002180.SZ,X002414.SZ,X000066.SZ,X002463.SZ,X600177.SH,X600066.SH,X002049.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0311371195625823,0,0,0,0,0,0,0,0,0,0,0,0.12225677280996,0,0,0.216604378521047,0,0,0.199940667221578,0,0,0,0,-0.00938771289164052,0,0,0.0313211862500078,-0.0625780308692409,0,0,0,0,0,0,0,0,0,-0.0516796485972197,0,-0.0485100675668816,0,0,0,0,0,0,-0.0845418040312508,0,0,0,-0.0885952775876516,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0041607367982779,0,0.503351645499177,0,0.0328781867122835,0,0,0,0,0,0.0432683005588186,0,0,0,0,0,0,0,0,0,0,0.0105900299731018,0,0,0.129093209698213,0,0,0,0,0.0440639857697238,0,0,0,0.025766206683988,0,0,0,0,0,0,0,-0.00294452460195231,0,0,0,0.0293018490343042,0,0
X600276.SH,0.16249827871117,0,0,0.0419207765413709,0,0,0.0194133351495028,0,0,0,0,0,0.0975100060630608,0,0,0.0803194001085694,0,0,0.128601022339676,0,-0.017806062910974,0,0,0,0.096707507693592,0,0.186433433768421,0,0,0,-0.0920064194832761,0,0,0.039238228633054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230977750634533,0,0,0,0.028209265286663,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0407289303958151,0,0,0.282449562164028,0,0.160879083252403,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0772770852007482,0,0,0,0,0,0,0,0,0,0,0.0762793713412431,0,0,0,0.0716386964178805,0,0.0308739529028308,-0.0716397548570713,0,0,0,0,0,0,0,-0.0316238843447904,0.0619894262775386,0,0,0,0,0,0
X002415.SZ,0,0.0313271365615959,0,0,0,0,0.284185122404841,0,0,0,0,0,0,0,0,0,0,0,0,0.0272777969211708,0,0,0,0.148710068755112,0,0,0,0,0,0.215057329631462,0.0415991535191931,0,0,0.236043574794075,0,0,0,0,0,0,0,-0.0954943102251811,0,0,0,0,0,0,0,0,0,0,0.0195089375846262,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.368597985887846,0,0,0,0,0,0,0.103712813599211,0,0.0135863721353517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121272768035857,0,0,0,0,0,0,0,0,0,0,0,0.0575568071232953,0,0,0,0,0,0,0,0,0,0,0.0273562293461094,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460948453419092,0,0,0,0,0.395603762199509,0,0,0,0.108889781995229,0,0,0,0,0.0446980026179686,0,0,0,0,0,0,0,0,0,0,0,0.100967864336001,0,0.0286327039726791,0,0.0495364460583649,0.112406172122709,0,0,0,0,0,-0.0511307274875251,0.0688030743186545,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0555234688572812,0,0,0,0.168229578556638,0.0301596423881514,0,0,0,0,0,0,0,0,0,0,0,0,0.0297182525997609,0.100453385242246,0,0,0.0029012142172066,0,0,0.25009637353108,0.308641623461838,0,0,0.057378156673408,0.0075218154653366,0,0,0,0,0,0,0,0,0,-0.0505925782917023,0.0393292131480617,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.203133077333972,0.0819307656998615,0,0,0,0,0,0,0,0.0877504915931696,0,0,0,-0.07409952833887,0,0,0,0.0353728589541051,0,0,0,0,0.155220033841199,0,0,0,0,0,0.10931032928989,0,0,-0.0380664187825884,0.075600008628997,0,0,0,0,0.209725326283372,0,0,0.0285636731459555,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612422761201176,0,0,0,0,0,0,0,0.135637561773424,3.46944695195361e-18,0,0,0,0,0,0,0.0263842201012223,0,0.0683286741914745,0,0,0,0,0,0.184792714602338,0,0,0,0,0,0,0,0,0,0,0.0620743543320585,0,0,-0.0289402671391395,0,0,0,0,0.0207897956019682,0,0
