,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X002371.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002129.SZ,X003816.SZ,X002241.SZ,X002049.SZ,X000338.SZ,X000063.SZ,X600703.SH,X000596.SZ,X601877.SH,X300142.SZ,X002179.SZ,X000625.SZ,X600460.SH,X600089.SH,X000661.SZ,X000100.SZ,X600741.SH,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X600884.SH,X000733.SZ,X000157.SZ,X000799.SZ,X002236.SZ,X600584.SH,X600563.SH,X601799.SH,X600779.SH,X002008.SZ,X002414.SZ,X000977.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.360675360058045,0,0,0.0212649813430557,0,0,0.0324425158523561,0.151022053128921,0,0,0,0,-0.0150565608471587,0,0,0,0,0,0,0,0,0,0.111495469251723,0,0,0,0,0,0,-0.0338164241069867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775625280058253,0,0,0.00396695998721711,0,0,-0.00425986485638134,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0166886703945034,0.159297451608307,0,0,0.096286978656267,0.173756055645385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767890409246146,0.10313739409453,0,0.0681717057444259,0,0,0,0,0,0.118986399355432,0,0,0,0.0803175801053535,0,0,-0.0107445180753419,0.0219000484307443,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0399480082171346,0,0.0758517639463997,0,0,0,0,0,0.0594120573468954,0.108284272074826,0,0,0,0,0,0,0,0,0,0,-0.0687139325880691,0,0,0,0,0,0,0,0,0.0524713010268218,0,0.0376724170207501,0,0,0,0.00721764405983673,0,0,0,0,0,0,0,0.197580935223181,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.322729567477816,0,0,0.0656089558855308,0,0,0,0,0.0813864653367938,0,0,0,0,0,0,0,0,0,0,0,0,-0.0773335768809209,0,0,0,0,0,0,0,0,0,0,0.0734466072630881,0,0,0,0.117204463634753,0,0,0,0,0,0,0,0,-0.00959327897382852,0,0,0,0,0,0,0,0,0
X000568.SZ,0.149792173657025,0.248164390461912,0,0.0368989232416846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19733834287092,0,0,0,0,0,0,0,0,0,0,0.105318255800204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433848720336287,0,0,0,0.00580238123622318,0,0
X002475.SZ,0,0,0,-0.0477039910843622,0.143847374997353,0,0,0,0,0,0,0,0.252398948622292,0,0,0,0,0,0.286206229752342,0,0,0,0.0663848590215199,0,0,0,0,0,0,0,-0.0169515348382239,0,0,0,0,0,0,0,0,-0.148708927145951,0,0,0,-6.93889390390723e-18,0.0471129576520535,0,0,0,0,0,0,-0.0423543881274257,0,0,0,0,0,0,0
X600276.SH,0.0377240656981449,0,0,0,0,0,0,0,0.229393522392707,0,0,0,0,0,0,0,0,0,0,0,0,0.176136570490008,0.0694222813688671,0,0,0.0479004072067721,0,0,0,0,0.0680545518147682,0,0,0,0,0,0,0,0,0,0.062703136029849,0,0,0,0,0,0,0,0,0,0,0,-0.0332075281656719,0,0,0,-0.0436395264707551,0,0
X002304.SZ,0.0457875334145273,0,0,0.0711294578389289,0,0,0,0,0,0,0,0,-0.0149804059019871,0,0.147228048626775,0,0,0,0,0,0,0,0,0.258211078063309,0,0,0,0,0,0,0,0,0.246584226180213,0,-3.46944695195361e-18,0,0.120587294129375,0,0,0,0,0,0,0,0,0,0,0,0.195170257283106,0,0,0,0.00501749721007778,0,0,0,0.00527181606097796,0,0
X600690.SH,0,0.121508825425422,0,0,0,0,0.0972178332238823,0,0,0,0,0,0,0,0,0,0,0,0.02285227591697,0,0,0,0,0.229953855480156,0,0,0,0,0,0,0,0,0,0.0680021877932925,0.012988320886869,0,0.0194470986673749,0.0467460907600098,0,0,0,0,0,0,0,0.040750089835287,0.134426544015697,0,0,0,0,0,-0.010401777840856,0,0,0,0,0,0
X600104.SH,0.0336261818157344,0,0.00903851059386889,0,0,0,0,0.0588141803865584,0,0,0,0.0877263640730256,0,0,0,0,0,0.158066409184815,0,0,0.0810534438230416,0,0,0,0,0,0,0.109845602562113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330442592668841,0,0,0,0,0,0,0,0,0.00254535988271924,0,0,0,0.00848601401067385,0,0
