,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X002475.SZ,X000651.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000596.SZ,X000063.SZ,X000100.SZ,X002179.SZ,X600089.SH,X300014.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X600372.SH,X600741.SH,X002129.SZ,X000661.SZ,X002463.SZ,X002049.SZ,X000977.SZ,X002028.SZ,X600584.SH,X601877.SH,X600522.SH,X601799.SH,X000800.SZ,X600066.SH,X000921.SZ,X002223.SZ,X600183.SH,X600177.SH,X002007.SZ,X002294.SZ,X002074.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.322751227804271,0.0894243093886609,0.091370032748313,0,0.117951112171634,0,0,0,0,0.0516968925342581,0,0,0,0,0,0,0,0,0,0,0.0705879297216944,0,0,0,0,0,0,0,0,-0.01079685614421,0,-0.0211721963855333,0,0,0,0,0.132405271251979,0,0,0,0.00244443919583641,0,0,0,0,0,0,0,0.0165688783691234,-0.0154256816206036,0,0,0,0,0,0
X000858.SZ,0,0,0.0810146139861284,0,0,0.542660579978957,0,0,0,0,0,0,0,0,0,-0.0157796653198976,0,0,0,0,0,0,0,0.105387914128376,0,0,0,0,0,0,0.00276707566677037,0,0,0,0.0522959886740879,0,0,0,0,0,0,-0.050884148713142,0,0,0,0,0,0,0,0,0,-0.0126955679139091,0.0143054646088199,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.19660538681388,0.012350813510669,0,0,0,0,0,0.0631543518332572,0,0,0.091987152274325,0,0.18979506454142,0,0,0.202296840672868,0.0673159063422758,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.000878418541918614,0,0,0,0,0,0,0,0,0,0,0,-0.0161065648709383,0.0173578414150324,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.503883633127389,0,0,0,0,0,0,0,0,0,0,0,0,0.425861131091337,0,0,0,0,0.0105578657225511,0,0,0,0,0.0515783306645007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130318096172198,0,0,0,0,-0.0200566908062208,0,-0.0635782575049668,0.0374660828530464,0.076405712955285,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04249147045128,0.165534572743442,0,0,0,0,0,0,0,0,0,0,0,0,0.0235879312123018,0,0.0122499374617574,0.211282212610125,0.144639626748071,0,0,0,0,0,0,0.0279824577162891,0,0.0778584793927926,0,0,0,0,0,0,0,0,0,-0.005939135782923,0,0,0,0,0,0,0
X000568.SZ,0,0.661712222438414,0,0.302442976191443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119250130070127,-0.064100652044393,0,0,0,0,0,0,0,0,0.0297040536319845,0,0,0,0,0,0.05647481910526,0,0,0,0,0,-0.00706037889847498,0,0,0,0,0,0,0,0,0.0100921393626385,0,0,0,0,0,0,0
X600690.SH,0,0.0470364817244773,0,0,0.00529561951618275,0.293891422191197,0,0,0.0773365532853343,-0.0029812154761867,0,0,0,0,0.0609445987827796,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410503850187783,0,0,0,0.00908530890762438,0,0,0,-0.0180262485234156,0,0,0,0,0,0,0.059005509102423,0,0,0,0,0,0,0,0.0351330157215123,-0.00972405426314416,0.0364649431755295,0,0,0,0,0,0
X002475.SZ,0.254759211285482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228985457297651,0,0,0,0,0,0,0,0,0,0,0,0.443949152824697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145504215603582,0,0,0.0311037372969183,0,0.0455844702043906,0,-0.0931732922470477,0.0783362454083623,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0893820234251601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134920162750359,0,0,-0.125958516115357,0,0,0,0,0,-0.0230458680398828,0,0,0,0,0,0,0,0,0.275058876841369,0,0.148208440993754,0.28646485825026,0,0,0,0,0,0,0,0,0,-0.00491221834602475,0.0234302805115333,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0.0515160072196378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220136177006079,0,-0.10536993107963,0,0.376580396728858,0,-0.198382093875461,0,-0.0401209167583995,0,-0.00329159191443698,0,0,0,0,0,0.00980747922575007,0,0.045349849096403,0,0,0,0.0996001822970543,0,0,0,0,-0.0315981081287854,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0843506539691166,0,0,0,0,0,0.184165087961548,0,0,0,0.0574631799104868,0.0443083698629918,0,0,0,0,0,0,0,0,0,0.050421927073447,0,0,0,0,0,0,0,0,0,0.0233514383313817,0,0,0,0,-0.0515308914544485,0.0634373585990231,0,0,0,0,-0.00753834531611068,0,0,0,0,0.0279074208493776,0,0,0,0,0,0
X300124.SZ,0,0,0.215660163841955,0,0,0,0,0,0,0,0.257149134552092,0,0,0,0,0.0692576694123024,0.151185233231968,0,0,0,0,0.181213812761842,0,-0.285694401059484,0,0,0,0.151181572601497,0,0,0,0,0.0340644169503074,0,0,0.0266312586314865,0,0,0,0.207679852661562,0,0,-0.085494080031886,0,0.036152130838644,0,0,0,-0.0930664600833408,0,0,-0.00947108540957839,0,0,0,0,0,0,0
X002304.SZ,0,0,0.17656900385999,0,0,0.447577176480337,0,0,0,0,0,0,0,0,0,0.0445521757958242,0,0,0,0,0,0.025165353030853,0,0.0472274942178787,0,0,0,0,0,0,0,0,0,0.0362998477696454,0,0,0,0,0,0,0,0.0122668547014034,0,0,0,0,0,0.0254912353501559,0,0,0,-0.00838093076897357,0,0,0,0,0,0,0
