,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X000100.SZ,X002241.SZ,X002475.SZ,X000338.SZ,X002236.SZ,X600271.SH,X600118.SH,X601877.SH,X600177.SH,X002085.SZ,X002456.SZ,X000157.SZ,X600372.SH,X002007.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600867.SH,X000559.SZ,X600089.SH,X002292.SZ,X002180.SZ,X002426.SZ,X002506.SZ,X000623.SZ,X600522.SH,X002074.SZ,X002508.SZ,X600498.SH,X000536.SZ,X600566.SH,X000981.SZ,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0712992332826623,0,0.114375068014196,0.0522334940658584,0,0,0,0,0,0,0,0,0.0671800188297431,0,0,0,0,0,0,0,0,0,0,0.129569936998763,0,0.00466296137155951,0,0,0,0.0496288034038492,0,0,0,0,0.0289641944340689,0,0,0,0,0,0,0,0,0,0.02514623138135,0,0,0,0,0.00281797760917819,0,0,0,0,0,0
X600104.SH,0,0,-0.0131413880532696,0,0,0,0,0,0,0,-0.0711861444343772,0,1.04770524946296,-0.00307422731689668,0,0,0,0,0,0,0,0,0,0,0,-0.0497806982266559,0,0,0,0,-0.113417408371698,0,0,0,0,0,0,0,0,0,-0.0293119045753713,0,0,0,0,-0.0158978599835979,0,0,-0.0289128721854027,0,0,-0.00847358432533661,0,0,0,0,0,0
X000651.SZ,0,-1.38777878078145e-17,0,0.142700832966813,0,0,0,0,0,0.616507837803974,0.64176825253677,0,0,0,0,0,0,0,0,-0.0101423307139903,0,0,0,-0.125687833383015,0,0,0,0.0143193831440551,0,0,0,0,0,0,0,0,0,0.298339858232098,0,0,0.320330556072292,0,0,0,0,-0.124863081733185,-0.184450276867789,0,0,-0.113862327394643,0.0545961509668546,-0.0166564874012125,0,0,0,0,0,0.152792241254669
X002415.SZ,0,0,0.0929827541998372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866008899887798,0,0,0,0,0,0.10726298726975,-0.0890954490605606,0,0,0,0,0,0.00230096351411353,0,0.072008055072281,0,0,0.25060640672499,0,0,-0.011149010104563,0,0,0,0,0.00318292948166474,0,0,0,0,0,0
X000858.SZ,0,0,6.93889390390723e-18,0,0,0,0,0,0.12366820033516,0,0,0.135687890063541,1.73472347597681e-18,0,0.418512476644199,0.124588509487976,0,0,0,0,0,0,0,0.0309445011771878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322897128397244,0,0,0,0.0121308836836398,0,0,0,0,0,0
X000725.SZ,0,0,0.1224616973855,0,0,0,0,0,0,0.0208876350074024,0,0,0,0,0,0,0,0.0673740674272998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546981429198951,0.0206262451613429,0,0,0,0,0,0,0.29061982928122,0.101376946165149,0.029057785740484,-0.00329683112200394,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101175051976411,0,0,-0.0104701347868427,0,0,-0.0757047497312254,0,0,0,0,0,0,0,0,0,0.109404565417666,0,0,0,0,0,-0.0189344872006871,0,0,0,0,0,0,0,0,-0.045224325637299,0,0.0970025703247728,0,0,-0.0245850197615609,0.0284883763678055,0,0,0,0,0,0
X002304.SZ,0,0.0782709275363649,0,0,0,0,0,0,0,0,0,0,0.22458592041724,0,0.249823810668805,0.186932008870013,0,0.0202377154021864,0,0,0,0,0,0,0,0,0,0,0,0,0.0265733789744233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102197048827768,0,0,-0.103397460168466,-0.00396179541726805,0.0103577969512895,0,0,0,0,0,0
X000625.SZ,0,0.253701796009342,0.120804184534783,0,0.257207113805075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629057914086229,0,0,-0.0707478657835702,0,0,0.00632371216757329,0,0,0,0,0,0,0,0,0,-0.00958989319556901,0,0,0,0,0,0,0.0580879989823714,0.00934307124696107,0,0,0.0124177228126653,-0.0221177576051964,0,0,0,0,0,0
X000063.SZ,0,0,0.10288941291182,0,0,0,0,0,0,0,0,0,0,0.0250661542034663,0,0,0,0,0,0.0930773090554624,0,0,0,0,0,0,0,0,0,0,0,0,0.120782142938724,0,0,0,0,0,0,0,0.182745329747105,0,0.0590304498410672,0,0,0,0,-0.0103735073552871,0,0,0,-8.94621245285141e-05,0,0,0,0,0,0
